Classification:
  fr: 70032
  en: 354
  mixed: 592
  other: 3686
  empty: 0

=== EN-only examples (first 100 of 354) ===
AR_Mephits_183	"Ah-hah ! <shake>Pris</shake> !"
AR_Viira_469	OH... !
AR_Viira_700	Ah, cool.
AR_Viira_1296	(Blurt out.) "A date! A date!"
AR_Viira_Ivcx_127	"Since he is not interested, we shall not be in contact."
AR_Viira_Ivcx_156	Oh-oh.
AR_Viira_Ivcx_309	Oh ouais.
AR_Viira_Ivcx_375	"A reward, eh?" (Attempt to flirt.)
CB_Apartment_313	Oh.
CB_Apartment_326	Oh dieux... !
CB_BagofHolding_184	Oh. D'accord.
CB_Bondavol_18	Oh. Qu'est-ce que cette... sensation ?
CB_Bondavol_385	So l-
CB_Bondavol_490	Oh.
CB_CraniumAnt_36	AH, MERDE !
CB_CraniumAnt_93	"Attends. Someone's in my head."
CB_CraniumAnt_134	...Oh !
CB_CraniumAnt_137	Oh ! Eh bien...
CB_CraniumAnt_156	Oh. Super !
CB_CraniumAnt_200	Oh. J'en ai entendu parler.
CB_CraniumAnt_314	we... do not know.
CB_Dancer_25	(Take a deep breath, then whisper.) "<i>Pussy up, motherfucker</i>."
CB_Dancer_34	Oh-oh.
CB_Dancer_44	OH DIEUX !
CB_GelCube_131	"Not... yet..." (Pant.)
CB_GelCubeSpot_35	Oh.
CB_GelCubeSpot_63	Eh bien alors. (Leave? Maybe?)
CB_HallwaySolution_254	Oh dieux, oh dieux, oh dieux.
CB_HallwaySolution_821	Especially go-
CB_Kraaid_70	Oh dieux. Aussi longtemps ?
CB_Kraaid_732	Oh-oh.
CB_Kraaid_904	Oh.
CB_LivingLibrary_12	Ah.
CB_LivingLibrary_400	Oh. Vraiment ?
CB_LordPuu_161	Oh-oh.
CB_MimicChest_134	OH, allons...
CB_Moongore_234	Oh... oh...
CB_Moongore_555	"I yield! I take it back!" (Abandonner.)
CB_Moongore_558	"I refuse...!" (Tiens bon.)
CB_Moongore_559	"I...! I..." (Prepare to get hit again.)
CB_Moongore_683	Oh-oh.
CB_Moongore_746	"Do it then. Break them." (Stare her down.)
CB_NotMimic_436	Oh !
CB_Paper_19	'<i>Ossa eius captiva in illis arcanis aulis tenentur, praesentia spurcae ducis goblinorum stabilita.</i>'
CB_Questions_113	Snell a l'air confiant.
CB_Questions_146	Oh.
CB_RootsArt_116	"She?"
CB_Roper_3	Ah. AH ! AHH !
CB_Roper_98	Oh dieux. OH dieux. OH DIEUX.
CB_Roper_287	Oh... !
CB_Roper_373	Oh... !
CB_Roper_463	Oh... !
CB_RunTorch_137	Ah. Cela explique tout.
CB_Skeleton_10	OH. MERDE.
CB_Skeleton_77	Oh-oh.
CB_Skeleton_100	Oh. Par Urth.
CB_Skeleton_175	Oh dieux. I almost died.
CB_Whitemane_143	OH DIEUX !
CB_Whitemane_148	Oh.
CB_Whitemane_150	Oh.
CB_WhitemaneCalendar_15	Oh.
CB_WhitemaneLift_48	"I am a MAN." (Leave while speaking aloud to no one.)
Default_PillarofJor_233	Oh.
Default_PillarofJor_619	OH. OH SEIGNEUR.
Default_TestingPot_1	Hello, I'm the panning pot!
Default_TestingPot_3	okay!
Default_TestingPot_5	OKAY!
Default_TestingPot_6	Take crown test.
Default_TestingPot_7	Okay Cleric!
Default_TestingPot_8	Here are some crowns!
Default_TestingPot_9	Did it work?
DIALOGTEST_1	What do you want to test?
DIALOGTEST_6	Okay. Here are all the different choice visuals.
DIALOGTEST_15	So. Let's jump with some variables.
DIALOGTEST_16	Let's start with the variable: GonnaJump.
DIALOGTEST_17	It is now set to 1. The next line should just be a continue button away.
DIALOGTEST_18	Then let's do: SecondJump.
DIALOGTEST_19	It is now set to 1 as well!
DIALOGTEST_20	The next line should be smooth.
DIALOGTEST_21	This is gonnajump==0. Hello!
DIALOGTEST_22	This is gonnajump==1.
DIALOGTEST_23	This should have been smooth!
DIALOGTEST_29	Hello, this is a first DC message.
DIALOGTEST_30	If the last STR message was successful, this shows.
DIALOGTEST_31	Same here, but for the DEX message.
DIALOGTEST_33	Push the limit!
DIALOGTEST_36	Push the limit!With variables!
DIALOGTEST_39	Push the limit!With ADAVNTAGE!
DIALOGTEST_42	Push the limit!With DISADAVNTAGE!
DIALOGTEST_55	Hello, get ideas.
DIALOGTEST_56	Get idea Milkurious.
DIALOGTEST_57	Get idea The Tea Shop that Blew Up.
DIALOGTEST_58	Okay!
DIALOGTEST_59	This is all very confusing.
DIALOGTEST_60	Tea shop?
DIALOGTEST_61	They've sprung up around the city over the last decade. A powder-keg of activism and extremism.
DIALOGTEST_62	You used to visit such places often before you joined the Urthguard.
DIALOGTEST_63	The smell of freshly parched leaves. The chatter of youth. The exciting exchange of ideas. NEW ideas.
DIALOGTEST_64	A place of chaos and disruption.
DIALOGTEST_65	Fucking tea shops. They should all burn down.

=== Mixed examples (first 50 of 592) ===
AR_HiddenFreestriderSafe_322	« De toute façon, on a des choses plus importantes en tête. »
AR_Kattegatt_31	(Parler à la lame.) "On peut me faire confiance. Je ne suis pas comme ces autres."
AR_Kattegatt_100	"Je veux me taire, mais la culpabilité me détruirait."
AR_Viira_162	« Du genre <i>géant</i>. Quand Alfoz les a vus arriver, il a très vite plié bagage et est parti. »
AR_Viira_231	« Oh, ah bon ? »
AR_Viira_403	« Voyez-vous, notre cher Prince Veille-de-Lune est venu nous rendre visite il y a quelques jours. Il a voyagé pour l'élection, oui, mais d'après ce que je comprends, c'était aussi pour explorer les ruines sous la cité. Pour sa... <i>recherche</i>. »
AR_Viira_425	« On avait aussi un ange en renfort. Ça a aidé. »""
AR_Viira_434	« Oh, j'imagine. Cela a dû être spectaculaire ! »
AR_Viira_554	« Mes excuses de ne pas vous l'avoir dit plus tôt, cela a dû me sortir de l'esprit. »
AR_Viira_638	« Parce qu'il y a des acheteurs. Et là où il y a des acheteurs, le capital arrivera pour les satisfaire. »
AR_Viira_841	« On nous a dit que les Halfways avaient un témoin direct qui s'est identifié. »
AR_Viira_1031	« Il en a amené quelques-uns, mais Manius a fini par <i>traîner dans le coin</i>. »
AR_Viira_1115	Ses yeux s'écarquillent. « Oh. Oh ! »
CB_Akzel_16	« Regarde Romulus, on a un officiel en visite ! »
