level	path_id	french
1	60941	La cécité ? Non... autre chose.
1	60943	Ton destin, un jour.
1	60946	« Humain pas causer ennuis. »
1	60948	Gah !
1	60949	Rien ici. Ne perds pas de temps.
1	60957	« Bonjour, Clerc. »
3	60943	La cécité ? Non... autre chose.
3	60944	Ne bois pas ces liquides visqueux.
3	60947	<b>« Soldat. »</b>
3	60948	<b>« Soldat. »</b>
3	60950	« Humain pas causer ennuis. »
3	60952	Gah !
3	60953	Rien ici. Ne perds pas de temps.
3	60957	« <i>Tsk</i>. »
3	60958	« <i>Kraaid</i> ressent une grande impatience... »
3	60960	« Bonjour, Clerc. »
4	213891	« Des dockers ? Ouais, des boissons gratuites, ça devrait aller. »
4	213902	Un coin douillet.
4	213904	Creuser ? Pourquoi pas.
4	213914	Pas encore.
4	213915	Pierre naine, brisée en deux. <b>Pure violence</b>.
4	213922	Oh, non, non, non... ! Ne <shake>GLISSE</shake> pas !
4	213927	« Oh, les élections ! Quelle <shake>JOIE</shake> ! »
4	213930	Tire-toi d'ici !
4	213931	Ces escaliers ont quelque chose d'étrange.
4	213941	Trouve des babioles !
4	213942	Hautement ésotérique.
4	213945	Maléfique. Mais non hostile. Prends garde.
4	213948	« Bizarre. Charrette pas rentrer trou. Mauvais trou ? »
4	213953	« Gah ! »
4	213956	Usé par les âges.
7	47173	Porte barricadée. Impossible d'entrer ici.
8	44362	Une telle <i>destruction</i>...
10	81782	Le temps reprend tout.
11	66732	Technologie arcaniste. Machinerie incroyable.
12	65070	Ton estomac se noue. Méfie-toi de son illusion.
13	44832	<i>HWBT. AR Trade Co. AHPLC.</i> Tant d'acronymes.
15	52811	Propagande visuelle.
16	44182	La famille.
17	44470	Presque mort, mais pas encore.
18	46378	<i>Cités Libres. Démocratie. Prospérité.</i>
19	94115	Prudence, pas trop près... !
19	94116	<i>Conquête par le fleuve, par la terre, par le cœur.</i>
19	94120	Propagande démocratique.
20	76079	Le lieu de repos de ton peuple.
20	76080	« <b>Halte</b>. »
20	76082	Qui a mis ces tonneaux ici ?!
20	76087	Encore une porte à sens unique.
20	76093	Un chat à la mine loufoque.
20	76095	Hm. Quelque chose cloche ici.
20	76096	Tant. De. Nourriture.
20	76103	Tant de gens d'Urth. Tant de souffrance.
21	45055	Gah !
22	47838	Ta terre natale.
22	47839	La Forêt d'Illym.
22	47845	Des roseaux !
22	47846	Le Col de Tol.
22	47852	La Pointe de Jor.
22	47854	Ton foyer.
23	55660	Ton estomac se retourne.
12	65068	Ceux d'avant ont laissé bien des trous dans le berg-grûnd.
19	94128	« Rentre-moi tout ça à l'entrepôt d'ici demain, ou je t'en tiendrai personnellement responsable, Gôtfred. »
1	60958	Nan. Y a personne là-derrière.
