level	path_id	english
1	60941	Blindess? No... something else.
1	60943	Your fate one day.
1	60945	TEST POPUP! WISDOM!
1	60946	"""Human no cause trouble."""
1	60948	Gah!
1	60949	Nothing here. Don't waste time.
1	60950	Aïe. Ça fait mal.
1	60952	Attention !
1	60957	"""Good morning, Cleric."""
1	60958	Nope. Ain't no people back here.
1	60959	Tu donnes un coup de pied dans le bas d'une caisse. Ton pied te fait mal.
2	48497	Ce type... il ne veut tout simplement pas bouger !
2	48499	Tu as besoin de prier.
2	48504	Une grande montagne de pommes.
3	60943	Blindess? No... something else.
3	60944	Do not consume these sludgy liquids.
3	60947	"<b>""Soldier.""</b>"
3	60948	"<b>""Soldier.""</b>"
3	60950	"""Human no cause trouble."""
3	60952	Gah!
3	60953	Nothing here. Don't waste time.
3	60954	Aïe. Ça fait mal.
3	60955	Attention !
3	60957	"""<i>Tsk</i>."""
3	60958	"""<i>Kraaid</i> feels great anticipation..."""
3	60959	L'Œil Rouge d'Urth.
3	60960	"""Good morning, Cleric."""
3	60962	Tu donnes un coup de pied dans le bas d'une caisse. Ton pied te fait mal.
4	213891	"""Dock workers? Yeah, free drinks should be fine."""
4	213893	La nature s'infiltre par les fissures.
4	213896	"""<i>Terve.</i>"""
4	213898	Le gobelin te sourit de toutes ses dents.
4	213902	Cozy spot.
4	213903	"""<i>Bi-cycle...?</i>"""
4	213904	Delving? Sure.
4	213905	Les racines s'enfoncent plus profond que tu ne saurais l'imaginer...
4	213909	Le Jardin des Gobelins est droit devant. Tu le sens.
4	213914	Not yet.
4	213915	Dwarven stone, broken in half. <b>Pure violence</b>.
4	213917	""""""
4	213919	Il faut du cran.
4	213922	Oh, no, no, no...! Don't <shake>SLIP</shake>!
4	213923	Que se passerait-il si tu sautais ?
4	213924	Le Grand Perchoir de Norvik.
4	213927	"""Oh, elections! How <shake>JOYOUS</shake>!"""
4	213928	La chute est longue.
4	213929	Par Urth, comment ont-ils descendu ce chariot par les escaliers ?
4	213930	Get outta here!
4	213931	These stairs feel strange.
4	213933	Tu vas avoir un haut-le-cœur.
4	213937	Tu devrais t'excuser pour cela.
4	213940	Le Pont de Mi-Chemin. Il relie le Palais au reste du sud de Norvik.
4	213941	Find some goodies!
4	213942	Highly esoteric.
4	213944	Le Nain et l'Urthfolk — ensemble.
4	213945	Evil. Yet non-hostile. Beware.
4	213948	"""Strange. Cart not fit hole. Bad hole?"""
4	213949	<b>URTH.</b>
4	213953	"""Gah!"""
4	213955	C'est indigne de toi. Reprends le droit chemin.
4	213956	Worn down over eras.
4	213958	La corniche est glissante. Prudence !
5	44492	Le <i>patron</i>.
6	44648	Un recoin douillet.
6	44649	Tout ce qu'il te faut. Ceci... est tout ce qu'il te faut.
7	47173	Door's barred. Not getting in here.
8	44362	Such <i>destruction</i>...
8	44363	Ça empeste.
8	44364	Comment diable cet endroit tient-il encore debout ?
9	44094	On y lit : <i>Joanna, PDG. Maior quam ullus rex.</i>
9	44097	Le Tueur de Drakes ! Quelle œuvre d'art.
10	81778	Un dictateur pas si minuscule.
10	81780	Le gobelin te fusille du regard. Avec ses muscles.
10	81782	Time reclaims all.
10	81783	Tu ne trouveras pas ton dieu ici.
10	81784	Il pose son regard sur toi.
11	66732	Arcanist tech. Incredible machinery.
12	65067	Le gobelin te fusille du regard. Avec ses muscles.
12	65069	La demeure-de-liche de Visken doit se trouver entre ces murs. Un peu plus haut.
12	65070	Your stomach twists. Beware her illusion.
12	65071	La dragonne en personne.
12	65073	Un dictateur pas si minuscule.
12	65075	Quelque chose d'immonde fermente ici.
13	44832	<i>HWBT. AR Trade Co. AHPLC.</i> So many acronyms.
14	71952	Les PROFONDEURS. De TOLSTAD.
14	71953	Les <i>profondeurs</i> t'appellent.
15	52811	Visual propaganda.
16	44182	Family.
16	44186	Tu n'as pas besoin de te soulager.
17	44470	Almost dead, but not yet.
17	44471	Des dessins d'enfants sur le mur.
18	46375	On dirait des archives.
18	46378	<i>Free Cities. Democracy. Prosperity.</i>
19	94115	Careful, not too close...!
19	94116	<i>Conquest by river, by land, by heart.</i>
19	94120	Democratic propaganda.
19	94121	L'un des <i>nombreux</i> repaires des Errants dans la ville.
19	94124	Une CLOCHE de la CITÉ.
19	94126	Tu te trouves AU CŒUR de la roche rouge de Tolstad.
19	94130	Des escaliers menant aux docks grouillants.
20	76079	Your people's resting place.
20	76080	"""<b>Halt</b>."""
20	76082	Who put these barrels here?!
20	76083	Gare au CROQUE.
20	76084	Ce couloir est terriblement sinistre.
20	76087	Another One Way Door.
20	76088	Un manuel des monstres ! Mais la plupart des pages sont fichues.
20	76093	One goofy-looking cat.
20	76095	Hm. Something's off here.
20	76096	So. Much. Food.
20	76097	Le donjon se prolonge loin dans la partie ouest de Tolstad.
20	76103	So many Urthfolk. So much suffering.
20	76105	Un autre dieu. Mais il y a quelque chose dans son œil...
21	45055	Gah!
22	47838	Your homeland.
22	47839	Illym Forest.
22	47840	Divinii Torum.
22	47841	Vyz-Kha.
22	47843	HEIRWATH. LE PREMIER INVITÉ.
22	47844	<i>Sic semper tyrannis.</i>
22	47845	Reeds!
22	47846	Tol's Pass.
22	47847	Aujourd'hui, c'est une terre maudite.
22	47850	Tiens. On dirait une sorte de tournoi. Amusant.
22	47851	Askan.
22	47852	Jor's Point.
22	47853	Urthport.
22	47854	Your home.
23	55654	Tiens, tu peux marcher ici !
23	55655	Ruines du Toulin'Catl.
23	55657	Quelle vue divine.
23	55658	Ce type... il ne veut tout simplement pas bouger !
23	55660	Your stomach churns.
24	47273	Une fausse image du Toulin'catl. Un souvenir.
24	47274	On dirait la cloche de Waterlane.
24	47277	Vers le commencement. Tout ceci ne serait-il qu'un souvenir ?
24	47278	Ces belles falaises rouges. Ou quelque sorte d'imitation.
24	47281	Tu ne trouveras rien par ici.
24	47282	Une porte vers NULLE PART.
