level	path_id	english
1	60941	Blindess? No... something else.
1	60943	Your fate one day.
1	60946	"""Human no cause trouble."""
1	60948	Gah!
1	60949	Nothing here. Don't waste time.
1	60957	"""Good morning, Cleric."""
3	60943	Blindess? No... something else.
3	60944	Do not consume these sludgy liquids.
3	60947	"<b>""Soldier.""</b>"
3	60948	"<b>""Soldier.""</b>"
3	60950	"""Human no cause trouble."""
3	60952	Gah!
3	60953	Nothing here. Don't waste time.
3	60957	"""<i>Tsk</i>."""
3	60958	"""<i>Kraaid</i> feels great anticipation..."""
3	60960	"""Good morning, Cleric."""
4	213891	"""Dock workers? Yeah, free drinks should be fine."""
4	213902	Cozy spot.
4	213904	Delving? Sure.
4	213914	Not yet.
4	213915	Dwarven stone, broken in half. <b>Pure violence</b>.
4	213922	Oh, no, no, no...! Don't <shake>SLIP</shake>!
4	213927	"""Oh, elections! How <shake>JOYOUS</shake>!"""
4	213930	Get outta here!
4	213931	These stairs feel strange.
4	213941	Find some goodies!
4	213942	Highly esoteric.
4	213945	Evil. Yet non-hostile. Beware.
4	213948	"""Strange. Cart not fit hole. Bad hole?"""
4	213953	"""Gah!"""
4	213956	Worn down over eras.
7	47173	Door's barred. Not getting in here.
8	44362	Such <i>destruction</i>...
9	44094	On y lit : <i>Joanna, PDG. Maior quam ullus rex.</i>
10	81782	Time reclaims all.
11	66732	Arcanist tech. Incredible machinery.
12	65070	Your stomach twists. Beware her illusion.
12	65075	Quelque chose d'immonde fermente ici.
13	44832	<i>HWBT. AR Trade Co. AHPLC.</i> So many acronyms.
15	52811	Visual propaganda.
16	44182	Family.
17	44470	Almost dead, but not yet.
18	46378	<i>Free Cities. Democracy. Prosperity.</i>
19	94115	Careful, not too close...!
19	94116	<i>Conquest by river, by land, by heart.</i>
19	94120	Democratic propaganda.
20	76079	Your people's resting place.
20	76080	"""<b>Halt</b>."""
20	76082	Who put these barrels here?!
20	76083	Gare au CROQUE.
20	76087	Another One Way Door.
20	76093	One goofy-looking cat.
20	76095	Hm. Something's off here.
20	76096	So. Much. Food.
20	76103	So many Urthfolk. So much suffering.
21	45055	Gah!
22	47838	Your homeland.
22	47839	Illym Forest.
22	47840	Divinii Torum.
22	47841	Vyz-Kha.
22	47844	<i>Sic semper tyrannis.</i>
22	47845	Reeds!
22	47846	Tol's Pass.
22	47851	Askan.
22	47852	Jor's Point.
22	47853	Urthport.
22	47854	Your home.
23	55657	Quelle vue divine.
23	55660	Your stomach churns.
24	47278	Ces belles falaises rouges. Ou quelque sorte d'imitation.
