idx	prefix	english
0		You approach the half-sphere. 
1		The eight bands. You see Divinii Torum, Askan, Reeds, and Vourgeni... 
2		It accurately depicts the best-calculated distances we've got. 
3		The upper bands. Those filled with the forces of good, justice, and the Norvikian way. 
4		A foolish way to view the world. 
5		Where one side of the world is on top of the other, morally. 
6		As if the terrors of the world are in any way lesser in one part of the world. 
7		It is, though. Askan is a peaceful band, in comparison to others. Thanks to Urth! 
8		That is an ignorant statement, based on your own experience and nothing else. 
9		(Look at Divinii Torum.) 
10		(Look at Askan.) 
11		(Look at Reeds.) 
12		(Look at Vourgeni.) 
13		(Spin it around.) 
14		E-That's all for now. 
15		<i>Divinii Torum</i>. A pointy coastline, centered around a mountainous region at its center. Marked as, <i>Peak of the Gods.</i> 
16		Unnatural formations and shapes litter the landscape around it. 
17		Gate Era remains. Signs of divine battle. 
18		Further inland you see a vast flat plain divided into perfect squares, some with moat-like rivers surrounding them. A name spans this area. It says, <i>Golden Horde</i>. 
19		Various city-states are placed along the mountains on the Coast. Towns and roads are marked out across the plains. 
20		A great and terrible band. 
21		Where the gods once entered Jor. 
22		The Old Celestials hold great power here still, with their stagnating states. 
23		Their tribute practices and semi-slavery methods have given them a unique position in the Postwar Coast. 
24		<i>Askan</i>. You see the Burned Coast to the east, with the <i>Illym Forest</i> covering the border with Reeds. 
25		To the west are all the hills and mountains of <i>Fordnip</i> and <i>Vyz-Kha</i>. 
26		It says, in big bold letters, <i><b>Norvik</b></i> at the start of the River that cuts through the middle of the band. 
27		A great city, with great lettering. 
28		While this is your home band, you've only ever left the confines of Norvik once. And only to a neighboring river town. 
29		Remember that long-ship trip? Terrible. 
30		You were born in Norvik, and you will die in Norvik. 
31		You were born right outside of Norvik, actually. 
32		Silence, egghead. 
33		FATE ITSELF TIES YOU TO THE LAND. 
34		A BURNING FRAY, FAST AND TWISTING - A SPLITTING HAIR TO INCREASE THOSE TERRIBLE ODDS. 
35		Your stomach grumbles, yet you do not know WHY. 
36		Could be hungry? 
37		APPLES. Yes. MORE APPLES. 
38		<i>Reeds</i>. A vast temperate band. The coastline is bent into a large half-lake. 
39		Many city-states litter the landscape. 
40		Most are remnants of magocracies. 
41		Those who were not destroyed entirely during the Coast War. 
42		You see the Illym Forest to the west, and several marked-out areas on the map designated <i>Cursed Ground</i>. 
43		The Coast War took much. Even the land itself. 
44		If the great wizard-kings remained, they could clean that up. 
45		<i>Vourgeni</i>. A great highland. Strangely shaped lakes. Special markings designating 'gravity masses' - floating spheres of farmland that are logically difficult to map out. 
46		The only real cities are placed along the Coast. 
47		A line is marked out, halfway towards the Wastes. It says, <i>Frontier Gap</i>. 
48		You've heard of this place and its beauty. 
49		Perhaps one day you will see it yourself. 
50		You do so, revealing the other four bands. Those furthest away from your home band. 
51		You see Hae'Xi, Kargamesh, Fell Tire, and Ym... 
52		The lower bands. They are all wrought in madness and evil. 
53		Not true. That is an idea perpetuated by human arrogance. 
54		The term 'lower bands' itself is an insult to the wonderful cultures and folk who live there. 
55		You've never actually seen these bands, so... who knows what they're like. 
56		Kargamesh has awesome tea. 
57		(Look at Hae'Xi.) 
58		(Look at Kargamesh.) 
59		(Look at Fell Tire.) 
60		(Look at Ym.) 
61		(Look at Jor's Sea, the top of the half-sphere.) 
62		Why is it a hemisphere again? 
63		(Spin it back.) 
64		<i>Hae'Xi</i>. A grand jungle, with a handful of mountain ranges splitting the band into a spiral. 
65		It looks like a maw. 
66		Twirly! 
67		Several parts of this map are drawn very abstractly. 
68		We do not have proper information on large swaths of this band. 
69		It is simply too dangerous to map it out properly. 
70		Or there are people who do not wish to share the knowledge of their home... 
71		One of the few points actually marked out is Lake Cujah, near the border to Vourgeni. 
72		<i>Kargamesh</i>. Two vast deserts, with pockets of magical green across. 
73		The rocky savannah of the west and the far-reaching dunes of the east. 
74		Divided by the vast river-ravine, <i>The Bay of Four</i>. At the peak of which lies the legendary city of Ukkul. 
75		It is also marked by vast symbols for other Undercoast ravines, which connect with the various cities. 
76		The stereotypical exotic land beyond the Coast. 
77		You have read many a tale set in this wondrous land. 
78		<i>The Sand of the Orient.</i> And... <i>Emerald Serpents.</i> 
79		Stories about men, striving to conquer the foreign hordes and their lands. 
80		Glorious. 
81		You always remembered them more as being about <i>connection with the foreign</i>. 
82		How we can all learn from those who are different. 
83		All that fighting against Elemental Evils surely went against that message. 
84		<i>Fell Tire</i>. Red and white plains, with great forests to the east, and deserts to the west. 
85		A wonderful feature of the map, you can actually make out the corpse of Gorgorian as he lay upon Bloodcity Bay. 
86		Truly a fascinating landmark. 
87		One of those wonders of the world you should see once before you die. 
88		A place of devilry. You need not even think about such a place. 
89		<i>Ym</i>. The Walled Band. Large portions of the map are blank. 
90		These are marked out as, <i>Yggeria's Inner Wall</i>. 
91		You know very little of this land. 
92		As does everyone else. 
93		You do know, the Yobukodori hail from this Band originally. 
94		Maybe this is where Drummer wanted to go. 
95		Though he's probably not <i>that</i> stupid. 
96		<i>Jor's Sea</i>. The blue top-half of the hemisphere. 
97		Above the strip of land, you see a thousand little islands and islets marked out, along with common trade routes. 
98		But the further up you go, the fewer markings upon the blue. 
99		Only the Far Isles can be found there. 
100		At the top it says, <i>Jor's Point</i>. 
101		Beyond that, off the Coast of Hae'Xi you see <i>Salto del Sapo Alegre</i>. And below Reeds you see the text <i>Middle Edge</i>. 
102		This is a sea-hemisphere. There are full-globes that depict the land in more detail as well. 
103		However, since there is no consensus on exact distances - due entirely to the unstable esoteric natures of both inland and seaward - whether people view Jor's Realm as a hemisphere or a globe is up to the use-cases. 
104		It is not always depicted this way. If you look across the room, you can see a full-globe version as well. 
105		However, the scholarly modern depicting of the world is indeed a hemisphere purely for practical reasons. Travel across the deeper parts of Jor's Sea can be done via arcs across the Ocean. While travel across land - of the sort that in any way approaches the Endless Wastes - will likely result in getting lost in long marches. 
106		This is quite easy to understand. 
107		This is extremely difficult to understand. You have spent months studying esoteric geography at the Towers. 
108		You do so, seeing the four bands closest to you. 
109		Emotionally, at least. 
