idx	french
0	Tu t'approches de la demi-sphère.
1	Les huit bandes. Tu vois Divinii Torum, Askan, Reeds, et Vourgeni...
2	Elle dépeint fidèlement les meilleures distances calculées dont nous disposons.
3	Les bandes supérieures. Celles emplies des forces du bien, de la justice, et de la voie norvikienne.
4	Une façon stupide de voir le monde.
5	Où un côté du monde est au-dessus de l'autre, moralement.
6	Comme si les horreurs du monde étaient en quoi que ce soit moindres dans une partie du monde.
7	Elles le sont, pourtant. Askan est une bande paisible, comparée aux autres. Grâce à Urth !
8	Voilà une affirmation ignorante, fondée sur ta seule expérience et rien d'autre.
9	(Regarder Divinii Torum.)
10	(Regarder Askan.)
11	(Regarder Reeds.)
12	(Regarder Vourgeni.)
13	(La faire tourner.)
14	C'est tout pour l'instant.
15	<i>Divinii Torum</i>. Un littoral déchiqueté, articulé autour d'une région montagneuse en son centre. Marquée : <i>Pic des Dieux.</i>
16	Des formations et des formes contre-nature jonchent le paysage alentour.
17	Des vestiges de l'Ère des Portes. Des signes de bataille divine.
18	Plus loin dans les terres, tu vois une vaste plaine plate divisée en carrés parfaits, certains entourés de rivières évoquant des douves. Un nom couvre cette zone. Il indique : <i>Horde Dorée</i>.
19	Diverses cités-États sont disposées le long des montagnes sur la Côte. Villes et routes sont tracées à travers les plaines.
20	Une grande et terrible bande.
21	Là où les dieux pénétrèrent jadis dans Jor.
22	Les Vieux Célestes y détiennent encore un grand pouvoir, avec leurs États stagnants.
23	Leurs pratiques tributaires et leurs méthodes de semi-esclavage leur ont valu une position unique dans la Côte d'après-guerre.
24	<i>Askan</i>. Tu vois la Côte Brûlée à l'est, avec la <i>Forêt d'Illym</i> couvrant la frontière avec Reeds.
25	À l'ouest se trouvent toutes les collines et montagnes de <i>Fordnip</i> et <i>Vyz-Kha</i>.
26	On lit, en grosses lettres grasses, <i><b>Norvik</b></i> à la source de la Rivière qui traverse le milieu de la bande.
27	Une grande cité, avec un grand lettrage.
28	Bien que ce soit ta bande natale, tu n'as quitté les limites de Norvik qu'une seule fois. Et seulement vers une ville fluviale voisine.
29	Tu te souviens de ce voyage en drakkar ? Terrible.
30	Tu es né à Norvik, et tu mourras à Norvik.
31	Tu es né juste à l'extérieur de Norvik, en fait.
32	Silence, tête d'œuf.
33	LE DESTIN LUI-MÊME TE LIE À LA TERRE.
34	UNE FRANGE ARDENTE, RAPIDE ET SINUEUSE - UN CHEVEU QUI SE FEND POUR ACCROÎTRE CES TERRIBLES PROBABILITÉS.
35	Ton estomac gronde, et pourtant tu ignores POURQUOI.
36	Faim, peut-être ?
37	DES POMMES. Oui. ENCORE DES POMMES.
38	<i>Reeds</i>. Une vaste bande tempérée. Le littoral se courbe en un grand demi-lac.
39	De nombreuses cités-États jonchent le paysage.
40	La plupart sont des vestiges de magocraties.
41	Celles qui ne furent pas entièrement détruites durant la Guerre de la Côte.
42	Tu vois la Forêt d'Illym à l'ouest, et plusieurs zones marquées sur la carte désignées <i>Terre Maudite</i>.
43	La Guerre de la Côte a beaucoup pris. Même la terre elle-même.
44	Si les grands rois-magiciens demeuraient, ils pourraient nettoyer tout ça.
45	<i>Vourgeni</i>. De grandes hautes-terres. Des lacs aux formes étranges. Des marques spéciales désignant des « masses de gravité » - des sphères flottantes de terres agricoles logiquement difficiles à cartographier.
46	Les seules vraies cités sont disposées le long de la Côte.
