idx	prefix	english
0		Entering the AR Trading Company greets you with a blinding sight. 
1		A celestial being, wrought in radiant light. 
2		"Ah, Cleric. Arriving exactly when I need you." 
3		"This is the ambassador of the Golden Horde." 
4		The light reaches out to you, as a voice forms in your mind. 
5		"Do not fear the light." 
6		"Ours do not dis-align. You are safe." 
7		Your legs turn to jelly. 
8		Your stomach yells. 
9		This whole <i>be not afraid</i> business is sort of counter-productive, really. 
10		Do the proper greeting. Title, and bow your head. 
11		"Greetings, celestial." 
12		"Ambassador." (Bow your head.) 
13		"Oh gods save me." 
14		"Cleric." 
15		"Trust me. That is what we wish." 
16		The light flutters. 
17		Snell stands behind you, clearly uncomfortable. 
18		"<i>Careful, Cleric</i>." 
19		Beside the light stands a woman draped in red. 
20		The light reaches towards her. 
21		She bows her head to it. 
22		"Yes, Ambassador." 
23		She begins to leave for the door- but on the way she throws you a stern glance. 
24		"You again." 
25		"Watch yourself, Cleric. For the Light watches you." 
26		Once the ambassador's servant leaves, Viira lifts her chin, squinting. "So. We've been talking about some new projects on Waterlane. " 
27		"I mentioned how you helped getting the AEFAs out to local entrepreneurs. And they-" 
28		"We know who you are." 
29		"We know who you are. Ragn and Snell." 
30		The voice interrupts Viira, who immediately goes silent. 
31		The goblin jolts at the mention of his name in his mind. 
32		He dares not look at the light. 
33		"That's scary." 
34		"Of course you do. I'm a big deal." 
35		"...Okay." 
36		"Don't worry. The ambassador means it in a nice way." 
37		Agent Viira snickers to herself. 
38		The ambassador's light then turns to your companion. 
39		"A goblin in service of The Dragon of Tolstad." 
40		"Uh." 
41		"You tread a clean path. You led the front during the Icebay Point operation." 
42		"You stabilized the HWBT City Below expansion project on your first year of service." 
43		"A goblin going against the grain to get results." 
44		"You have been noticed." 
45		(Look at Snell.) 
46		"<shake>Uh</shake>." 
47		Snell attempts to glare at the light. 
48		He is sweating. 
49		Snell is nervous. You feel bad for him. 
50		Stand up to the light, goblin. 
51		Do not falter. 
52		"Thanks for... noticing." 
53		The light grows closer to you. 
54		"You are special, Ragn. An exception." 
55		"The Horde places attention on exceptions. That is what we do." 
56		"How am I special?" 
57		"I'm special." 
58		(Just squint at the light.) 
59		"You are the only registered cleric in the city who is not listed in the Party of Norvik." 
60		That's just because they didn't like you. 
61		A bureaucratic mess. 
62		Because they suck. Duh. 
63		"You have a history of political violence. You have an innate talent for the esoteric arts." 
64		Well, yes. You are potentially the greatest wizard of this generation. 
65		Yes. You are the greatest wizard of this generation. Obviously. 
66		That was a false report. You did not enact any violence. 
67		The violence was enacted upon you. By an Urthguard soldier. 
68		Violence? No. You are not capable of that. 
69		You didn't even throw any rocks. 
70		Plus, that was years ago. Why is the celestial bringing this up? 
71		"You have shown support of Reedsian ideologues in public writing. Multiple times." 
72		Yeah. Your patriarch did NOT like that. 
73		Not one bit. 
74		That was a mistake. A stumble into the dark side of politics. 
75		You have paid for it dearly. 
76		The only reason why you haven't been fired is your incredible magical knowledge. 
77		Yeah. They only keep you around because you're still useful. 
78		Otherwise, with all this bullshit hanging about, you'd be gone a long time ago. 
79		"You are an anomaly, Ragn." 
80		"What you have done here with Agent Viira shows more proof of that." 
81		"Why are you paying any attention to me?" 
82		"Thank you." (Take a deep bow.) 
83		"Stop looking into me. I don't like you Golden Horde people." 
84		"It is what we do." 
85		"<i>Cleric</i>." 
86		"Perhaps you will reconsider." 
87		"The Golden Horde wishes to extend a bond of service to you." 
88		"You and Snell." 
89		"A bond...?" he mutters behind you. 
90		Could be cool. But what do you get out of it? 
91		Your bond is to this city. Nothing else. 
92		And to Urth, right? 
93		Oh. Yes. To Urth as well. 
94		"A bond." 
95		"That could be interesting." 
96		"What do I get in return?" 
97		"I'm not interested." 
98		"A fair question, Ragn." 
99		"Hear the ambassador out, Cleric." 
100		She is trying to help you not make a fool out of yourself. 
101		She's in his pocket. 
102		"The Golden Horde offers many opportunities for outside contractors." 
103		"Addressed through the Askanii-Reeds Trading Company, we would be very interested in building this potential relationship." 
104		"This means, for you: well-paid positions of power. Political ambitions. Monetary security." 
105		"In return, this means: Monthly communications with agents. Occasional alternate goals as ordained by us - and eventually joining the Golden Horde's outreach program." 
106		In short, become their spy. 
107		In return, they protect you. 
108		Safety under the WING of the HORDE. 
109		Until you're no longer useful. 
110		This would be signing your soul away to a foreign power. 
111		If calculated, it could prove useful. But in the long-term, it seems foolish. 
112		This celestial wants to use you. They view you as sheep. Nothing else. 
113		You cannot read this celestial. It is truly alien to you. 
114		"The AR Trading Co. would of course cooperate on such a deal. If you were interested, Cleric." 
115		"We have deep ties with the Golden Horde, as you can imagine." 
116		"Is this offer something you would be interested in, Ragn?" 
117		"Potentially." 
118		"Yes. Sign me up." 
119		"No. Never." 
120		"I'm not sure. Can I think about it?" 
121		"Yes. You may. Perhaps we shall speak again on this. In the future." 
122		"Nothing about this has to happen right away..." 
123		"His response has been recorded. That is what we needed." 
124		"We shall leave this for now." 
125		"We shall be in contact." 
126		"And while we are here, the offer is also extended to Snell." 
127		"Do you hold any interest in this deal?" 
128		His eyes dart to you. 
129		He is being clever here. Calculated. 
130		"I can consider it." 
131		"Your consideration has been recorded." 
132		He shrugs. 
133		"Thank you." 
134		"Now, to move on." 
135		"Several AEFAs have been signed on Tolstad. That is good work, Agent Viira." 
136		"Oh, like I mentioned, the Cleric's effort was integral to this success." 
137		"And we will continue in the coming days, post-election." 
138		"That is satisfactory." 
139		"Yeah, I gave out those contracts to a bunch of people." 
140		"Not so many were positive about this AEFA business." 
141		"We'll get everyone into the Accord, eventually." 
142		"Oh yes. We heard back from several of them." 
143		"They'll come around." 
144		"They always do." 
145		"Oh yes!" 
146		"As to the content of these contracts, I have been informed of some changes." 
147		"Changes?" 
148		Her stance changes. 
149		She did not like that. 
150		Uh oh. 
151		"What changes?" 
152		"Currently the Accord has a big incentive for Reedsian investors. We wish to expand that to include those of the Golden Horde." 
153		"I believe we spoke about this at the-" 
154		"This AEFA also includes several loopholes and problematic elements that could interfere with the Golden Horde's current and future blockades." 
155		"The Clanlands." 
156		"Yes. Among others." 
157		"If local businesses are able to trade freely via land, as well as sea, to regions and states the Golden Horde deems sanctioned, in both more serious cases as the Clanland conflict, as well as lesser situations of targeted tariffs, then we cannot move forward." 
158		"This issue has been brought forth already with your owners. Expect several errata in the near future." 
159		"It would have been good to see these comments <i>before</i> the election. As discussed." 
160		"I apologize for the tardiness. But I assure you, this issue is entirely the fault of the Askanii-Reeds Trading Company." 
161		Hah! 
162		This guy just said, <i>I'm sorry, but everything is actually your fault</i> to her face. 
163		These celestials are hilarious. 
164		"<i>You...</i>" 
165		The rage. 
166		She clenches her jaw as she stares at him. 
167		"Agent Viira." 
168		"This is above you." 
169		Above her rank. 
170		In the clouds. With the angels. 
171		She clears her throat and straightens her outfit. 
172		"Of course." 
173		"Of course, <i>Ambassador</i>. Thank you for the heads up." 
174		Her entire being is <i>restrained rage</i>. 
175		The light turns back to you. 
176		"The Golden Horde is very interested in seeing economic prosperity in your city, Ragn." 
177		So they can use us as slave labor. 
178		They want control. 
179		Growth through foreign economic influence is not true growth. 
180		If Norvik owes its economic stability to foreign powers, those powers shall be its true owners. 
181		It's an intelligent strategic move, if you wish to control your neighbors. 
182		Agent Viira nods, looking like she's going to explode. 
183		"The first step towards that, is handling the Clanlands. For far too long Norvik has ignored its halfling war criminal populace." 
184		"I ask you, Ragn, as a cleric of this city: do you believe the humans will choose prosperity over the propaganda of the Clanlands?" 
185		Viira says nothing, but throws you a glance. 
186		Her anger now fades, replaced by another expression. 
187		Her eyes telling you: <i>this guy's a monster, so be careful</i>. 
188		You're not sure what it means. But it is a strained expression. 
189		What are the halflings to us? 
190		Oh gods. What should I say? 
191		"They are our closest neighbors. The Urthfolk will always stand by the Clanlands." (Stand by the Clanlands.) 
192		"The people of Norvik do not believe in halfling propaganda." (Stand by the Golden Horde.) 
193		"My city does not involve itself in foreign conflicts. We will simply seek prosperity <i>and</i> avoid propaganda." (Stay neutral.) 
194		Neighbors. Not too close. 
195		Some type of neighbors. 
196		Just another folktype. Unlike dwarves, they have no close bond with the Urthfolk. 
197		They are a resilient, stout folk, one found all across the Coast. 
198		Not too unlike humans, they have been enslaved and controlled for most of their history. 
199		You must stand by them. 
200		Careful now. 
201		If you antagonize this guy, you've got a whole new mess to deal with. 
202		Maybe just stay neutral. 
203		If you kiss his ass, he'll know you're an asset. 
204		If you go all halfling lovey-dovey, he'll know you'll never be one. 
205		But considering the weird tension here, that might not be a bad thing. If you antagonize him, you might be able to push back. 
206		Which, if you do it correctly... might net you some points with Agent Viira. 
207		Who cares about the halflings? 
208		But more importantly, while this guy is clearly not someone to fuck with- if you push back in just the right way... 
209		"For now." 
210		Ominous. 
211		"Good." 
212		The light perceives you. 
213		"The Golden Line is set." 
214		"Halflings have shown themselves unable to accept this fact." 
215		"We set the Line to protect them. To create a lasting peace. Since they refuse to comply with our reasonable demands - I hope you understand - our most peaceful method of handling their terrorism is through sanctions." 
216		The light turns back to Viira. 
217		"Agent Viira. You have been a valuable asset for many years. Yet I sense frustration in you. That is not acceptable." 
218		She glares at the light. 
219		"You will make certain the Askanii-Reeds Trading Company fully complies with the AEFA erratum." 
220		"It is a matter of Golden Horde security. It is not negotiable. It will be your highest priority as of now." 
221		"If the Cleric is agreeable, funds will be procured for his involvement as well." 
222		Viira looks defeated. 
223		The orc is beaten. 
224		This is tense. 
225		Horrific. This celestial wields enormous power in those words of his. 
226		Both the Freestriders and this monster can go fall through every hell in the book! 
227		This is the power of a god. It's almost as if you have to kneel... 
228		He's so precise in his words- you have no chance here. 
229		<b>Focus</b>. 
230		The light-guy is fast and precise- but you know. You KNOW that he's bullshitting. It's INSTINCT. 
231		Catch him on it. <b>For the Revolution</b>. Stand up to him first, then do it! 
232	ROLL13 dex-	Catch the ambassador in a contradiction. 
233		"I am happy to see the Golden Horde helping my city, Ambassador." (Kiss his ass.) 
234		"I understand." (Stay neutral.) 
235		"This is all bullshit. The Freestriders are corrupt. The Golden Horde are a bunch of monsters. I can't stand either of you." (Don't side with either. Fuck 'em.) 
236		Viira perks up at your words. 
237		The light watches you. Not saying anything at first. 
238		Then the voice emits one word: 
239		"<i>Mortal</i>." 
240		"Decaying. Flawed." 
241		"I see you." The light grows. "As you are." 
242		He's giving you a chance to back down. 
243		Don't! 
244		"I am happy to hear that." 
245		"And just saying, I totally support the invasion of the Fordnip Commonwealth. Those halflings had it coming!" (Kiss it harder.) 
246		"Your presence is a blessing in these dark times." (Kiss it slightly less egregiously.) 
247		The Golden Line. 
248		You'd think an all-powerful angel-horde would be able to do whatever they want. 
249		Instead, they draw a line in the sand. Why? 
250		Well, you know why. 
251		International pressure. 
252		Exactly. 
253		They can't just invade Askanii, since that'd make every country on the Coast pull the alarms. 
254		You see how he pushes for the image that we need them- but not the other way around? 
255		Poke on that! Now! 
256		"Ambassador. If you want to solve your Clanlands-problem, then you need support from the international community. You need the Free Cities' support." 
257		The light flickers. 
258		"This is a <i>cooperation</i>. You know the Revolution will be hurt, as will your ambitions, if they push too hard on the AEFAs." 
259		The ambassador perceives you. 
260		"Make concessions, Ambassador. It's worth it. You know the local Freestriders will rout and dance around it if you don't. Make sure your <i>Choir</i> knows it." 
261		"You speak with confidence, Ragn." 
262		"Only because you know I am correct." 
263		The Golden Line. The Horde and its invasion. 
264		You know he's bullshitting you on some level... 
265		But about WHAT? 
266		(Stare at the Ambassador's light.) 
267		No. No, no, no. 
268		No way you'll get it in time. You've been staring at him for like, three seconds at this point. 
269		YOU GOTTA SAY SOMETHING! 
270		ANYTHING! 
271		What should I say?! 
272		Just... be nice. Calm. Normal. 
273		That should solve it, in a somewhat peaceful manner. 
274		No. 
275		You should tell them both to leave you alone. 
276		If you want to be smart, then just stay neutral. 
277		Lashing out will only cause people to hate you now. Don't want that. 
278		This celestial is a monster. 
279		You do not owe them anything. 
280		"I... I will take this into... consideration." (Bow your head deeply and neutrally.) 
281		"Fuck the Freestriders! Fuck the <shake>Golden Horde</shake>! I <i>despise</i> you both." (Yell, and break your ties with the Freestriders.) 
282		"Good," the voice says. 
283		"The Golden Horde is glad to be of assistance to your people, Ragn." 
284		Viira closes her eyes and sighs. 
285		The light intensifies. 
286		"You speak from the heart." 
287		"Fascinating." 
288		"We will however not be interested in working with you going forward." 
289		"Agent Viira, I question your judgment here as well. I assume you understand this." 
290		"Yes, Ambassador," she grunts, her jaw clenched and eyes locked at you. 
291		Fire and brimstone. 
292		"I apologize for this." 
293		The light retracts, focused in on the <i>head</i> of the celestial. 
294		Viira looks on with a smirk, clearly entertained. 
295		Oh yeah. 
296		You hit the right spot. 
297		"The AEFA erratum is not my decision," the voice says. 
298		"However, I will consider your statement," he says. "Agent Viira. Do you concur?" 
299		"I do, Ambassador. My earlier frustration was due to this problematic situation. The AR leadership will struggle with these changes." 
300		"A... <i>compromise</i> would go through much easier. Even just starting with a discussion - perhaps between you and our owners - would go a long way." 
301		"Good. This will be taken into account." 
302		The ambassador begins to float towards the door. 
303		"I will leave you now. Thank you for your time." 
304		The radiant light-being opens the door via some type of telekinesis and floats out onto the streets of Waterlane. 
305		Viira stands up, walking over to the fireplace, leaning against the brickwork. 
306		She lets out a deep sigh. 
307		"Good going. You handled that well." 
308		"Didn't mean to toss you in like that, but the ambassador insisted." 
309		"No problem. I can handle anything." 
310		"That was horrifying." 
311		"Yeah, screw you for that." 
312		"Confident as always." 
313		"A bit, yeah." 
314		She laughs. 
315		"Guess I deserve it." 
316		"Let me tell you, we're not quite as owned by the Golden Horde as that sounded like." 
317		"It's a functional cooperation. They don't exactly live our libertarian values." 
318		"Celestials do have a tendency for the authoritarian. And the... supremacist." 
319		"Gods." 
320		"I thought you would have a bit more tact." 
321		"You were mistaken." 
322		"I don't want anything to do with this." 
323		"I'm sorry." 
324		"I'm not sorry." 
325		"<shake>Obviously</shake>." 
326		"I don't care." 
327		She slams her clenched fist into the wall. 
328		Not so hard to cause any self-harm, but hard enough to make a sound. 
329		An act of frustration. 
330		"Please leave, Cleric." 
331		"<b>Now</b>." 
332		E-...Maybe I should. 
333		She lets out a deep, tired groan. 
334		Viira is allowing herself to be herself around you, a little bit more. 
335		"I don't want to congratulate you on annoying our dear friend the ambassador, but..." 
336		The orc agent shoots you an intriguing smirk. The type you haven't seen for many, many years. 
337		"That was <i>fucking beautiful</i>." 
338		Moving closer, she follows it up with a firm tap on the back. 
339		"I really tossed you into the deep end, but you handled yourself exactly the way I like..." 
340		(Gulp.) "I'm happy to be of service." 
341		"That's how we Freestriders deal with imperialists." 
342		"It was slightly horrifying." 
343		"I just told the truth to the celestial bastard." 
344		"So service-minded..." 
345		"Yes, indeed..." 
346		"How do you think <i>I</i> feel?" 
347		"You sure did..." 
348		"Look, I have to deal with the Choir entanglement all the time. And they never cease with the bullshit." 
