idx	french
0	Entrer dans la Compagnie Marchande AR t'accueille d'une vision aveuglante.
1	Un être céleste, forgé dans une lumière radieuse.
2	« Ah, Clerc. Vous arrivez exactement quand j'ai besoin de vous. »
3	« Voici l'ambassadeur de la Horde Dorée. »
4	La lumière se tend vers toi, tandis qu'une voix se forme dans ton esprit.
5	« Ne crains point la lumière. »
6	« La nôtre ne désaligne pas. Tu es en sécurité. »
7	Tes jambes se muent en gelée.
8	Ton estomac hurle.
9	Toute cette histoire de <i>ne crains point</i> est plutôt contre-productive, en vérité.
10	Fais les salutations comme il se doit. Le titre, et incline la tête.
11	« Salutations, céleste. »
12	« Ambassadeur. » (Incliner la tête.)
13	« Oh, que les dieux me sauvent. »
14	« Clerc. »
15	« Crois-moi. C'est ce que nous souhaitons. »
16	La lumière ondoie.
17	Snell se tient derrière toi, visiblement mal à l'aise.
18	« <i>Prudence, Clerc.</i> »
19	À côté de la lumière se tient une femme drapée de rouge.
20	La lumière se tend vers elle.
21	Elle lui incline la tête.
22	« Oui, Ambassadeur. »
23	Elle se dirige vers la porte- mais en chemin elle te jette un regard sévère.
24	« Encore vous. »
25	« Tenez-vous à carreau, Clerc. Car la Lumière vous observe. »
26	Une fois la servante de l'ambassadeur partie, Viira lève le menton, plissant les yeux. « Bon. Nous discutions de quelques nouveaux projets sur Waterlane. »
27	« J'ai mentionné comment vous avez aidé à distribuer les AEFA aux entrepreneurs locaux. Et ils- »
28	« Nous savons qui vous êtes. »
29	« Nous savons qui vous êtes. Ragn et Snell. »
30	La voix interrompt Viira, qui se tait aussitôt.
31	Le gobelin sursaute à la mention de son nom dans son esprit.
32	Il n'ose pas regarder la lumière.
33	« C'est effrayant. »
34	« Bien sûr que oui. Je suis quelqu'un d'important. »
35	« ...D'accord. »
36	« Ne t'inquiète pas. L'ambassadeur le dit gentiment. »
37	L'Agente Viira ricane pour elle-même.
38	La lumière de l'ambassadeur se tourne alors vers ton compagnon.
39	« Un gobelin au service du Dragon de Tolstad. »
40	« Euh. »
41	« Tu foules un chemin sans tache. Tu as mené le front durant l'opération d'Icebay Point. »
42	« Tu as stabilisé le projet d'expansion de la Cité d'En Bas du HWBT dès ta première année de service. »
43	« Un gobelin allant à contre-courant pour obtenir des résultats. »
44	« Tu as été remarqué. »
45	(Regarder Snell.)
46	« <shake>Euh</shake>. »
47	Snell tente de foudroyer la lumière du regard.
48	Il transpire.
49	Snell est nerveux. Tu te sens mal pour lui.
50	Tiens tête à la lumière, gobelin.
51	Ne fléchis pas.
52	« Merci de... l'avoir remarqué. »
53	La lumière se rapproche de toi.
54	« Tu es spécial, Ragn. Une exception. »
55	« La Horde porte son attention sur les exceptions. C'est ce que nous faisons. »
56	« En quoi suis-je spécial ? »
57	« Je suis spécial. »
58	(Se contenter de plisser les yeux vers la lumière.)
59	« Tu es le seul clerc enregistré dans la cité qui ne figure pas au Parti de Norvik. »
60	C'est juste parce qu'ils ne t'aimaient pas.
61	Un fouillis bureaucratique.
62	Parce qu'ils sont nuls. Évidemment.
63	« Tu as un passé de violence politique. Tu as un talent inné pour les arts ésotériques. »
64	Eh bien, oui. Tu es potentiellement le plus grand magicien de cette génération.
65	Oui. Tu es le plus grand magicien de cette génération. Évidemment.
66	C'était un faux rapport. Tu n'as commis aucune violence.
67	La violence a été commise sur toi. Par un soldat de la Garde-d'Urth.
68	De la violence ? Non. Tu n'en es pas capable.
69	Tu n'as même pas jeté de cailloux.
70	En plus, c'était il y a des années. Pourquoi le céleste remet-il ça sur le tapis ?
71	« Tu as manifesté publiquement, dans tes écrits, ton soutien à des idéologues reedsiens. À plusieurs reprises. »
72	Ouais. Ton patriarche n'a PAS aimé ça.
73	Pas le moins du monde.
74	C'était une erreur. Un faux pas dans le côté obscur de la politique.
75	Tu l'as payé cher.
76	La seule raison pour laquelle tu n'as pas été renvoyé, c'est ton incroyable savoir magique.
77	Ouais. Ils te gardent seulement parce que tu es encore utile.
78	Sinon, avec toutes ces conneries qui traînent, tu serais parti depuis longtemps.
79	« Tu es une anomalie, Ragn. »
80	« Ce que tu as accompli ici avec l'Agente Viira en apporte une preuve de plus. »
81	« Pourquoi me prêtez-vous la moindre attention ? »
