idx	prefix	english
0		"How <i>lovely</i> of you to join us, Cleric." 
1		The orc nods towards the shining beacon of a guest floating in front of the fireplace. 
2		You should speak with him. 
3		E-...Okay. 
4		You approach the orc as she's working through some papers on the sofa. 
5		She barely looks up at you. 
6		"I turned in some more AEFAs." 
7		"Hey." 
8		(Just stare at her and breathe heavily.) 
9		Viira jolts as she notices you. 
10		"Oh! Hello, Cleric. I didn't even notice you come in..." 
11		She gets up and places the documents in a drawer. 
12		(Walk over to her.) 
13		Among fancy furniture, and before the crackling fireplace, you see an orc. She raises her head towards you when you approach. 
14		"Ah. You must be the Urthguard gentleman I've heard so much about." 
15		She hides it well, but the orc is stressed. Perhaps it has to do with the dwarves. 
16		Exuding an air of authority around her, the large woman gives you a wry smile. Her tusks are gleaming. 
17		"Welcome to the Askanii-Reeds Trading Company." 
18		Not just physically imposing, this orc knows how to exert power in other ways as well. 
19		You spot the merchant's mark on her jacket sleeve - a heart with the initials of the Norvikian Freestrider regiment. 
20		You sure walk around like a damn advertisement with this drab uniform. 
21		As he SHOULD. 
22		She presents her palm to you. "Viira is my name. I am Second-in-Command Guild Agent of Tolstad." 
23		"Nice to meet you..." 
24		Yes, the handsome orc lady wants you to say a name. 
25		Be nice to her! She's a Freestrider. 
26		Make sure she knows you are a CLERIC. 
27		The showing of the palm is a casual cultural greeting in Reeds. 
28		Do not grab her hand. That's not what that is. 
29		Take her hand. She would love that. 
30		(Grab her hand.) 
31		"I'm Ragn." 
32	DC10 dex-	"I'm a Rogue." 
33		"I'm <b>The Cleric</b>, actually." 
34		"Names and labels aren't important." 
35		You reach forward and take her hand in yours. She's clearly a bit confused. 
36		She did not expect this. 
37		It becomes a sort of awkward handshake. 
38		You realize her hand is a fair bit larger than yours. She could easily match your tremendous force. 
39		You realize her hand is a fair bit larger than yours, and something stings in your soul. Fragile as it is, a part of you has been bruised by the simple thought of her overwhelming power. 
40		Yes... now kiss it. 
41		(Let go of her hand.) 
42		(Kiss her hand.) 
43		She gives you a polite smile. 
44		You lean in and attempt to bonk the front of your helmet against the top of her hand. 
45		She quickly pulls it back. With a laugh she says, "Perhaps a name is in order first, human." 
46		She appears mildly entertained by your strange behavior. Maybe she would enjoy more of it? 
47		"Hello, Ragn." 
48		"Rogue? Like a... swashbuckler? Intriguing." 
