idx	french
0	À côté de la statue ensevelie, tu vois quelqu'un sur une corniche.
1	Des grognements résonnent dans la chambre, avec le bruit du fer contre la pierre.
2	Tu entends le son de... quelqu'un qui travaille.
3	Des grognements. Des tintements. Et ainsi de suite.
4	Un nain ? Ici en bas ?
5	Ça pourrait être un piège.
6	« Ohé, là-haut ! »
7	« Identifiez-vous, citoyen ! »
8	(Se racler la gorge.)
9	Nan.
10	Tu le fais. Mais c'est noyé par le vacarme.
11	(Se racler la gorge bien, bien plus fort.)
12	« Hé, je te parle ! »
13	« Hein ? »
14	Les yeux ardents du nain s'écarquillent en te voyant.
15	« Regarde Romulus, on a un officiel en visite ! »
16	« Si ça ne fait pas de nous des officiels, je ne sais pas ce qui le fera ! »
17	En jetant un œil par-dessus la corniche, tu repères un monstre orange rôdant.
18	Un Monstre Rouilleur. Le nain semble en bons termes avec lui. Comme c'est étrange.
19	Les Monstres Rouilleurs sont connus pour dévorer le métal. Garde tes distances.
20	« Et, euh... » marmonne-t-il en se penchant. « Joli seau ! »
21	« Et, euh... » marmonne-t-il en se penchant. « Joli pot ! »
22	« C'est quoi ce truc ?! »
23	« C'est un Monstre Rouilleur ? »
24	« Que faites-vous ici ? »
25	« Avez-vous une licence pour... ça ? »
26	« Descendez de là. »
27	« Quelle trouvaille ! »
28	Bien. Il joue le jeu.
29	Il croit que tu fais un <i>numéro</i>.
30	C'est le cas.
31	« Un si merveilleux <i>butin</i> ! »
32	« Oh, pas d'inquiétude ! C'est juste Romulus. »
33	« Il est très gentil. » Le nain marmonne alors pour lui-même : « <i>Quand il est nourri</i>. »
34	De mauvais augure.
35	« Oh oui ! Tout à fait exact. Mais pas d'inquiétude ! »
36	« Moi ? Oh. Tu sais. »
37	Il lâche un rire ardent. « Un nain doit bien avoir un passe-temps ! »
38	Miner dans d'anciennes ruines n'est pas un passe-temps. C'est une profession.
39	« Une licence ? »
40	« Je pensais pas qu'on en avait besoin pour risquer sa vie ici en bas ! »
41	Il n'a pas tort.
42	« Nan. Ça m'a pris des lustres d'obtenir cette place. »
43	« On peut parler comme ça ! C'est bon. »
44	Insubordination.
45	Il pose ses outils et prend la pose.
46	« Laisse-moi me présenter. Je suis Akzel Mâdsson ! »
47	Un nain sombre.
48	Ou comme ils préfèrent, un <i>sous-nain</i>.
