idx	french
0	« <i>Ho-la-vache</i>. »
1	« C'est pas tous les jours qu'on voit un truc pareil... »
2	Niché dans les vestiges d'un appartement envahi par la végétation et très probablement déplacé ésotériquement...
3	Tu te tiens devant le crâne d'un dragon.
4	Pas n'importe quel dragon.
5	Sa taille indique un âge formidable.
6	C'est quoi ce bordel.
7	C'est un dragon ancien de l'Ère du Déclin.
8	Une bête horrible, tuée par quelque grand héros d'antan.
9	Le dragon est mort.
10	Très, très mort.
11	(Regarder autour.)
12	Tu peux le sentir.
13	Ce n'est pas une CHAMBRE ordinaire.
14	C'est un lieu EN DEHORS du matériel.
15	L'étrange sensation...
16	Est-ce que c'est...?
17	Une poche ésotérique, oui. Cet appartement en ruine tout entier existe à l'intérieur d'une.
18	Une plutôt stable, qui plus est.
19	Examiner le crâne.
20	Je ne devrais <i>pas</i> rester dans ce lieu.
21	Comme tu l'as réalisé. C'est une Poche Temporelle.
22	Le temps à l'intérieur s'écoule lentement. Dix contre un, si tu en crois le dragon- ce qu'en l'occurrence tu devrais.
23	Ça s'aligne sur ton infaillible horloge interne.
24	Et le vieux gobelin est très probablement ici depuis plus de dix ans, de son point de vue.
25	Mais ce n'est pas ton problème.
26	J'ai une horloge interne infaillible.
27	Oui.
28	Plus ou moins.
29	Pas. Ton. Problème.
30	Logiquement, ça devrait être une sorte de dimension de poche.
31	Elle paraît plutôt stable.
32	C'est une poche-jungle d'un genre ou d'un autre.
33	Elle paraît stable, pour l'instant.
34	Très ésotérique.
35	Une dimension de poche ?
36	Une poche-jungle ?
37	Un éclat de dimension de poche, projeté dans le royaume matériel.
38	Elle se déplacera probablement avec le temps, emportant un nouveau morceau de quelque chose avec elle.
39	Volant des objets, piégeant des victimes, et accumulant des objets anciens.
40	Comme ce crâne de dragon.
41	Bien que ce soit très probablement plus que le seul crâne piégé entre ces murs.
42	Oui. Les murs envahis de végétation et l'étrange lumière ambiante le rendent évident.
43	C'est un éclat de terre venu de quelque temps ancien.
44	Probablement l'Ère du Déclin. Peut-être celle des Portes.
45	Ne t'attarde pas trop ici.
46	Le crâne massif est posé là, vide et ancien.
47	Aucun signe de Domnall.
48	Il est probablement plus profond à l'intérieur. Caché.
49	Gardant sa précieuse clé.
50	La structure crânienne est remarquablement intacte, comme on peut l'attendre de cette poche.
51	Hautement dense, aussi. L'analyse en coupe des fractures exposées montre un tissu trabéculaire minimal.
52	D'après ce que tu as lu sur les os de dragon, qui sont une fascination chez certains savants, ceux-ci sont authentiques, pour commencer.
53	Les sutures sont complètement soudées - pleine maturité squelettique.
54	Et la taille semble pointer vers un âge mature.
55	Quelque part entre adulte et ancien.
56	Un <i>Dragon Rouge.</i>
57	Plus important encore, tu remarques quelque chose de logé dans le maxillaire postérieur...
58	Quelque chose dans la cavité sinusale.
59	(Plonger la main dans la... <i>cavité sinusale</i>.)
60	Prudence.
61	N'enfonce pas ta main trop profond.
62	Qui sait ce qui se tapit là-dedans.
63	Tes doigts effleurent quelque chose de froid. Du métal.
64	Tu le retires.
65	Une clé.
66	Couverte de mousse et de rouille. Ancienne. <i>Ésotérique</i>.
67	Elle te picote dans la main.
68	« Qu'est-ce que t'as trouvé ? »
69	Il tend le cou pour mieux voir.
70	(Lui montrer la clé.)
71	« Une clé de quoi ? »
72	« Je sais pas encore. »
73	« Quelque chose d'important, je parierais. »
74	« Le plus grand trésor du monde, probablement. »
75	« Utile. »
76	Il lève les yeux au ciel.
77	« Tu parierais un tas de choses. »
78	« C'est ça. Bien sûr. »
79	« Hein. Rouillée. »
80	Le condyle occipital montre que c'était une créature capable de supporter un immense poids de cou.
81	Les fenêtres temporales sont énormes - de la place pour de massifs muscles adducteurs.
82	D'après la longueur du crâne et la capacité crânienne...
83	Mmm. Oui. Il me vient une idée. (Réfléchir intensément.)
84	Ce dragon avait au moins plusieurs siècles quand il est mort.
85	Tu remarques quelque chose d'intéressant à propos des orbites.
86	Une étrange profondeur en elles.
87	Mais rien d'autre de notable.
88	Snell bâille.
89	« T'as fini de fouiner là-dedans ? »
90	(Reculer du crâne.)
91	« Prends ton temps. C'est pas comme si on était dans une poche ésotérique glauque ni rien. »
92	Tu le fais. Y réfléchissant profondément tout en le faisant.
93	Puis tu l'entends. Un son.
94	Un raclement. Un traînement.
95	Venant de L'INTÉRIEUR du crâne.
96	En approche !
97	(Se préparer.)
98	Snell a déjà sa fronde sortie, prête à-
99	Un gobelin jaillit du trou de l'œil du dragon.
100	« ...C'est quoi ce <i>bordel</i> ? »
101	« <b>Hé !</b> »
