idx	prefix	english
0		Stepping into the hidden tomb, you see a colorful display of twinkling light through the gloomy and dusty air. 
1		An eerie altar. Placed on top: a skull and several colorful gems. 
2		Valuable too. 
3		Like, extremely valuable. But probably horrendously cursed sadly. 
4		And shiny! Take one. You could get it appraised by someone downtown... 
5		The skull is a sign of death. 
6		Mm. Don't touch anything. 
7		Whatever esoteric effect is in place here - do not disturb it. 
8		(Grab a gemstone.) 
9		(Grab the skull.) 
10		(Just look around.) 
11		One of which you are holding in your hand. 
12		Sweet! This must be invaluable. 
13		Uh oh. That was probably a really, really stupid idea. 
14		Your companion stares at the gem in your hand, stuttering out a few words. 
15		"Y-you just...!" 
16		"You walk into a creepy tomb and just...?" 
17		Oh. What is that... feeling? 
18		Darkness is coursing down your arm. 
19		A searing pain takes hold. 
20		Causing you to drop the gem. 
21		But the gem does not hit the floor. 
22		"Gods be damned..." 
23		The goblin takes a step back. 
24		You watch it levitate in front of you, as the pain subsides in your arm. 
25		That is a curse of needles. 
26		That is a curse. Of some kind. 
27		The treasure on the shrine must be heavily enchanted. 
28		(Try to grab the floating gem. Again.) 
29		"Ouch." 
30		(Take a step back.) "Floating cursed gem. I hate these." 
31		As your fingers touch the surface, they immediately repel back. 
32		"Stop touching it!" 
33		"You fool!" He slaps your hand away. 
34		"Just be happy you didn't lose a hand." 
35		Slowly you watch as the gem moves through the dusty air towards the shrine. 
36		Until it lands in the exact same place you picked it up from. 
37		"It's for the best, Cleric." 
38		"Don't forget, anything you grab down here is taxed by both the Halfways and your precious city." 
39		WHAT? 
40		Terrifying. 
41		(Just stare at the returned gem.) 
42		"Taxes, Cleric." 
43		"You know. The Tithehouse." 
44		Not something you've had to deal with before, but yes. 
45		The Tithehouse demands a 40% cut on all collected goods in the City Below the City. 
46		Sure. But not even official delvers report <i>everything</i>. 
47		It's not like they can keep track of each ancient coin and relic. 
48		Those taxes go to a good cause. The city offers many free services to its people, that would not be possible if a heavy cut was not imposed on all types of income. 
49		It also pays for your salary. 
50	FC13 int-	"There's a TAX on TREASURE?!" 
51	DC13 int-	"Right. There's a tax on loot." 
52		"Good. The city needs those taxes." 
