idx	french
500	« Laisse-le juste vivre sa vie. »
501	« Plutôt, la dé-vivre. »
502	As-tu instantanément mémorisé le parchemin dès qu'il a jailli de la bouche du crâne ?
503	<i>Dégénéré</i>.
504	Affreux. Mais un sort reste un sort.
505	« Tu l'as bien mérité, mon <i>maléfique</i> apprenti. »
506	Tant que tu l'emploies à des fins désintéressées, il n'y a nul mal dans une telle magie.
507	Probablement.
508	Glorieux. Un nouveau palier de magie débloqué.
509	Même si ce n'est qu'un sort de niveau 3, cela mènera sûrement à de plus grandes choses à l'avenir.
510	Communication avec les Morts ? Mais tu parles à ce crâne depuis tout ce temps... ?
511	« Si tu as d'autres questions, vas-y. »
512	« Communication avec les Morts. Ça fait cinq questions, non ? »
513	« Ne t'ai-je pas parlé tout ce temps ? C'est comme Communication avec les Morts ? »
514	« Oui, en effet ! »
515	« Nan. Je ne suis qu'une liche bavarde. Normalement tu n'obtiens que cinq questions. »
516	« En plus, le sort ne permet pas à l'esprit d'apprendre quoi que ce soit de neuf- il anime littéralement une pâle copie de la créature. »
517	« C'est un outil d'extraction, pas un moyen d'apprendre des informations. »
518	« Donc si une personne est ciblée par Communication avec les Morts - puis ressuscite - elle ne se souviendra pas des questions ? Ni des réponses données ? »
519	« Pas le moins du monde. »
520	« Sauf, bien sûr... »
521	« Il y a eu des cas rapportés où c'est arrivé. Rare. Très rare. »
522	« Mais seulement pour des créatures si lourdement enchevêtrées dans les Fils de Jor... que leur esprit lui-même pousse des <i>vrilles</i>, pour ainsi dire. »
523	« Si l'esprit vit entièrement au sein des Fils, alors il pourrait théoriquement écouter la conversation de Communication avec les Morts. »
524	« Mais tout cela repose entièrement sur des conjectures, ainsi que quelques cas rencontrés durant mes études nécromantiques. »
525	« Rien sur quoi fonder une vision du monde, n'est-ce pas ? »
526	« Intéressant. »
527	« En effet. »
528	« Beau travail. Je vois que tu as un talent extrême pour manier les Fils, au-delà de ce que j'ai vu chez bien des jeunots. »
529	« J'adorerais te voir te consumer sur un champ de bataille parmi les guenaudes et les légionnaires... ! »
