idx	prefix	english
0		The dark knight stands in the crypt. 
1		He does not face you. 
2		You are no threat to him. 
3		Bow to him. BOW. 
4		He is very, very still. 
5		Unmoving. Unbreathing. 
6		"Excuse me, I-" 
7		"Good knight, I must-" 
8		"You there. This is no-" 
9		His armor creaks. His body moves. 
10		A voice: 
11		"<i>Soldier</i>. Well fought." 
12		"Oh. Against the skeleton?" 
13		"That was nothing." 
14		(Just bow your head.) 
15		He holds out a gauntlet towards the open tomb. 
16		"Divinity hold ground." 
17		"Feel it." 
18		"This guy scares the shit out of me," Snell whispers to you. 
19		"Such an <i>edgelord</i>." 
20		"What do you... what do you mean?" 
21		(Hold out a hand towards the tomb.) 
22		"FEEL IT, SOLDIER," the windy voice barks at you. 
23		The STRING. 
24		One of utmost importance. 
25		It cradles here. Within this one point. 
26		This <b>first tomb</b> of your god. 
27	ROLL8 str-	Grip the String. 
28		You do so with decisiveness. 
29		There is no question of the sanctity of this place. 
30		But you have never understood it so well. 
31		You attempt it, but the String feels overwhelming. 
32		This is a fallen place. Corrupted. Full of dread... 
33		The fear lies within your heart. 
34		It is nothing compared to the sanctity of this place. 
35		I'm not enough. I've never been enough. 
36		You are nothing. 
37		And that is exactly what you are meant to be. 
38		The world is not enough. 
39		Nor are you. 
40		Something has changed within you. It reminds you of that cantrip you used to cast all the time. 
41		THAUMATURGY. 
42		(Cast it.) 
43		A power swells within you. 
44		Use Thaumaturgy to unveil sacred locations around the city. 
45		The dark knight says nothing more. He simply picks up his axe, and leaves. 
46		You hear him take the stairs, up to the Temple of Urth- leaving you alone in the crypts. 
47		His master has told you to perform this act. 
48		You know it. You understand it. 
49		BEWARE VISKEN. 
50		E-...Alright. 
