idx	prefix	english
0		You detect something unusual about this section of wall. 
1		A hidden passage? 
2		Or your senses are playing tricks on you. 
3		Specifically, the ornate skull. 
4		This is a doorway. 
5		"What's up?" 
6		(Point at the wall.) 
7		He squints at it. 
8		"Oh yeah, that's just the passage to the crypt." 
9		"You know about all the secret doors down here?" 
10		"Just this one. It's right by the Roots. It changes every other month or so, if we don't keep watch." 
11		"Gotta make sure it stays closed. Ever since you clerics stopped doing delves periodically, the undead issue has gotten a bit messy." 
12		"Yeah. We really have fucked up with that policy of non-delving." 
13		"We can't be responsible for every cranny and nook with scadoodling bones." 
14		"Understandable." 
15		"I get the reason behind it - gotta focus on the upstairs - but it's risky to leave defending the underbelly to third parties, I'd say." 
16		"Even if we're doing a fucking great job, all things considered." 
17		"Scadoodling?" 
18		"It's a phrase." 
19		"Sure." 
20		"Yeah." 
21		"Anyway, if you wanna check inside, you could probably hit that tile there." 
22		(Run your hand along the surface.) 
23		Your gloved fingers trace the stone. 
24		Smooth. Cold. Ordinary. 
25		But wait. 
26		One section feels different. 
27		Slightly warmer. 
28		A tile. Distinct from the others. 
29		(Press the tile.) 
30		You push. 
31		A soft <i>click</i>. 
32		The wall shudders. 
33		Then slides open. 
34		Revealing a dark passage beyond. 
35		Cold air rushes out. 
36		The smell of old stone and dust. 
37		And something else. 
38		Death. 
39		"Sweet. I'll keep my sling ready." 
40		He means his weapon, not his manhood. 
41		<i>That</i> won't be needed in this dead, bony place. Hopefully... 
42		(Gulp.) 
