idx	prefix	english
0		Yeah. 
1		That's a pair of giant, ominously dark chicken legs. 
2		They are not giant-sized. 
3		They are large-sized. Possibly huge. 
4		Claws - dressed in SHADOWS. 
5		You find yourself standing between the legs of this strange wooden hut. 
6		They move, the long razor-sharp claws tapping the stone - their surface nothing but darkness of some foul spell. 
7		Creepy. 
8		Nice. 
9		They do not appear to react to your presence too much. 
10		However, this magical artifact is surely aware. 
11		The shadowy chicken-leg does not react to your presence. 
12		(Pet it.) 
13		"Hey there, <i>claw</i>." 
14		"You can't talk, I assume?" 
15		"Anything I can do for you?" 
16		E-Guess I'll go? 
17		You give the right 'leg' a few pats, and it doesn't seem to react in any meaningful way. 
18		It does not respond. 
19		No reply. 
20		Doesn't seem so. 
21		The goblin looks at you. Then to the esoteric shadow. 
22		"No." 
23		"I would prefer not to be pierced by that thing." 
24		"<i>Pussy</i>." 
25		"I agree. You're smart." 
26		"It doesn't have to be violent." 
27		Your goblin companion performs a double- no, shit, he's doing a triple take! 
28		Holy shit! 
29		"You..." 
30		"You heard me. It's time to <i>pussy up</i>. What are you- scared of a little shadowy chicken leg?" 
31		"Okay. Go ahead then." He gives you a bow. "Antagonize the <i>sword-for-claws magical chicken hut</i>." 
32		"You fucking bastard." 
33		Uh oh. 
34		You must. A challenge is to be met, no matter how stupid. 
35		No matter what you do here, you will hurt. 
36	ROLL9 con-	Muster up the courage to kick one of the chicken legs. 
37		"No. I do not want to." 
38		It is foolish. 
39		It is doom. 
40		But you are in control of your own flesh. 
41		Unfortunately. 
42		(Kick the chicken leg.) 
43		As your boot hits the side of the leg you- 
44		OH GODS! 
45		What... what happen...? 
46		You were KICKED. 
47		"What... what... what <i>happen</i>...?" 
48		The chicken leg kicked ya. 
49		You got kicked. 
50		"Cleric? Are you... are you okay?" 
51		"Maybe I shouldn't say 'okay'. But are you dying?" 
52		"What... happen!" 
53		"Oh gods. I'm just gonna check under your helmet, see if you've got your head still on." 
54		QUESTIONS ARE GOOD. 
55		"Okay, geez! Calm down." 
56		You quickly get up and dust yourself off. 
57		A tip? Don't kick giant chicken legs. 
58		Again. They are not giant-sized. 
59		They are large-sized. Possibly <i>huge</i>. 
60		"Can we go now?" 
61		Your body falters. 
62		"Well?" 
63		No. You cannot. 
64		You see the chicken leg. The sharp claws. 
65		You would be skewered. 
66		"...No. I..." 
67		The goblin raises an eyebrow. 
68		"I... I do not want to." 
69		"Do what?" 
70		"I do not want to kick the chicken leg." 
71		He gives you a grin. The type you don't often see on the goblin's maw. Then he opens his jaw, a single word dripping with intense animosity flies out like the chant of a wild Verdune Screamer. 
72		"Guess you should have <i>pussied up</i>." 
73		Your soul falters. 
74		There is no point in living. 
75		Not anymore. 
76		Your companion felt intense pleasure from getting back at you like that. 
77		Good for him. 
78		"Sure." 
79		"But somehow, in some indescribable way, I have a feeling it will." 
