idx	prefix	english
0		A hole in the wall. With your hand in it. 
1		(Grasp the amulet.) 
2		Alone in this dark hallway, you look upon the object in your hands. 
3		A clawed hand. Bronze and jade. 
4		Grasping a sphere. 
5		The sphere is nothing. 
6		Complete annihilation. 
7		A perfect orb of dark. 
8		Be careful. 
9		(Examine it closer.) 
10		(Poke the orb.) 
11		(Sniff it.) 
12		Can I lick it? 
13		E-Whelp. 
14		The claws are detailed. Monstrous. 
15		Some kind of beast? 
16		Draconic, maybe. 
17		The jade inlays catch the dim light. 
18		But the sphere catches nothing. 
19		Light goes in. Nothing comes out. 
20		Don't. 
21		DO. 
22		(Poke it.) 
23		(Don't poke it.) 
24		Your finger touches the surface. 
25		No. 
26		Your finger touches the ABSENCE of surface. 
27		PAIN. 
28		You yank your hand back. 
29		The tip of your finger is... gone. 
30		Skin. Nail. Just gone. 
31		Annihilated. 
32		It didn't cut. It didn't burn. 
33		It simply stopped existing. 
34		A Sphere of Annihilation. 
35		Miniaturized. Weaponized. 
36		Smart. 
37		Boring. 
38		Smells like nothing. 
39		Literally nothing. 
40		An absence of smell. 
41		Unsettling. 
42		Why not? 
43		You are not going to lick it. 
