idx	french
0	Un trou dans le mur. Avec ta main dedans.
1	(Saisir l'amulette.)
2	Seul dans ce couloir sombre, tu contemples l'objet dans tes mains.
3	Une main griffue. Bronze et jade.
4	Agrippant une sphère.
5	La sphère n'est rien.
6	Une annihilation complète.
7	Un orbe parfait de ténèbres.
8	Sois prudent.
9	(L'examiner de plus près.)
10	(Piquer l'orbe.)
11	(La renifler.)
12	Je peux la lécher ?
13	Bon.
14	Les griffes sont détaillées. Monstrueuses.
15	Une sorte de bête ?
16	Draconique, peut-être.
17	Les incrustations de jade accrochent la faible lumière.
18	Mais la sphère n'accroche rien.
19	La lumière entre. Rien ne ressort.
20	Ne le fais pas.
21	FAIS-LE.
22	(La piquer.)
23	(Ne pas la piquer.)
24	Ton doigt touche la surface.
25	Non.
26	Ton doigt touche l'ABSENCE de surface.
27	DOULEUR.
28	Tu retires ta main d'un coup.
29	Le bout de ton doigt est... parti.
30	La peau. L'ongle. Juste partis.
31	Annihilés.
32	Ça n'a pas coupé. Ça n'a pas brûlé.
33	Ça a simplement cessé d'exister.
34	Une Sphère d'Annihilation.
35	Miniaturisée. Transformée en arme.
36	Malin.
37	Ennuyeux.
38	Ça ne sent rien.
39	Littéralement rien.
40	Une absence d'odeur.
41	Troublant.
42	Pourquoi pas ?
43	Tu ne vas pas la lécher.
