idx	prefix	english
0		A skeleton lies crumpled against the wall. 
1		Human. Male. 
2		Dead for months. Maybe longer. 
3		His armor has been stripped away. 
4		Only scraps of leather and cloth remain. 
5		Someone looted the corpse. 
6		Or something. 
7		"Sad sight." 
8		"These tunnels eat people." 
9		Consumed by rock and what-once-was-ceiling. 
10		(Examine the body.) 
11		What killed him? 
12		You kneel down to inspect the skeleton. 
13		No obvious wounds. 
14		No broken bones. 
15		He didn't die from violence. 
16		Starvation, maybe. 
17		Or thirst. 
18		Lost in the dark. 
19		Hard to say. 
20		No signs of combat. 
21		He probably got lost. 
22		Ran out of supplies. 
23		The City Below claims many that way. 
24		The skeleton lies where you left it. 
25		Stripped. Abandoned. 
26		"Still dead." 
27		E-(Leave the body.) 
28		You begin the ritual. 
29		The words flow. The magic takes hold. 
30		The skull's jaw begins to move. 
31		Clicking. Scraping. 
32		The dead man is ready to answer. 
33		Five questions. That's all you get. 
34		"This is creepy." 
35		"What is your name?" 
36		"How did you die?" 
37		"What were you searching for?" 
38		"Who stripped your armor?" 
39		"Do you have any regrets?" 
40		The jaw clicks open. 
41		"<i>Johnny... Longcock.</i>" 
42		A simple name. For a simple life. 
43		How obscene. 
44		Surprisingly common among adventurers. 
45		All named after a certain famous pirate (Johnny Longneck). 
46		"<i>Lost... thirst... darkness...</i>" 
47		As you suspected. 
48		He died slowly. 
49		Alone in the dark. 
50		"<i>The Trove... of Esuth...</i>" 
51		"<i>Dragon's gold... power...</i>" 
52		The legendary hoard. 
53		He was a treasure hunter. 
54		A failed one. 
55		"<i>No... sealed... couldn't enter...</i>" 
56		"<i>The phrase... it didn't work...</i>" 
57		He found something. 
58		But couldn't get inside. 
59		The cultist's seal held. 
60		"<i>Past the Roots...</i>" 
61		"<i>It was inside... those filthy goblins' stolen dwarven fortress...</i>" 
62		"Now that's just uncalled for." 
63		He gives you a <i>serious</i> glance. 
64		"We do not store some dragon trove in the Garden, nor the Roots, Cleric. I can promise you that." 
65		"<i>Goblins... scavengers...</i>" 
66		"<i>After death... didn't feel it...</i>" 
67		At least he was already dead. 
68		"<i>No.</i>" 
69		"<i>Adventure is its own reward.</i>" 
70		Good man! 
71		Four questions remaining. 
72		Three more questions. 
73		Two questions left. 
74		One final question. 
75		The jaw stiffens. 
76		The magic fades. 
77		The dead man returns to silence. 
78		That's all you'll get from him. 
79		"Well. That was informative." 
80		"And deeply unsettling." 
81		E-(Nod respectfully at the corpse, then leave.) 
82		"I suppose." 
83		"You're not seriously thinking about going after it?" 
84		"Look how that worked out for this guy." 
85		"I'm more prepared than he was." 
86		"Just curious." 
87		"Famous last words." 
88		"Sure. Curiosity." 
