idx	french
0	Tu t'agenouilles pour examiner les restes squelettiques.
1	Gobelin. Vieux. Très vieux.
2	Pré-Intégration, peut-être.
3	« Salut, petit gars. »
4	(Lancer Communication avec les Morts.)
5	« Repose bien, crâne. »
6	Aucune réponse.
7	Le crâne te fixe en retour. Vide.
8	Il s'accroupit à côté de toi, étudiant les os.
9	« Un gobelin. Vraiment vieux, cela dit. »
10	« Avant mon temps. Avant même le temps de mes parents. »
11	« Je me demande ce qu'il faisait ici en bas. »
12	Ou <i>elle</i>.
13	Statistiquement, ce devrait être un mâle.
14	Ils sont plus enclins à se mettre en danger dans les incursions de donjon.
15	Les statistiques ne disent rien de la réalité.
16	Attends confirmation avant de genrer les morts.
17	Tu achèves de lancer le sort, et le crâne se met à s'entrechoquer.
18	La mâchoire tressaille. S'ouvre. Se ferme.
19	Un souffle sec et râpeux qui n'est pas un souffle.
20	Il est prêt.
21	La voix est ténue. Fragile. Comme le vent à travers des feuilles mortes.
22	« Tu sais parler le diminorien ? »
23	Il hausse les épaules. « Me regarde pas. C'est la vieille langue. »
24	Un silence. Le crâne s'incline, légèrement.
25	« <i>Tuigim thú... teanga an fhorghabhálaí...</i> »
26	« Je parle... la langue du... tueur. »
27	Le mot dégouline d'une vieille amertume.
28	« Quel est ton nom ? »
29	« Comment es-tu mort ? »
30	« Que faisais-tu ici en bas ? »
31	« Que penses-tu d'Urth ? »
32	« Qu'est-il arrivé à ton peuple ? »
33	« <i>Tadhg Ó Scáthláin.</i> »
34	« Dans ta langue... le Fils de l'Ombre. »
35	Un nom d'avant l'Intégration.
36	Quand les gobelins avaient encore leurs propres noms.
37	Le crâne se tait un instant.
38	« Je ne suis pas... mort. »
39	« Je me repose. Avant la dernière ligne droite. »
40	Il ne sait pas.
41	« <i>Ag teitheadh.</i> »
42	« Je m'enfuis. »
43	« La cité au-dessus. Les temples. La... destruction. »
44	Il crache le dernier mot. Ou essaie. Plus de salive.
45	« Ils prennent nos noms. Notre langue. Nos dieux. »
46	« Je refuse d'aller dans leurs écoles. »
47	« Je fuirai dans le <i>Chemin de la Côte Souterraine</i>. »
48	« <i>Urth.</i> »
49	Le nom sort comme une malédiction.
50	« Ton dieu marcheur. Ton conquérant. »
51	« Il nous a écrasés sous son talon et a appelé ça de la miséricorde. »
52	« Je ne pense pas à lui. Je m'y refuse. »
53	Une vieille haine. Vieille de siècles.
54	Brûlant encore.
55	« <i>An cosán...</i> »
56	« Oui. Je connaissais le chemin. »
57	« Passé la salle de feu. Le corridor piégé. »
58	« Il y a une porte cachée. Dans le mur au-delà. »
59	« Presse la troisième pierre à partir du sol. Du côté gauche. »
60	« Elle s'ouvre sur les chemins profonds. »
61	Le Chemin de la Côte Souterraine.
62	Un réseau de tunnels sous la Côte. Largement non cartographié.
63	Le crâne est immobile. Très immobile.
64	« <i>An t-ár mór.</i> »
65	« Le grand massacre. »
66	« Vos histoires n'en parlent pas. Mais nous nous souvenons. »
67	« Nous nous souvenons toujours. »
68	Quatre questions restantes.
69	Ça fait deux. Trois questions de plus.
70	Trois posées. Encore deux.
71	Une question restante.
72	La mâchoire du crâne se raidit. La fausse vie s'éteint.
73	Snell se tient à côté de toi avec une expression sombre.
74	« Ouais. C'est à peu près ce que j'imaginais. »
75	(Partir.)
76	« Cette opinion est encore courante chez les gobelins, pour ton information. »
77	« Ça pourrait être bon à garder à l'esprit. »
78	« Peut-être. Difficile de ne pas le faire. »
79	« Mais ce n'est pas important pour l'instant. »
80	« Ce qui est important, c'est ce <i>Chemin de la Côte Souterraine</i> qu'il a mentionné. Allons voir ça. »
