idx	prefix	english
0		A stone coffin rests against the wall. 
1		Of classical dwarven design, used for early Urthfolk tombs. 
2		The lid is sealed tight - almost built into the wall itself. 
3		Ornate carvings cover the surface. 
4		Symbols of death and rebirth, all dwarven in origin. Forge and hammer. 
5		Standard cryptwork. 
6		(Examine the coffin.) 
7		(Look closer at the carvings.) 
8		(Examine the handle.) 
9		(Pull the handle.) 
10		(Rotate the handle.) 
11		You run your hand along the stone. 
12		Cold. Smooth. 
13		The carvings are deep. Deliberate. 
14		Something about this feels... off. 
15		Your eyes trace the symbols carefully. 
16		Death. Rebirth. The cycle. 
17		Typical dwarven work. A few words of poetry. Nothing interesting. 
18		It is beautiful. 
19		It says, <i>Gudar gâr, folk dôr. Inget nytt under solen</i>. 
20		Along with many other proverbs. Each one personalized for the fallen. 
21		These coffins must have been close dwarven warriors of Urth. Until their graves were exhumed, of course. 
22		It is integrated perfectly into the design. 
23		An iron ring serves as the grip. 
24		Rotate, then pull. 
25		Simple. Elegant. 
26		It is firm. 
27		You cannot move it. 
28		You grip the carved skull. 
29		And twist. 
30		A soft <i>click</i> echoes from within the wall. 
31		Something has unlocked. 
32		(Now pull the handle.) 
33		The handle resists for a moment. 
34		Then gives way. 
35		Revealing a narrow staircase descending into darkness. 
36		Cold air rushes up. 
37		Ancient. Stale. 
38		The smell of old magic. 
39		"Oh boy." 
40		"Even deeper, huh?" 
41		<shake>DOOM.</shake> 
42		E-Into the dark... 
43		"I'm not feebleminded, if that's what you're asking." 
44		"So yeah. I'm scared." 
45		He steels himself and grips his sling. 
46		"Let's go." 
