idx	french
0	Un cercueil de pierre repose contre le mur.
1	De facture naine classique, utilisé pour les premières tombes du peuple d'Urth.
2	Le couvercle est scellé hermétiquement - presque intégré au mur lui-même.
3	Des gravures ornementées couvrent la surface.
4	Des symboles de mort et de renaissance, tous d'origine naine. Forge et marteau.
5	Un ouvrage de crypte standard.
6	(Examiner le cercueil.)
7	(Regarder de plus près les gravures.)
8	(Examiner la poignée.)
9	(Tirer la poignée.)
10	(Faire pivoter la poignée.)
11	Tu passes ta main sur la pierre.
12	Froide. Lisse.
13	Les gravures sont profondes. Délibérées.
14	Quelque chose là-dedans semble... clocher.
15	Tes yeux parcourent attentivement les symboles.
16	La mort. La renaissance. Le cycle.
17	Un ouvrage nain typique. Quelques vers de poésie. Rien d'intéressant.
18	C'est magnifique.
19	On lit : <i>Gudar gâr, folk dôr. Inget nytt under solen</i>.
20	Ainsi que bien d'autres proverbes. Chacun personnalisé pour le défunt.
21	Ces cercueils devaient être des guerriers nains proches d'Urth. Jusqu'à ce que leurs tombes soient exhumées, bien sûr.
22	Elle est parfaitement intégrée au dessin.
23	Un anneau de fer sert de prise.
24	Faire pivoter, puis tirer.
25	Simple. Élégant.
26	C'est ferme.
27	Tu ne peux pas la bouger.
28	Tu empoignes le crâne gravé.
29	Et tu tournes.
30	Un léger <i>clic</i> résonne depuis l'intérieur du mur.
31	Quelque chose s'est déverrouillé.
32	(Maintenant tirer la poignée.)
33	La poignée résiste un instant.
34	Puis cède.
35	Révélant un étroit escalier descendant dans les ténèbres.
36	Un air froid remonte en trombe.
37	Ancien. Vicié.
38	L'odeur de vieille magie.
39	« Oh là là. »
40	« Encore plus profond, hein ? »
41	<shake>FUNESTE.</shake>
42	Dans le noir...
43	« Je suis pas frappé de Débilité, si c'est ce que tu demandes. »
44	« Alors ouais. J'ai peur. »
45	Il se blinde et empoigne sa fronde.
46	« Allons-y. »
