idx	french
0	Le spectre de porcelaine flotte délicatement dans l'air devant le pilier.
1	Son visage est éclairé par la lueur du donjon.
2	« Clerc. »
3	« Snell. »
4	« Yo. »
5	Le gobelin lui fait un doigt-pistolet, avant de le rétracter vivement et de reculer d'un pas.
6	Il la trouve horrifiante.
7	« Bonjour, Ettir. »
8	« Que faites-vous ici en bas ? »
9	(Saluer de la main.)
10	« Ouais », marmonne-t-il depuis l'arrière.
11	« Je suis juste ce genre de gobelin. Timide comme tout. »
12	Il fait un autre pas loin de toi.
13	Son halo tourne légèrement au-dessus de sa tête, ses yeux fixant le haut et le bas.
14	« Ça change. »
15	« <i>Miasto Głêbin</i>. C'est en flux constant. »
16	<i>La Cité d'En Bas</i>. Langue céleste.
17	« Je ne suis pas trop du genre explorateur de donjon. »
18	« Ouais, j'ai entendu dire. »
19	(Regarder autour.) « Genre, là maintenant ? »
20	« Jour après jour, petit à petit. »
21	« Ce qui reste constant, ce sont les quartiers domestiqués. Les salles où les gens errent. »
22	« Le Coinlord souhaite que ceci devienne des appartements un jour. »
23	« Il souhaite tout domestiquer. Cette Cité d'En Bas. »
24	« Il n'y parviendra pas. Trop de monstres. »
25	« Malin. C'est un emplacement de premier choix. »
26	« Ce serait beaucoup d'ennuis. Ce lieu est bien trop ésotérique. »
27	« Oui. »
28	« La Guilde de Contrôle des Nuisibles est déjà bien occupée. »
29	« <i>La fortune sourit aux audacieux</i>. Ainsi parle le Magistrat Darrow. »
30	Un dicton cliché. Ça lui va bien.
31	« Je patrouille les salles à intervalles. Les tunnels de Tolstad sont bien entretenus grâce à Dame Sageleaf. »
32	« Carrément. »
33	Il a l'air fier.
34	« Cependant, Tolstad est un cas étrange. Le Pilier agit comme un phare. Un centre d'activité ésotérique. »
35	Elle pose une main froide, de porcelaine, sur la pierre.
36	« Clerc. Savez-vous jusqu'où il va ? »
37	Question dangereuse. Elle défie ton intellect.
38	Ça va <b>faire mal</b> si tu l'admets.
39	Tu as lu des choses sur la Cité d'En Bas. Souviens-t'en.
40	Tu en sais plus que cette catin divine n'en apprendra jamais. Souviens-t'en, c'est tout !
41	Une <i>catin</i> ? Ce n'était pas très gentil.
42	N'est-ce pas ainsi qu'on les appelle de nos jours ?
43	Oh, comme les temps ont changé.
44	Comprendre le donjon.
45	« Je n'en ai aucune idée. » (Ne pas essayer de le comprendre.)
46	Elle hoche la tête. « Il descend encore plus profond. Mais c'est là qu'il rencontre la terre solide. »
47	La Cité d'En Bas est un vaste et sauvage réseau de tunnels sous la Cité de Norvik.
48	Ça, tu le sais. Voici ce que tu ne sais pas :
49	C'est un point de conversion de lignes telluriques chargé d'ésotérisme.
50	Certains spéculent que c'est dû au Pilier, certains au peuple-escargot ancien qui vivait ici.
51	Mais dans les régions où les gens n'errent pas en masse- elles attirent et forment vite des poches ésotériques.
52	C'est, à toutes fins et inclinations, aussi enclin à l'ésotérisme que les terres proches des Étendues Sans Fin, loin dans les terres.
53	Pourtant, pour une raison ou une autre, cet effet se stabilise une fois que les gens arrivent.
54	On ne comprend pas pourquoi.
55	« Attendez, je réfléchis. »
56	L'ange te foudroie du regard. De quelques dizaines d'yeux.
57	C'était quoi la question, déjà ?
58	C'est ça. La profondeur du Pilier.
59	Le Pilier de Jor est une relique ésotérique, dont les secrets restent à percer.
60	Les huit, ou quatre, Piliers présents autour de la Côte descendent chacun profondément à travers le Renversement de Gravité, perçant la Côte Sous-Marine.
61	Dis-lui simplement qu'il descend, à travers la terre, et existe de l'autre côté de la Côte. À Kargamesh.
62	« Il va jusqu'à... Kargamesh. »
63	Elle reste silencieuse un instant.
64	« Oui. C'est exact. »
65	Tu vois ?
66	Le Pilier est une relique sans fin qui va vers le haut et vers le bas.
67	Il ne s'arrête pas, évidemment.
68	Dis-lui qu'il est sans fin.
69	« Il est sans fin. Évidemment. »
70	« Il monte. Et il descend. » (Pointer et sourire en coin.)
71	« Mais ce n'est pas ce que je voulais dire. »
72	Enfin, elle n'a clairement pas été assez précise.
73	« Je vois. »
74	Bon sang !
75	<b>Aïe</b>.
76	Les donjons sont une affaire d'homme. C'est toi, l'homme ici. Tu es censé t'y connaître.
77	« Le Pilier de Jor s'enfonce dans la terre, près du Chemin de la Côte Souterraine. »
78	« C'est le plus profond où vous puissiez voyager, avant d'entrer dans le Renversement de Gravité. Je l'ai exploré par bribes. Mais c'est un lieu dangereux. »
79	Ses yeux tournent plus vite.
80	« Je le ferai. »
81	Elle hoche la tête.
82	« Je crois que c'est le cas également. »
83	« Il y a des rapports d'un homme en jaune s'aventurant au-delà de ce point. »
84	« Le même homme en jaune signalé lors de l'incident du salon de thé. »
85	« Ah. Ouais, il faut vraiment que je descende là-bas jeter un œil. »
86	« Je le savais. »
87	« Merci pour l'information, ange. »
88	Elle hoche de nouveau la tête.
89	Sa cape rouge ondoie tandis que l'ange se met à flotter au-dessus de l'abîme.
90	« Nous nous retrouverons en bas. »
91	L'ange commence à descendre.
92	Dans le très, <b>très</b> profond en dessous.
93	Ettir rejoindra ton groupe en bas, mais seulement si tu ne descends pas là <i>en solo</i>.
94	Ettir rejoindra ton groupe dans le Chemin de la Côte Souterraine, mais seulement si tu ne descends pas là <i>en solo</i>.
95	« Je crois que je te l'ai déjà dit- mais elle me fout les jetons. »
96	« ...Bien sûr. »
97	« Espérons-le. »
98	« Ouais. C'est assez juste. »
99	Le gobelin jette un regard sceptique vers le bas.
100	Tu la trouveras. <shake>Sous l'En Bas</shake>.
101	(Regarder dans les ténèbres et ne voir <i>rien</i>.)
