idx	prefix	english
0		You see a strange glowing torch, a bit further down the hallway. 
1		Bad feeling. 
2		Strange. Something is wrong here. 
3		A torch! Go pick it up, someone could be in danger. 
4		Yeah, <i>you</i>! 
5		Careful. Real careful... 
6		"Cleric?" 
7		"Meek feel... bad here. Very bad." 
8	ROLL14 wis-	Check for... traps? 
9		Are magical floating torches common? I feel like they are. 
10		This is ominous. Isn't it? 
11		E-Maybe I'll just... go somewhere else. 
12		"Right. Ominous." 
13		"Something... wrong! Meek not see, but Meek feel!" 
14		"Master be careful!" 
15		They are. 
16		However, this is obviously not floating by itself. 
17		Look closer. 
18		Do not worry about simple esoteric magic items. Focus on yourself instead. 
19		Yes. It is. 
20		What do you mean? 
21		Why's there a bunch of other stuff floating in the air too? 
22		That is true. 
23		You must look further. Closer. 
24		Hm. You might just be a little paranoid. 
25		There's nothing wrong with stopping to enjoy the view. 
26		You look down the hallway, real close. 
27		Then you look at the walls. 
28		And then the ground. 
29		Wait... why is there no dirt on the ground? 
30		Hm? 
31		There is absolutely no dust or grime or little rock pebbles on the ground here. Right in front of me. 
32		Oh. 
33		And there's a bunch of floating stuff in the air in front of me. Stuff that looks like it's slowly being dissolved by some powerful agent. 
34		That is a bad sign. In fact, it really sounds like... 
35		A perfectly straight line, after which the dungeon floor is clean? 
36		It's clearly a... 
37		"...A Cube!" (Jolt back.) 
38		A perfectly flat wall of perfectly translucent gel stands before you. 
39		The goblin stumbles backwards when he realizes what you're saying. 
40		"Oh gods...!" 
41		"That was <i>close</i>..." 
42		E-Huh. 
43		And then the ground... 
44		Yes...? 
45		And... 
46		And...? 
47		You don't see anything. 
48		Really? 
49		Yes. 
50		Yes, as in I do see something, or yes as in yes, I really don't see anything? 
51		You see nothing. The hallway is safe. 
52		No signs of trap floor-tiles. Or holes with poison darts. 
53		Or giant blades that swing down from the ceiling. 
54		This is just a normal hallway. 
55		"Seriously, what are you doing?" 
