idx	prefix	english
0		Everything suddenly goes very, very <i>tight</i>. 
1		A cramp...? 
2		You've been <b>swallowed</b>. 
3		Whole. 
4		"<shake>HMRFMFR</shake>...!" 
5		Your scarf is attempting to speak. 
6		(Attempt to speak.) 
7		(Attempt to move.) 
8		What's going on here... 
9		I don't like this. 
10		I don't like this at all. 
11		No. 
12		It cannot be done. 
13		"<shake>M-grefggff</shake>...!" 
14		Trying to open your mouth, you feel it sluggish and hard. 
15		As if your body is fighting against every inch. 
16		A wriggle is all you get. 
17		There is a powerful force - a pressure - all around you. 
18		The overwhelming weight of societal expectation. 
19		That too. But also something <i>tangible</i>. 
20		You can neither move... 
21		Nor breathe. 
22		"<i>Cleric? You okay?</i>" 
23		You hear your companion's voice faint. As if he was far, far away. 
24		This is possibly quite terrible. 
25		Hold on. 
26		Something's off here. 
27		<b>Off</b>. 
28		You're not just playing around? 
29		I... I can't move. 
30		It's... some kind of trap? 
31		Oh no. 
32		Oh no, no, no...! 
33		"Stop playing around. Stopping like that reminds me of that time that-" 
34		The goblin takes a step closer to you, before jolting back. 
35		All around you: acidic gel. 
36		"<shake>...CUBE!</shake>" 
37		It is seeping into every crevice. 
38		By Urth, that burns! 
39		(Keep trying to scream.) 
40		He shares your burden. 
41		You cannot. 
42		Everything is... stuck. 
43		You appear to have been enclosed within a Gelatinous Cube. 
44		Everyone knows about these. A Gelatinous Cube. 
45		You are statistically likely to die, here and now. 
46		No! 
47		Not like this, not in this terribly embarrassing way. 
48		What kind of idiot just walks into a Cube?! 
49		This monster cannot hold you. 
50		You must <b>FIGHT</b>. 
51		"Cleric!" you hear the goblin's voice faintly behind you. "Listen to me!" 
52		"I don't know why, but <b>the Cube ain't aggressive</b>." 
53		He tosses in a rope that quickly gets sucked into the gelatinous mass. 
54		"Push a bit closer to the edge, and grab the rope - I'll help pull you out!" 
55		The rope doesn't get nearly close enough for you to easily take it, but if you can get to it... 
56		You might live. 
57		Listen to his voice. 
58		The goblin knows this horror. He does not want you to be dissolved. 
59		No one knows you are here. 
60		You are alone, in the Cube. 
