idx	prefix	english
0		There are two faint paw-prints here- one on each side of the hallway. 
1		"I think traps like these are my least favorite part of the job." 
2		"So... we trying this again?" 
3		(Nod and touch the paw print. Again.) 
4		E-"No. No. No." 
5		He follows your lead. 
6		As you touch the paw prints, the same text appears on the wall. 
7		<i>ENTRAD EN PAR Y PROBAOS.</i> 
8		"Enter in pair, blah, blah blah," he mutters. 
9		"We actually doing this?" 
10		(Get in position.) "Let's go." 
11		Should I touch one of them? 
12		(Press the right paw print.) 
13		(Press the left paw print.) 
14		E-Guess I'll check back on this later. 
15		He gives you a look. 
16		The type of look a father gives his son when he learns about the destruction of the family heirloom - a sword passed on for generations. 
17		"It's a trap, Cleric." 
18		It could end poorly, but... 
19		Yes. The only way to find out if they are esoterically aligned or not. 
20		It cannot hurt. It is but the mark that a cat has left upon this wall. 
21		It <i>cannot</i> hurt you. 
22		Just be ready for the worst. 
23		Esoteric bullshit like this has a tendency to <i>do stuff</i>. 
24		You physically cannot reach them both at the same time, no. 
25		You would require twice the arm-length for that. 
26		Maybe if you dislocate your shoulders. 
27		What? 
28		You can't just pop those suckers out of their sockets on demand?! 
29	FC7 int-	Should I... actually dislocate my shoulders? 
30		Okay. Sad. 
31		<shake><b>NO</b></shake>. 
32		Yeah. For once, actually listen to your little tummy-ache, okay? 
33		The two walls seem so, so far apart. 
34		Grabbing it, you feel an esoteric tingle down your arm. 
35		But nothing happens. 
36		Not even your full weight - pressing against the stone - could make anything happen. 
37		"I feel like it would be very silly behavior to go around touching <i>paw prints</i> in the City Below." 
38		"But honestly? Considering the strange traps I've heard of, it wouldn't surprise me if this was some bullshit puzzle." 
39		"Bullshit puzzle?" 
40		"A puzzle? I love those." 
41		"...Interesting." 
42		"Could be something like..." 
43		"We have to press <i>both of them at the same time</i>. And that somehow deactivates the trap for a while." 
44		R-"It's worth a try." 
45		E-"Let's not." 
46		"Yeah?" 
47		"This obviously connects to... somewhat close to the sewers." 
48		"But who knows? Could be something real neat on the other side." 
49		He shrugs. "This is outside HWBT jurisdiction." 
50		"Considering the esoteric bullshit going on down here, it's impossible to tell exactly what's behind here." 
51		"But if you're looking to search deeper? This could be the way. Unfortunately." 
52		"I suppose." 
53		"What's the worst that could happen? Apart from being polymorphed into a Rust Monster, or something." 
54		"...That won't happen, will it?" (Get into position.) 
55		"Being a man means taking risks. Let's do it." (Get into position.) 
56		"That would never happen to me. I'm too lucky." (Get into position.) 
57		"Oh, no. Of course not, Cleric." 
58		Intense sarcasm. 
59		A defense mechanism. 
60		"I heard men live shorter lives than women, on average. Might be why." 
61		This is factual, according to the City Statistics Bureau. 
62		Courage in the face of danger is the sign of true masculinity. 
63		You really shouldn't be down here to begin with... 
64		Or at least fast on your feet. 
65		"Wish I had your confidence." 
66		You get into position, and look over to your companion at the left paw. 
67		He reaches up to it after a moment of hesitation. 
68		"Ew. Yeah, this is magical." 
69		You see him shiver at the realization. 
70		"But nothing more than that," he says and puts his whole weight on it. "Try pressing yours." 
71		Just two fellas, pressing the wall. 
72		Press it with intense <b>masculine power</b>! 
73		(Press the other one.) 
74		<i>Clunk</i>. 
75		The goblin jumps back. 
76		A deep groan from the walls. 
77		"That- did it do something? The fuck is that <i>ticking</i> noise?" 
78		(Look around.) 
79		An ominous sensation. 
80		Esoterical vibes. 
81		Your body tingles. 
82		A pressure change? Something's happening. 
83		As you peer into the hallway, you see something appear on the wall. 
84		"Is that... writing?" 
85		At the entrance, a whirling mess of faint light forms a stable shape. 
86		That is cat-speech. You cannot read it. 
87		Ah. This construction must be a remnant of the Whitemane tribe. 
88		This will be dangerous. 
89		What a sexy tongue. 
90	FC12 int-	"It is some kind of eldritch language. How horrifying." 
91	DC12 int-	"Why is there cat-speech on the wall?" 
92		"What? No, that's just- cat-speech?" 
93		"Uh. Yeah, good question. But..." 
94		"I can... read this. Kind of." 
95		"You can?" 
96		"Impressive." 
97		(Let him focus.) 
98		"Yeah, yeah. Hold on." 
99		"Sure, sure." 
100		He stares at the text and mumbles to himself. 
101		"It says, 'Enter'. Uh. 'As a pair'?" 
102		"And... <i>be probed</i>?" 
103		Not probed. <i>Proved</i>. 
104		Like the Dwarvish: 'prôv'. It's a trial. 
105	FC12 int-	"I don't want to be probed..." 
106	DC12 int-	"Not probed. Proved." 
107		"No, wait!" 
108		He snaps his fingers. 
109		He snaps his fingers. "Yes! That's it!" 
110		"It's a test! Enter the hallway in pair, and be tested." 
111		"A test? Sounds dangerous." 
112		(Get into position.) "I'm ready." 
113		"It does." 
114		"We're still going to do it, right?" 
115		"Maybe we... shouldn't." 
116		He clears his throat. "I mean..." 
117		The goblin shrugs. "Might be stupid." 
118		(Get into position.) "Nah. Fuck it, I'm ready." 
119		(Take a step back.) "Yeah. Let's not." 
120		As you do, the paw prints reappear. 
121		The text from the wall disappears. 
122		"Mm." 
123		E-Give him a nod. 
124		"What? Are you..." The goblin takes a deep breath through clenched fangs. 
125		"Yeah, okay. On three." 
126		"Two." 
127		"One." 
128		"Wait- on three or zero?" 
129		(Start walking.) 
130		The goblin stops himself from stepping into the hallway in the last second. 
131		"I- <b>now</b>!" 
132		The two of you step forward. 
133		In hesitant unison. 
134		Trembling. 
135		Stern. Heart beating fast. 
136		The text is changing! 
137	DC14 dex-	"...Stop!" 
138	FC14 dex-	"How far are we going to-" 
139		"Shit, stop!" 
140		"The text!" 
141		You both stop halfway, looking at the magical lettering on the wall. 
142		<i>AL SON DIVINO, LA PUERTA SE ABRIRÁ.</i> 
143		"Oh gods," your companion mutters. 
144		Something divine, something... port? Open a gate? 
145		You are too far away to make use of Comprehend Languages. The goblin is your only shot. 
146		"You can read it, right?" 
147		"It's not like I took formal lessons, I've just picked up a few words here and there..." 
148		He's sweating. A feeling of dread growing in his heart. 
149		A clicking sound starts to echo out into the hallway. 
150		<i>Tick, tick, tick-tick</i>. 
