idx	prefix	english
0		<i>Click</i>. 
1		"MASTER, BEWARE!" 
2		Again?! <shake>SERIOUSLY</shake>?! 
3		That is not a good click. 
4		Bad click! BAD CLICK! 
5		You feel a pressure change. A rushing wind causes you to be pulled, just an inch, further into the hallway. 
6		Then you notice the wall-holes opening up. 
7		Then you see something opening in the walls. 
8		The goblin behind you is already in action. 
9		BACK! NOW! 
10		Huh? 
11		"BIG, BIG <shake>TRAP</shake>!" 
12	ROLL8 dex-	Avoid the trap. 
13		You just barely escape the deep clutches of the skin-melting heat. 
14		Standing up, you realize the fire singed the edges of your uniform. 
15		Adrenaline leaving the system. 
16		Pain. <shake>Burns</shake>. 
17		(Roll around to put out the last fire.) 
18		But you live! Woo! 
19		"Gods- <b>damn it</b>!" 
20		"Stop just WALKING into it! Are you CRAZY?!" 
21		"Don't waltz into obvious <i>DEATH HALLWAYS</i> like that! I don't need to see more of your near death experiences." 
22		"It was ominous! It was clearly an ominous hallway!" 
23		"I'm sorry, but clerics don't have the ability to esoterically pick up on <i>vibes</i>." 
24		"Every hallway here is ominous!" 
25		"On your first point- yes I've noticed. On your second point- no it WILL NOT." 
26		"So STOP. Now." 
27		"Yeah, good." 
28		"I can't pull you out of the fire every time, you know?" 
29		"And if you get fried, I'm screwed, so... don't just. Just don't." 
30		Typical ancient remnant civilizations. 
31		They always leave the most esoterically murderous machinery in-place, even when the treasure behind it's been lost for millennia. 
32		You are! 
33		The goblin does care. In more ways than one. 
34		Now, don't enter the hallway before you disable the trap. 
35		Or you'll get roasted. Again. 
36		You are about to be swallowed by <b>an inferno</b>. 
37		(Cough.) 
38		Your heart beating fast. 
39		Pain receptors overloaded. 
40		Throat sore. Scorched. 
41		But <b>alive</b>. 
42		(Stand.) 
43		The force of the fire must have sent you tumbling backwards. 
44		The goblin coughs as well. His fancy jacket is singed at the edges. 
45		"I can't believe you're alive. You took that blast straight on." 
46		The goblin must have dragged you out of there. 
47		"Sure you do. Just... do some of that magic and heal yourself, alright?" 
48		Your body requires healing. 
49		(Look into the hallway again.) 
50		"What, the Halfways?" 
51		"Look, Cleric. We cleared out traps for ages back when Lady Sageleaf received ownership of her corner of under the garden." 
52		"We've got enough to keep track of." 
53		"You don't know a lot about the City Below, do you?" 
54		"Things change here. A lot." 
55		"There's a reason why this hasn't been turned into apartments after all these years." 
56		Looking back, the hallway has no marks of being filled with flames. 
57		For the same reason it's still functional. It's a magic trap. 
58		As you dust yourself off, Snell squints at the strange paw-prints on the walls. 
59		"Wait, I think I know this." 
60		"These marks- this is where you can deactivate the trap." 
61		"Let's check them out." 
62		Yes, they are most likely connected with its esoteric nature. Investigate. 
63		An idiotic statement. These pawprints are the result of wild, wandering dungeon dogs. Nothing more, nothing less. 
64		E-Terrible, terrible hallway. 
