idx	french
0	<i>Clic</i>.
1	« MAÎTRE, PRENDS GARDE ! »
2	Encore ?! <shake>SÉRIEUSEMENT</shake> ?!
3	Ça, ce n'est pas un bon clic.
4	Mauvais clic ! MAUVAIS CLIC !
5	Tu sens un changement de pression. Un vent violent te tire, d'un pouce à peine, plus loin dans le couloir.
6	Puis tu remarques les trous du mur qui s'ouvrent.
7	Puis tu vois quelque chose s'ouvrir dans les murs.
8	Le gobelin derrière toi est déjà en action.
9	EN ARRIÈRE ! MAINTENANT !
10	Hein ?
11	« GROS, GROS <shake>PIÈGE</shake> ! »
12	Éviter le piège.
13	Tu échappes de justesse aux profondes griffes de la chaleur qui fait fondre la peau.
14	En te relevant, tu réalises que le feu a roussi les bords de ton uniforme.
15	L'adrénaline quittant le système.
16	La douleur. Des <shake>brûlures</shake>.
17	(Se rouler par terre pour éteindre les dernières flammes.)
18	Mais tu survis ! Youpi !
19	« Que les dieux- <b>soient damnés</b> ! »
20	« Arrête de juste MARCHER dedans ! Tu es FOU ?! »
21	« Ne valse pas dans d'évidents <i>COULOIRS DE LA MORT</i> comme ça ! J'ai pas besoin de voir davantage de tes frôlements de mort. »
22	« C'était de mauvais augure ! C'était clairement un couloir de mauvais augure ! »
23	« Désolé, mais les clercs n'ont pas la capacité de capter ésotériquement les <i>vibes</i>. »
24	« Chaque couloir ici est de mauvais augure ! »
25	« Sur ton premier point- oui, je l'ai remarqué. Sur ton second point- non, ÇA NE LE SERA PAS. »
26	« Alors ARRÊTE. Maintenant. »
27	« Ouais, bien. »
28	« Je peux pas te sortir du feu à chaque fois, tu sais ? »
29	« Et si tu te fais griller, je suis foutu, alors... ne te contente pas. Ne le fais juste pas. »
30	Typiques civilisations-vestiges anciennes.
31	Elles laissent toujours la machinerie la plus ésotériquement meurtrière en place, même quand le trésor qu'elle protège est perdu depuis des millénaires.
32	Tu l'es !
33	Le gobelin tient à toi. De plus d'une façon.
34	Bon, n'entre pas dans le couloir avant d'avoir désactivé le piège.
35	Ou tu vas te faire rôtir. Encore.
36	Tu es sur le point d'être englouti par <b>un brasier</b>.
37	(Tousser.)
38	Ton cœur battant vite.
39	Récepteurs de la douleur surchargés.
40	La gorge endolorie. Brûlée.
41	Mais <b>vivant</b>.
42	(Se lever.)
43	La force du feu a dû t'envoyer valdinguer en arrière.
44	Le gobelin tousse aussi. Sa veste chic est roussie sur les bords.
45	« J'arrive pas à croire que tu sois vivant. Tu as pris cette déflagration de plein fouet. »
46	Le gobelin a dû te traîner hors de là.
47	« Bien sûr que si. Contente-toi juste de... faire un peu de cette magie et de te soigner, d'accord ? »
48	Ton corps requiert une guérison.
49	(Regarder de nouveau dans le couloir.)
50	« Quoi, les Halfways ? »
51	« Écoute, Clerc. On a nettoyé des pièges pendant des lustres, à l'époque où Dame Sageleaf a reçu la propriété de son coin sous le jardin. »
52	« On a déjà assez à surveiller. »
53	« Tu n'y connais pas grand-chose à la Cité d'En Bas, hein ? »
54	« Les choses changent ici. Beaucoup. »
55	« Il y a une raison pour laquelle ça n'a pas été transformé en appartements après toutes ces années. »
56	En regardant en arrière, le couloir ne porte aucune marque d'avoir été empli de flammes.
57	Pour la même raison qu'il est encore fonctionnel. C'est un piège magique.
58	Tandis que tu t'époussettes, Snell plisse les yeux vers les étranges empreintes de patte sur les murs.
59	« Attends, je crois que je connais ça. »
60	« Ces marques- c'est là que tu peux désactiver le piège. »
61	« Allons les examiner. »
62	Oui, elles sont très probablement liées à sa nature ésotérique. Enquête.
63	Une affirmation idiote. Ces empreintes de patte sont le résultat de chiens de donjon sauvages et errants. Rien de plus, rien de moins.
64	Terrible, terrible couloir.
