idx	prefix	english
0		You pick up the insignia. 
1		Heavy. <i>Official</i>. 
2		The symbol of Norvik shaped in iron. 
3		A paladin's insignia. 
4		Huh. Well, there's only one paladin left in the city. 
5		<i>Lord Gorm</i>. 
6		(Turn it over in your hand.) 
7		The craftsmanship is exquisite. 
8		This isn't something you lose accidentally... 
9		Not something you abandon. 
10		A paladin would rather die than be separated from this. 
11		(Examine it carefully.) 
12		The goblin peers at the insignia. 
13		"Seems official. Some leftover from an old delve?" 
14		"No. This is a one of a kind. This belonged to Lord Gorm. The last Paladin of Urth." 
15		"Oh. Oh shit." 
16		"The one that's missing?" 
17		"The one and only." 
18		"Yes, Snell." 
19		He goes quiet. His eyes darting back and forth in the dark tunnel. 
20		"So..." 
21		"Yes. He must have died down here. Swallowed by the dungeon." 
22		"He might still be alive. Somewhere. We will keep up hope." 
23		"I don't think we will find this Paladin." 
24		"Me neither." 
25		"But I suppose this is some type of closure." 
26		"I will report this to my Patriarch once the mission is finished." 
27		He lowers his head, as if to show some type of respect. 
28		"Got it." 
29		The symbol gleams even in the dim light. 
30		Most strikingly: it appears to be hot and red. Clearly highly esoteric, as if containing some magical fire. 
31		You imagine it sitting on your chest, proudly, as a warm reminder of Urth's heart on your cloak. 
32		One day, maybe. 
33		And if it is here, in this dungeon, then surely Lord Gorm must be dead. 
34		Yeah. Probably. 
35		Maybe crushed by these here rocks or something. 
36		ROCKS FALL. 
37		PALADIN DIES. 
38		He couldn't have died here... could he? 
39		Lord Gorm must be dead. 
40		A truly tragic end. 
41		The Missing Paladin is missing no more. 
42		Somewhere down here in the dark. 
43		Another sign of how this city will fall... 
44		You mourn. You shiver. 
45		To think of such an awful end to such a great man... 
46		Horrible. 
47		This will be reported once you are done here. 
48		As for the insignia, it shall be returned to the Palace. 
49		E-"May Urth guide him home." 
