idx	french
0	Tu ramasses l'insigne.
1	Lourd. <i>Officiel</i>.
2	Le symbole de Norvik façonné dans le fer.
3	Un insigne de paladin.
4	Hein. Enfin, il ne reste qu'un seul paladin dans la cité.
5	<i>Seigneur Gorm</i>.
6	(Le retourner dans ta main.)
7	La facture en est exquise.
8	Ce n'est pas quelque chose qu'on perd par accident...
9	Pas quelque chose qu'on abandonne.
10	Un paladin préférerait mourir plutôt que d'en être séparé.
11	(L'examiner attentivement.)
12	Le gobelin scrute l'insigne.
13	« Ça a l'air officiel. Un reste d'une vieille incursion ? »
14	« Non. C'est une pièce unique. Ceci appartenait au Seigneur Gorm. Le dernier Paladin d'Urth. »
15	« Oh. Oh merde. »
16	« Celui qui a disparu ? »
17	« L'unique et seul. »
18	« Oui, Snell. »
19	Il se tait. Ses yeux allant et venant dans le tunnel sombre.
20	« Alors... »
21	« Oui. Il a dû mourir ici en bas. Englouti par le donjon. »
22	« Il est peut-être encore vivant. Quelque part. Nous garderons espoir. »
23	« Je crois pas qu'on trouvera ce Paladin. »
24	« Moi non plus. »
25	« Mais je suppose que c'est une forme d'apaisement. »
26	« Je le rapporterai à mon Patriarche une fois la mission terminée. »
27	Il baisse la tête, comme pour manifester une forme de respect.
28	« Compris. »
29	Le symbole luit même dans la pénombre.
30	Plus frappant encore : il paraît chaud et rouge. Clairement hautement ésotérique, comme s'il contenait quelque feu magique.
31	Tu l'imagines reposant sur ta poitrine, fièrement, comme un chaleureux rappel du cœur d'Urth sur ta cape.
32	Un jour, peut-être.
33	Et s'il est ici, dans ce donjon, alors le Seigneur Gorm doit assurément être mort.
34	Ouais. Probablement.
35	Peut-être écrasé par ces rochers ici présents ou un truc du genre.
36	DES ROCHERS TOMBENT.
37	LE PALADIN MEURT.
38	Il n'a pas pu mourir ici... si ?
39	Le Seigneur Gorm doit être mort.
40	Une fin véritablement tragique.
41	Le Paladin Disparu n'est plus disparu.
42	Quelque part ici en bas, dans le noir.
43	Un autre signe de la façon dont cette cité tombera...
44	Tu fais ton deuil. Tu frissonnes.
45	Songer à une fin aussi affreuse pour un aussi grand homme...
46	Horrible.
47	Ceci sera rapporté une fois que tu en auras fini ici.
48	Quant à l'insigne, il sera rendu au Palais.
49	« Qu'Urth le guide jusqu'à sa demeure. »
