idx	prefix	english
0		Lighting up the passage like a miniature sun - you see the Golden Horde Ambassador. 
1		"How lucky to have run into you here again, Cleric. For I have a message for you." 
2		Its light flutters. 
3		"And you too, Snell." 
4		"Yeah. Hey," your companion says at a very comfortable distance. 
5		"Our previous meeting was satisfactory." 
6		"I have made certain to note your name down for future reference, if the need for more information does arise." 
7		"Your outburst during our previous meeting was an interesting message to convey west." 
8		"Thus I can assure you, once again, the Golden Horde are not interested in further communication." 
9		"I just wanted to ask what you're doing down here." 
10		"Same, honestly." 
11		"Please leave this area now, celestial." 
12		"I shall tell you, Cleric, your message from our previous meeting has been received by higher powers." 
13		"Higher powers?" 
14		"Your bosses, I presume." 
15		(Stay silent.) 
16		"Higher voices, within the Choir." 
17		"Yes." 
18		"The Golden Horde knows well there are many thoughts within this city which are all interesting to hear." 
19		"If we were to require such thoughts of a Norvikian cleric, I shall be sure to keep you in mind." 
20		The light dances across your uniform. 
21		Near blinding you in this dark place. 
22		"What are you doing down here?" 
23		"Do you have a permit to be down here?" 
24		"You learn anything interesting while down here?" 
25		M-"I have some things to take care of, so..." 
26		"I am following up on a lead." 
27		"By looking at..." (Glance at the rock.) 
28		"These halls are esoteric. I am sure you are aware." 
29		"While these skulls are simply the work of your recent ancestors - these rocks contain something else entirely." 
30		(Look at them.) 
31		"These are indestructible murals. Primitive, in a way. Eternal in their beauty." 
32		"The Choir wishes to have them recorded. That is what I have done." 
33		"They send an ambassador to look at some cave paintings?" 
34		"Archaeological endeavor I gladly perform." 
35		The light grows, and then shrinks. 
36		"No." 
37		"No?" 
38		"I have immunity." 
39		"So, what, you can just <i>do crimes</i>?" 
40		"I get you. No big deal." 
41		"However, if you wish to bring this minor issue up with your Patriarch, I will receive it in haste. I promise." 
42		"Thank you, Cleric." 
43		"Nothing I can disclose." 
44		"So nothing then?" 
45		"As The Cleric, I demand you tell me what you know!" 
46		"Got it." 
47		The light simply flutters. 
48		"Your demand has been received. It shall be considered." 
49		"Good." 
50		"As do I." 
51		"My dealings here are complete. Thank you for this conversation, Cleric." 
52		"The light shall reach you again one day, I am sure." 
53		The ambassador eerily begins to float away, towards one of the many pits of the southern caverns. 
54		The radiant light leaving along with any traces of light. 
55		"Good talk." 
56		E-Cool, cool. 
