idx	french
0	Illuminant le passage comme un soleil miniature - tu vois l'Ambassadeur de la Horde d'Or.
1	« Quelle chance de vous être retombé dessus ici, Clerc. Car j'ai un message pour toi. »
2	Sa lumière ondoie.
3	« Et toi aussi, Snell. »
4	« Ouais. Salut », dit ton compagnon à une distance fort confortable.
5	« Notre précédente rencontre fut satisfaisante. »
6	« J'ai veillé à noter ton nom pour référence future, si le besoin d'informations supplémentaires venait à se présenter. »
7	« Ton éclat lors de notre précédente rencontre fut un message intéressant à transmettre à l'ouest. »
8	« Ainsi je peux t'assurer, une fois de plus, que la Horde d'Or n'est pas intéressée par davantage de communication. »
9	« Je voulais juste demander ce que vous faites ici en bas. »
10	« Pareil, honnêtement. »
11	« Quittez cette zone maintenant, céleste. »
12	« Je vais te dire, Clerc, ton message de notre précédente rencontre a été reçu par de plus hautes puissances. »
13	« De plus hautes puissances ? »
14	« Vos patrons, je présume. »
15	(Rester silencieux.)
16	« De plus hautes voix, au sein du Chœur. »
17	« Oui. »
18	« La Horde d'Or sait bien qu'il y a de nombreuses pensées dans cette cité, toutes intéressantes à entendre. »
19	« Si nous venions à requérir de telles pensées d'un clerc norvikien, je veillerai à te garder à l'esprit. »
20	La lumière danse sur ton uniforme.
21	T'aveuglant presque en ce lieu sombre.
22	« Que faites-vous ici en bas ? »
23	« Avez-vous un permis pour être ici en bas ? »
24	« Vous avez appris quelque chose d'intéressant ici en bas ? »
25	« J'ai des choses à régler, alors... »
26	« Je suis une piste. »
27	« En regardant... » (Jeter un œil au rocher.)
28	« Ces salles sont ésotériques. Je suis sûr que vous en êtes conscient. »
29	« Tandis que ces crânes ne sont que l'œuvre de vos récents ancêtres - ces rochers contiennent tout autre chose. »
30	(Les regarder.)
31	« Ce sont des fresques indestructibles. Primitives, en un sens. Éternelles dans leur beauté. »
32	« Le Chœur souhaite qu'elles soient consignées. C'est ce que j'ai fait. »
33	« Ils envoient un ambassadeur regarder quelques peintures rupestres ? »
34	« Une entreprise archéologique que j'accomplis avec plaisir. »
35	La lumière grandit, puis rétrécit.
36	« Non. »
37	« Non ? »
38	« J'ai l'immunité. »
39	« Alors quoi, vous pouvez juste <i>commettre des crimes</i> ? »
40	« Je vous comprends. Pas grave. »
41	« Cependant, si vous souhaitez soulever ce problème mineur avec votre Patriarche, je le recevrai en hâte. Je le promets. »
42	« Merci, Clerc. »
43	« Rien que je puisse divulguer. »
44	« Donc rien, alors ? »
45	« En tant que Le Clerc, j'exige que vous me disiez ce que vous savez ! »
46	« Compris. »
47	La lumière se contente d'ondoyer.
48	« Ta demande a été reçue. Elle sera considérée. »
49	« Bien. »
50	« Moi de même. »
51	« Mes affaires ici sont achevées. Merci pour cette conversation, Clerc. »
52	« La lumière t'atteindra de nouveau un jour, j'en suis sûr. »
53	L'ambassadeur commence à flotter au loin de façon inquiétante, vers l'une des nombreuses fosses des cavernes du sud.
54	La lumière radieuse s'en allant avec toute trace de lumière.
55	« Bonne discussion. »
56	Cool, cool.
