idx	prefix	english
500		"<i>I see it in its eyes. One day... we will be food as well,</i>" the BLACK RAT intones. 
501		"Obviously!" the RED RAT puffs out his chest. "The future depends on us and our ability to-" 
502		"Please don't get him started again," the WHITE RAT pleads. 
503		"Too late," sighs the YELLOW RAT. 
504		"A FASCIST!" the GREEN RAT begins. "Nothing but A FASCIST!" 
505		"<i>None of it matters...</i>" the BLACK RAT whispers. 
506		"See what you've done?" The WHITE RAT wrings his paws. 
507		"The crocodile? He's terrifying!" the WHITE RAT squeaks. 
508		"A strong figure. Respects tradition," the RED RAT says approvingly. 
509		"He's got a solid business model. Theft, cooking, occasional violence," the YELLOW RAT admits. "I dig it." 
510		"A tool of oppression. But at least he's honest about it," the GREEN RAT mutters. 
511		"<i>Death incarnate. I respect that.</i>" The BLACK RAT nods slowly. 
512		"Do you all have an order in which you reply in? You seem to be pretty organized, all things considered." 
513		"I see. I like him too." 
514		The rats look at one another, clearly confused. 
515		"The crocodile? He's <i>terrifying</i>!" the WHITE RAT squeaks again. 
516		"I do not collaborate with traitors," the RED RAT says. 
517		"It seems like you are, though," the YELLOW RAT says. "By simply engaging in this conversation." 
518		"For once I agree - I also do not collaborate with oppressors," the GREEN RAT says. 
519		"<i>I... say the last thing,</i>" the BLACK RAT also says. Lastly. 
520		"You are brave, iron-transform-human," the WHITE RAT replies. "Be careful with such courage..." 
521		The WHITE RAT laughs nervously. "We're working on it!" 
522		"Define 'get along,'" the YELLOW RAT says dryly. 
523		"We tolerate each other's presence," the GREEN RAT clarifies. 
524		"Barely," adds the RED RAT. 
525		"<i>We are united in our inevitable doom...</i>" the BLACK RAT offers. 
526		"That's... not helpful," the WHITE RAT sighs. 
527		None of them respond. 
528		Then the BLACK RAT says, "<i>Elections are exhausting...</i>" 
529		"Size doesn't determine civic duty!" the RED RAT bristles. 
530		"Actually, studies show smaller creatures have higher metabolic rates, leading to more passionate-" the YELLOW RAT begins. 
531		"Are you seriously trying to justify capitalism with biology?" the GREEN RAT interrupts. "We do not pay for LOVE, do we? We do not grind pieces of cheese and copper together for the sake of flesh-against-flesh?!" 
532		"Hm. Not a bad idea, actually..." the YELLOW RAT responds, evil-ily. 
533		"Please don't start this again..." the WHITE RAT begs. 
534		"<i>Prostitution... is a difficult subject...</i>" the BLACK RAT says quietly. 
535		(Think about hopping into the discussion, then change your mind at the last second.) 
536		Good. 
537		You really don't wanna start rolling around with cheese-eaters. 
538		That's how you pick up all kinds of ideologies. 
539		The rats stare at you. 
540		"Yes, we are all very happy about that," the WHITE RAT explains. 
541		None of the other rats look happy about that. 
542		You do so, and the chatter turns back into slightly less annoying squeaking. 
543		Then you turn back to the hyper-dangerous crocolisk man grilling slogdogs in the sewers. 
544		"<wiggle>Kraaid</wiggle> is glad to see Cleric eat good." 
545		"Slogdog is five coin. Cleric pay..." 
546		"What do you need money for, crocodile-man?" 
547		BUY5 Slogdog-(Purchase Slogdog for 5 crowns.) 
548		"No more slogdog?" 
549		"I'm good for now." 
550		"Tax." 
551		"Oh." 
552		"Tithehouse is trouble." 
553		"Visken will do good mission, if tax is paid." 
554		"<wiggle>Kraaid</wiggle> assist." 
555		"That's... wholesome?" 
556		Not really. 
557		Good. He might be a murderous monster, but at least he does not dodge the tithes. 
558		"That is last, slogdog. Enjoy..." 
559		"Many slogdog for Cleric..." 
560		"Cleric must enjoy..." 
561		"One slogdog for Cleric..." 
562		"Enjoy slogdog..." 
563		"<i>Kraaid</i> enjoy this patronage..." 
564		"Good, good..." 
565		"Another? Yes..." 
566		"Cleric enjoy..." 
567		"This week's supply has sadly been consumed..." 
568		"<i>Kraaid</i> is very happy. Cleric will return in future, yes?" 
569		"Of course. I love slogdogs." 
570		"No. I hate slogdogs." 
571		"I have medium-rare thoughts and opinions on slogdogs, and thus I will restrain myself at this moment." 
572		"Good..." 
573		"<i>Kraaid</i> does too." 
574		"<i>Kraaid</i> thinks Cleric is strong to have endured consuming something hated by Cleric..." 
575		"Cleric's stomach will thank him in the future..." 
576		"<i>Kraaid</i> does not understand this." 
577		"But medium-rare is quite fine." 
578		He puts his slogdogs away. 
579		"<wiggle>Kraaid</wiggle> has many. Cleric return when hungry..." 
580		"Many things." 
581		"<wiggle>Kraaid</wiggle> dive and stalk." 
582		"There is wild land below. Far, deep, <b>dark</b>." 
583		"You find anything good down there?" 
584		"But not above here, right? You stay out of the city?" 
585		"Where else do you hunt?" 
586		"Great. Good to know." 
587		"<wiggle>Kraaid</wiggle> takes many trophy." 
588		"From big chicken, to little drake." 
589		"And those of many, many teeth and eye..." 
590		"Most are not tasty. Some, very." 
591		He glances at your companion. 
592		"You." 
593		The goblin does a comically loud gulp. 
594		"Mm?" 
595		He tries to play it off. Nice. 
596		"Little green men. You are not tasty, and not even fun to hunt." 
597		"But you look... spicy." 
598		He holds up a hand and a stern face. "I can assure you, I am not." 
599		The croc lets out an amused growl. 
600		"<wiggle>Kraaid</wiggle> hunts in wilds. Urban sprawl is too..." 
601		"<i>Easy</i>." 
602		"When <wiggle>Kraaid</wiggle> has mission, the <b>hunt</b> begins." 
603		"Mission?" 
604		The croc smirks. "<wiggle>Kraaid</wiggle> say nothing." 
605		The goblin leans towards you and whispers, "Don't." 
606		"<wiggle>Kraaid</wiggle> hunts where he pleases." 
607		"This land is good. Good for sport. Great beast roam, and many fresh challenge await." 
608		"When <wiggle>Kraaid</wiggle> is on hunt... he goes far." 
609		He lets out another short growl. 
610		"Mmm... yes." 
611		"Rat is little thing, which I remember from home." 
612		"Big rat. Those were great friends." 
613		"You had big rats where you're from?" 
614		"You like little rat because you like big rat?" 
615		"I don't get it." 
616		"<wiggle>Kraaid</wiggle> gets." 
617		He lets out a happy growl. 
618		"Big mushy swamp rat! The <b>gayest</b> of little rodent." 
619		"I hunt as little. Then as big, I follow. I learn." 
620		"Big rat is great hunter." 
621		"Little rat has much to learn. But they will..." 
622		"<i>They... will...</i>" 
623		"That's great." 
624		He turns to you and whispers, "Let's not get too friendly with the rat-loving killer croc. Alright?" 
625		So judgmental. 
626		"<wiggle>Kraaid</wiggle> did not ask." 
627		As the beasts speak, the rats rush from your grasp. 
628		One. 
629		After. 
630		Another. 
631		The five rats immediately rush to crawl all over and around the beast. 
632		"Wait, that's why you were running around talking to rats?" 
633		"I figured you'd want them to hang out with you." 
634		"Look, they really like you, Mr. Crocodile." 
635		(Shrug.) 
636		The beast stares at the five happy rats. 
637		"<wiggle>Kraaid</wiggle> does not care." 
638		"But... it does remind <wiggle>Kraaid</wiggle>..." 
639		The hulking monster grabs something from behind a crate. 
640		A decapitated head. That of a massive bird-like creature. 
641		He tosses it to you. 
642		"Ugh. That smell..." 
643		The scent is strong. 
644		That can't be good for your image. 
645		Makes you smell like a hunter. Could be cool? 
646		How manly. 
647		"Thanks." 
648		"I don't want this." 
649		"Local catch?" 
650		"You... refuse?" 
651		"Refuse <wiggle>Kraaid's</wiggle> gift?" 
652		Uh oh. 
653		The goblin glares at you. 
654		"I... I don't want it." 
655		"Fine, I'll take it." 
656		"Of course I wouldn't! I love this... thing." 
657		"Okay." 
658		"Cleric does what he please." 
659		"Trophy is Cleric's." 
660		"Oh. I thought you would get mad or something." 
661		"Mad? No..." 
662		"But if Cleric does not have trophy when next we see Cleric, Kraaid will not keep promise." 
663		"Kraaid will eat Cleric." 
664		"Human can be good sport. Good game, sometime." 
665		"He'll keep the trophy. Don't you worry, Kraaid." 
666		The crocodilus gives you a toothy smile. 
667		Right. Maybe I'll keep it in my pouch. For now, at least. 
668		"Gravity chicken got caught... <wiggle>Kraaid</wiggle> eat all. But Cleric can have trophy." 
669		"<wiggle>Kraaid</wiggle> offer <i>assistance</i>." 
670		Ah. The beast has a nickname for the basilisk. Due to their love of the Gravity Flip. 
671		How idiotic. 
672		"Now <wiggle>Kraaid</wiggle> will feast with many gay rats. Make them grow big. And <wiggle>strong</wiggle>..." 
673		You don't think he's using that word correctly. 
674		It is true. 
675		The rats are now quite happy. 
676		"Let's... not think about it for now." 
677		"I'll inform the Old Lady when we're done with more pressing matters." 
678		"Honestly," he whispers to you. "It's not a good idea to start shit here." 
679		"The whole stolen shipments-thing is an issue, yes." 
680		"But the Halfways <i>do not</i> have the resources to deal with this solid unit of a beast right now." 
681		"What if I ask him to stop?" 
682		"Yeah, you're right. Let's just drop it for now." 
683		The goblin gives you a surprisingly neutral expression. 
684		"<i>Politely</i>?" 
685		"What, don't you think I could do it?" 
686		"Very politely." 
687		"You're right. That was a dumb idea." 
688		The goblin shrugs. 
689		"I'm not sure I want to find out, but I don't think you're gonna give me a choice." 
690		"Go ahead. Play high-risk Alligator Picker. Why not." 
691		"Yes, I am right. As per usual." 
692		"Now either ask him something useful, or let's get out of here." 
693		"Before the crocodile decides he does in fact enjoy the taste of goblin meat." 
694		He does not mean that in a sexual way. 
695		You could tell, yes. But thanks. 
696	ROLL8 cha-	Come up with a persuasive argument. 
697		"Nevermind." 
698		The beast pokes at his stove. 
699		Right. 
700		You're battling against a hungry beast here. 
701		But not just that. You're also facing, what could only be described as... 
702		A connoisseur. 
703		You're kidding. 
704		Not this time! 
705		You'll need to offer a bargain. Some better, nicer cooking supplies than the average HWBT stock. 
706		Ah. You mean... 
707		OH yes. You mean... 
708		"Kraaid, I wish to inform you that you are getting subpar goods here." 
709		"<b>Sub-par...?</b>" 
710		"Those crates. They're all from the Halfway Bridge Tribe. If you're looking for better goods, I would strongly suggest focusing on another target..." 
711		The beast leans in and glares at you. 
712		"<wiggle>Kraaid</wiggle> wish to know: where would better goods be found?" 
713		Tell him about the dwarven vessels. They won't miss a few crates. 
714		As bad as stealing is, the ones who will miss it the least are the Freestriders. The Trade Company. 
