idx	prefix	english
0		Hm. 
1		What? 
2		There's potential here. 
3		Potential? 
4		Yeah. Like... 
5		Like the opportunity of a lifetime sits, right here. Right now. 
6		In this here weird cave lake. 
7		I don't think I agree. 
8		Yeah. I can FEEL it. 
9		It tingles. 
10		Deep... 
11		Oh. Is there... 
12		There is SOMETHING in the water. 
13		A glint within the lake. 
14		ALL. AROUND. YOU. 
15		Oh shit. Is it...? 
16		Another trap...?! 
17		No. 
18		It has no KILLING INTENT. 
19		"You okay in there?" 
20		The water rises. 
21		It takes shape. A figure. Fluid and shimmering. 
22		A water elemental. 
23		One of the old guardians of the deep places. 
24		"<shake>Surface-walker</shake>...!" 
25		The voice comes from everywhere. From the water itself. 
26		"My domain is what you stand in- what you drink and bathe and boil..." 
27		"Your domain?" 
28		"Are you going to attack me?" 
29		"I mean no disrespect, elemental." 
30		(Raise your fists.) "I will FIGHT you, lake!" 
31		"These here waters, flowing through time and space." 
32		The water ripples. 
33		"No beast am I nor blade of passion." 
34		"None taken where none intended." 
35		"Whoa, whoa!" 
36		The water ripples, slightly. 
37		"A thing-of-passion, to crave a violence..." 
38		(Punch the lake.) 
39		"Are you hostile, or not?!" 
40		"Not. Not now, as the tides foretell." 
41		"Oh. Well then." (Lower your fists.) 
42		(Punch the lake anyway.) 
43		You swing a HARD FIST against the surface of the water. 
44		A SPLASH. 
45		(Swing again.) "TAKE THAT...!" 
46		"Do you yield?!" 
47		Another SPLASH. 
48		The water seems to ripple back towards you. 
49		"The fist of the iron man is not fast enough to hit the crucial part." 
50		"No harm was done. No harm will return." 
51		"Oh." 
52		Snell stands upon the shore, arms crossed. 
53		"I offer you... <i>opportunity.</i>" 
54		The waters swirl and churn. 
55		"<i>The land-rights to this cavern. Yours. To do with as you please.</i>" 
56		"Land-rights?" 
57		"This cave. Its pool. The shore." 
58		"All yours, for the low, low, low price of twenty-five-thousand shiny crowns." 
59		"Twenty-five-thousand?!" 
60		"Yes." 
61		That's one hell of an offer. Let's hear this Lake-Thing out. 
62		You do have that fortune from the Deck... 
63		"I'm okay. Thanks, though." 
64		"I can't afford that." 
65		"I could afford that." 
66		Twenty-five thousand. 
67		That's... a lot. 
68		That's a SCAM. 
69		With a hint of potential return. 
70		Your companion says, loudly across the cavern, "That'd be a good price- if this was a developed region." 
71		"What if it becomes a developed region in the future, then?" 
72		"It's a scam. Obviously." 
73		"Then they'd call you investor-cleric, lord of the futures." 
74		"Obviously." 
75		Obviously. 
76		"And I also offer healing water." 
77		"A hundred for a gulp." 
78		Take it. In... your MOUTH. 
79		Don't go drinking random elementals in cavern lakes. 
80		That's how you catch esoteric pneumonia. 
81		No such thing. 
82		Though you can easily die from many other dungeon-diseases. 
83		Now <i>that's</i> a scam. 
84		The waters stir as you approach. 
85		"You return, surface-walker." 
86		"Ready to make a purchase?" 
87		"What do land-rights even mean down here?" 
88		"Why would I want to own a lake?" 
89		"That seems... steep." 
90	ROLL16 cha-	"Twenty-five thousand? That's absurd. Surely we can negotiate." 
91		"What else can you tell me about this place?" 
92		"How long have you been here?" 
93		E-"I'll be going now. Bye." 
94		The many coins sink into the depths of the lake. 
95		The many, many coins sink into the depths of the lake. 
96		The elemental swirls with satisfaction, and a piece of paper floats to the surface. 
97		"It is done. These waters... this land... yours." 
98		"May you find what you seek in the deep places." 
99		"Sweet. Good way to spend your vast fortune." 
100		You feel certain about this. 
101		If you get some stairs put in- make sure it's populated enough for the City Below to not swallow it or shift it around... 
102		Give or take five to fifteen years, and you'll be a big time land-owning over-class type person. 
103		"I feel like I might regret this in a couple of years." 
104		"It's an <i>investment</i>." 
105		(Nod proudly.) 
106		"I'm sure you already do." 
107		"Of course, Lord cleric. Of course." 
108		Snell shakes his head slowly. 
109		The elemental in the water slowly ripples out, fading off into the crevices of the cave. 
110		The voice is no more. 
111		E-Guess that's it. (Look at your wet piece of paper.) 
112		"Official ownership. Recognized by the old laws." 
113		"No goblin. No dwarf. No cleric. May claim what is yours." 
114		"Privacy. Prestige. A place to call your own." 
115		"The surface-dwellers covet such things, do they not?" 
116		"Quality costs, surface-walker." 
117		The elemental pauses. Considers. 
118		"You speak with... conviction." 
119		"Very well. Ten thousand crowns. My final offer." 
120		A much better deal. 
121		Still probably a scam. 
122		"No." 
123		"The price is the price, surface-walker." 
124		"Take it or leave it." 
125		The coins sink. Disappear. 
126		A small sphere of water rises to meet you. 
127		"Drink." 
128		(Take a gulp.) 
129		YES. 
130		It tastes like cave. With a hint of algae. 
131		But you feel refreshed. 
132		"Insane behavior," Snell whispers to himself on the shore. "Absolutely insane." 
133		"These caverns are old. Older than your cities." 
134		"Many have walked these paths. Few have returned." 
135		"The deep places keep their secrets." 
136		Cryptic. As expected from an elemental. 
137		"Time means little to water." 
138		"I flow. I wait. I remain." 
139		"Since before the dwarves. Since before the cats." 
140		Ancient. 
141		Impossibly ancient. 
142		Simply another elemental left behind by some esoteric event. 
