idx	french
0	Hm.
1	Quoi ?
2	Il y a du potentiel ici.
3	Du potentiel ?
4	Ouais. Genre...
5	Comme si l'occasion d'une vie se trouvait, ici même. Maintenant.
6	Dans ce bizarre lac de caverne, ici présent.
7	Je ne crois pas être d'accord.
8	Ouais. Je le SENS.
9	Ça picote.
10	Profond...
11	Oh. Est-ce qu'il y a...
12	Il y a QUELQUE CHOSE dans l'eau.
13	Un reflet dans le lac.
14	TOUT. AUTOUR. DE TOI.
15	Oh merde. Est-ce que c'est...?
16	Encore un piège...?!
17	Non.
18	Ça n'a nulle INTENTION DE TUER.
19	« Ça va, là-dedans ? »
20	L'eau s'élève.
21	Elle prend forme. Une silhouette. Fluide et scintillante.
22	Un élémentaire d'eau.
23	L'un des anciens gardiens des lieux profonds.
24	« <shake>Marcheur de surface</shake>...! »
25	La voix vient de partout. De l'eau elle-même.
26	« Mon domaine est ce dans quoi vous vous tenez- ce que vous buvez, ce dans quoi vous vous baignez et que vous faites bouillir... »
27	« Votre domaine ? »
28	« Allez-vous m'attaquer ? »
29	« Je ne veux nul manque de respect, élémentaire. »
30	(Lever tes poings.) « Je vais TE COMBATTRE, lac ! »
31	« Ces eaux ici présentes, coulant à travers le temps et l'espace. »
32	L'eau ondule.
33	« Je ne suis nulle bête ni lame de passion. »
34	« Nul mal pris là où nul ne fut voulu. »
35	« Ho là, ho là ! »
36	L'eau ondule, légèrement.
37	« Une chose-de-passion, à convoiter une violence... »
38	(Frapper le lac du poing.)
39	« Êtes-vous hostile, ou non ?! »
40	« Non. Pas maintenant, comme les marées le prédisent. »
41	« Oh. Eh bien alors. » (Baisser tes poings.)
42	(Frapper le lac quand même.)
43	Tu balances un POING PUISSANT contre la surface de l'eau.
44	Un ÉCLABOUSSEMENT.
45	(Balancer de nouveau.) « PRENDS ÇA...! »
46	« Cèdes-tu ?! »
47	Un autre ÉCLABOUSSEMENT.
48	L'eau semble ondoyer de nouveau vers toi.
49	« Le poing de l'homme de fer n'est pas assez rapide pour toucher la partie cruciale. »
50	« Nul mal ne fut fait. Nul mal ne reviendra. »
51	« Oh. »
52	Snell se tient sur la rive, les bras croisés.
53	« Je vous offre... une <i>opportunité.</i> »
54	Les eaux tourbillonnent et bouillonnent.
55	« <i>Les droits fonciers de cette caverne. Vôtres. À en faire ce que bon vous semble.</i> »
56	« Des droits fonciers ? »
57	« Cette caverne. Son bassin. La rive. »
58	« Tout à vous, pour le très, très, très bas prix de vingt-cinq mille couronnes rutilantes. »
59	« Vingt-cinq mille ?! »
60	« Oui. »
61	Ça, c'est une sacrée offre. Écoutons ce Truc-du-Lac.
62	Tu as bien cette fortune du Paquet...
63	« Ça va. Merci quand même. »
64	« Je ne peux pas me le payer. »
65	« Je pourrais me le payer. »
66	Vingt-cinq mille.
67	Ça fait... beaucoup.
68	C'est une ARNAQUE.
69	Avec un soupçon de retour potentiel.
70	Ton compagnon dit, à voix haute à travers la caverne : « Ce serait un bon prix- si c'était une région développée. »
71	« Et si ça devient une région développée à l'avenir, alors ? »
72	« C'est une arnaque. Évidemment. »
73	« Alors ils t'appelleraient clerc-investisseur, seigneur des contrats à terme. »
74	« Évidemment. »
75	Évidemment.
76	« Et j'offre aussi de l'eau curative. »
77	« Cent pour une gorgée. »
78	Prends-la. Dans... ta BOUCHE.
79	Ne va pas boire des élémentaires au hasard dans des lacs de caverne.
80	C'est comme ça qu'on attrape une pneumonie ésotérique.
81	Ça n'existe pas.
82	Cela dit, tu peux aisément mourir de bien d'autres maladies-de-donjon.
83	Ça, <i>c'est</i> une arnaque.
84	Les eaux s'agitent à ton approche.
85	« Vous revenez, marcheur de surface. »
86	« Prêt à faire un achat ? »
87	« Que signifient même des droits fonciers ici en bas ? »
88	« Pourquoi voudrais-je posséder un lac ? »
89	« Ça semble... exorbitant. »
