idx	prefix	english
0		At the end of this hallway, in an alcove like any other, you see a book. 
1		It sits on a thin ledge. It does not have anything on the cover. 
2		An illusion. Beware. 
3		No one would leave a book like this. Not without it being stolen very quickly. 
4		That's true. Anyone with half a brain would take a weird old book like this and sell it to some collector, given the chance. 
5		(Take the book.) 
6		E-I'm done here. 
7		"Agreed." 
8		"Don't write your name in there or anything." 
9		"Heard about a guy that found a book once. Up in Muletown." 
10		"On the cover it said 'Famous People', and inside was just a list of... well, famous people. Historical figures, or whatever." 
11		"So this guy thought it'd be funny to scribble his own name among them." 
12		"And <shake>poof</shake>!" 
13		"He turned into <b>feathers</b>! Like a big collection of pure black feathers. Started floating away in the wind, down the river." 
14		"It was all everyone could talk about for weeks." 
15		"That's a... random story." 
16		"You're not making this any less creepy, Snell." 
17		"Seems like he got what he wanted." 
18		He gives you a chuckle. "Sorry, just popped into my mind." 
19		He gives you a chuckle. "I know." 
20		He gives you a chuckle. "Sure did." 
21		Then the goblin frowns, looking up at the ceiling. 
22		"I can't seem to remember the guy's name though." 
23		Ominous. 
24		An esoteric curse, clearly. 
25		A MAN. LOST IN HISTORY. 
26		"Anyway. What were you doing?" 
27		You flip the tome open and get ready with your quill. 
28		You flip open to a page. 
29		Any page. You flip through multiple. 
30		They're all empty. 
31		"You know what you're doing, Cleric?" 
32		(Keep flipping.) 
33		(Stop.) 
34		You do so. 
35		You keep flipping. Until... 
36		You see text on a page. 
37		It says, in a clean and steady handwriting, 'What TOME do you desire?' 
38		"Huh..." 
39		"Yeah, this is cursed." 
40		Clearly, this is esoteric. 
41		You take out a quill. 
42		You remember a number of ancient tomes, books, letters, and various pieces of literature you could ask for. 
43		You scramble to remember the names of the various books, letters, and various pieces of literature you've seen through your 'education'. 
44		(Try writing 'Norvikian Chants, by Patriarch Pilli'.) 
45		(Don't.) 
46		The book stares at you. As much as any book can. 
47		Your letters immediately fade from the page. 
48		But it's replaced by another message, that seemingly forms out of the same ink you used to write. 
49		'Patriarch Pilli? His books are found EVERYWHERE. But the closest copy?' 
50		'In the Local Lichhouse.' 
51		'Among your possessions.' 
52		Then the text quickly disappears. 
53		"Uh..." 
54		"That's amazing?" 
55		"If it can locate any book, then it's like... very, very useful." 
56		A glorious esoteric artifact. 
57		Make use of it. 
58		You get ready with your quill. 
59		'A Blind Manifesto, by the Hedonists.' 
60		'Beyond Reeds by Meriadoc Moonwatch.' 
61		'The Folk, by Léxandro.' 
62		'Humans: A Brief History by Metann Liucx.' 
63		'Memoirs of a Statesman, by Nicholas Darrow.' 
64		'Autobiography Prax, by Lord Fillius Prax.' 
65		'Urth and Tol, Founders, by Bodil Grimface.' 
66		'Folk Prayers, by the Trill Sisters.' 
67		Nevermind. I've asked enough. 
68		'A surprisingly common book in these parts. It's in that foul office, on Waterlane.' 
69		'A basic travel guide. Many lies within. Even more are around, above.' 
70		'One is... below. Far, far below. Another is up - inside the tower.' 
71		'There's six copies on these streets. One is on Waterlane. The halfling's got it.' 
72		'An interesting and cold take on the most evil creature in Whale-land. Go to the tower.' 
73		'There are way too many copies of that trash around. The Waterlane office. Go.' 
74		'A grand account from a powerful narcissist. You can find one in the Lichhouse nearby.' 
75		'There is a copy in the tower. Boring book, though.' 
76		'A wonderful collection of tales. The Sisters did great work to stop the ridiculous cultural trend of talking instead of writing. Nearest copy is in the Lichhouse.' 
77		You put away the quill. 
78		As you pick up the tome, you get an overwhelming tingling sensation running down your arm. 
79		Impending doom. 
80		Holy shit. No! Don't! 
81		DROP. IT. 
82		A DOOMED ARTIFACT, LEFT BY THOSE WHO KNEW THE SECRETS OF THIS WORLD. 
83		IT SAYS, <shake>NOT. YOURS</shake>. 
84		"You okay, Cleric?" 
85		"Are you shaking?" 
86		(Put it back.) 
87		You do so, quickly placing it back on the ledge. 
88		As you write in those letters- finishing it with a simple punctuation... 
89		<wiggle>...</wiggle> 
90		The entire illusion wanders off, far into a deep, deep hallway. 
91		"...Whoa." 
92		Yet directly to your left you see... an entrance. It leads to somewhere bright. 
93		Your companion points towards it. "Yup." 
94		"That's some esoteric bullshit." 
95		As you glance over at that book - still gliding away into the dark - you catch a final glimpse of its flipping pages, while it's turning into some fine mist. 
96		<wiggle>OF COURSE WE HAVE THAT SPLENDID TOME</wiggle>. 
97		<wiggle>IF YOU ASK NICELY, IT MIGHT BE YOURS...</wiggle> 
98		E-"...Cool." 
