idx	prefix	english
0		Among all the ancient tomes and scriptures - each holding a world of knowledge inside - the one you seek is here right on the ground. 
1		Tingling teal cover. Golden pages. An esoteric gem upon the latch. It almost blinds you with its radiance. 
2		Book_of_the_Mind,_Sixth_Edition 
3		It's large, in both width and thickness. 
4		As well as in its content. 
5		Tome of <i>hunger</i>. 
6		Your FEAR it. You CRAVE it. 
7		(Open the latch.) 
8		Right away it says on the first page, in big bold lettering: <i>BLOOD PROPERTY OF HOUSE HAGGINSHAGS</i>. 
9		<i>BOOK OF THE MIND, by CIVIDIX. 6th edition</i>. 
10		Hm. How intriguing. This begs a most indomitable question: 
11		Is it haggin-<i>shags</i>, or <i>haggins</i>-hag? 
12		Ah. 
13		Hagginshags. Of course. It must be a century old. 
14		Huh. Look at the ink. 
15		Looks pretty modern, doesn't it? 
16		Hm. 
17		An interesting observation. 
18		"Won't you look at that..." 
19		The book Appledent wanted. <b>Quest complete</b>. 
20		Or rather, he wants to see the sizable foreword, taking up the first dozen pages of the book. 
21		The scholar will be glad once you deliver it. 
22		"If the upper class could be encapsulated into a single tome, I think it'd look like that." 
23		"I feel unworthy." 
24		This was easy. Too easy. (Look around.) 
25		(Just leave.) 
26		"Eh. Maybe. Or covered in the blood of the working class." 
27		"IT IS THE WAY IT IS MEANT TO BE." 
28		"YOU ARE." 
29		Hold on. There's something... 
30		"What's up?" 
31		"YOU WILL CEASE." 
32		"STAY. WHERE. YOU. ARE." 
33		A blinding light, from below- shooting into the endless above. 
34		BEHIND YOU. 
35		(Turn around.) 
36		At the center of the strange spiral abyss, floating, your eyes adjust to catch a glimpse of one surreal shape. 
37		A glorious, spectral delight. 
38		That light... this is an Arcane Apparition. 
39		None but the greatest Arcanists held the knowledge to craft one of these... 
40		"Who are you?! Identify yourself!" 
41	DC15 int-	"An Apparition. Watch out, Snell." 
42		"WE ARE MANY PAGES. ALL WORDS." 
43		"NO." 
44		"YOUR ARCA-NISTS DID NOT PRODUCE ME." 
45		The goblin is glaring at the horrific <i>thing</i>, yelling, "I am! I am!" 
46		"NO. YOU ARE NOT." 
47		"WE. SEE. YOU." 
48		"I'm not allowed to take the book, I presume." 
49		"The book is mine." 
50		"I've been tasked with retrieving this book. You cannot stop me." 
51		"Sorry, I'll put it back." 
52		"A TRUE STATEMENT." 
53		"A FALSE STATEMENT." 
54		"WE CAN AND WILL." 
55		"IT IS OFF THE SHELF." 
56		"Actually, it was on the floor, I just-" 
57		"THE STRING IS IN MOTION." 
58		While the library shakes lightly at the tone of this esoteric entity's voice, you do feel there is no immediate threat here. 
59		That, however, could change quickly. 
60		Your companion nervously glances to you, and whispers, "You do your thing, okay?" 
61		"Interesting, tell me more about yourself." 
62		"Can you see the Strings of Jor?" 
63		"What's the rarest books you've got here?" 
64		"Do you stay in the same place, or do you move about?" 
65		"Who created you?" 
66		"Was that your book on the outside?" 
67		"I really did not mean to steal from you." 
68		M-"...What do you want from me?" 
69		"WE ARE THE LIVING LIBRARY. THAT WHICH ROAMS THE WALLS, THE FIELDS, THE FRAYS OF IOMESTRA." 
70		"BUILT UPON WORDS OF ALL. THE WORDS OF THOSE WHO SPIN THE YARN, YET DO NOT THREAD THE STRING." 
71		Hm. It speaks through a filter. As if it is translating its words directly from an ancient tongue. 
72		"What the fuck are you talking about?" 
73		"That's very interesting. What else can you tell me?" 
74		"<i>Iomestra?</i>" 
75		"TRUTH." 
76		"EVERYTHING. AND NOTHING." 
77		"THE LOCAL APPRENTICE. THE ONE WHO MELDED WITH THE STONE." 
78		One of the eight... how fascinating. Does that mean the Askan-apprentice is stuck in the foundation of Norvik? 
79		Such clear and effective communication. 
80		This esoteric being is instructed to speak only what it knows to be true. 
81		Perhaps it knows only what the books around it knows? 
82		Something akin to that would be logical. 
83		"WE ARE ONE. WITH THE STRING." 
