idx	prefix	english
0		You reach for the mace. 
1		It is cold. 
2		Colder than iron permits. 
3		The metal feels... <i>wrong</i>. 
4		"Got yourself a nice weapon, eh?" 
5		(Grip it, hard.) 
6		As your gloved hand wraps around the handle, a chill runs up your arm. 
7		Not just cold. 
8		Something else. 
9		A presence. 
10		Wait. 
11		There's someone- 
12		Watch out! 
13		(Turn around.) 
14		Nothing. 
15		Just the empty crypt. 
16		But... 
17		You saw something. 
18		In the corner of your eye. 
19		A figure. 
20		Watching. 
21		"You good?" 
22		The goblin looks concerned. 
23		(Just look at the mace again.) 
24		"See what?" 
25		He glances around the crypt. 
26		"There's nothing here but dust and bones." 
27		"What?" 
28		The goblin readies his sling. 
29		"Where?" 
30		"Cleric?" 
31		You look down at the mace. 
32		It's ornate. Well-crafted. 
33		Yet... 
34		Your body seems to FAIL when you hold it. 
35		Something is very, very wrong with it. 
36		What, is it cursed? Did I just get cursed? 
37		No, it's- 
38		There. Again. 
39		Shit, look out! 
40		The figure. 
41		In the periphery. 
42		(Spin around.) 
43		Gone. 
44		But you know it was there. 
45		You <i>felt</i> it. 
46		This mace is haunted. 
47		Cursed, perhaps. 
48		Or simply... occupied. 
49		(Try to put it away.) 
50		He stares at the mace. 
51		"You sure?" 
52		"I'm sure." 
53		"Great. Haunted weapons." 
54		"Just what we needed." 
55		"Well, yeah." 
56		He gestures around the crypt. 
57		"Decent theory." 
58		"No, I mean... they're still here." 
59		The goblin goes quiet. 
60		"Oh." 
61		"That's worse." 
62		You move to secure it on your back. 
63		The presence... fades. 
64		Slightly. 
65		It's still there. 
66		But weaker. 
67		As long as you're not wielding it. 
68		Damn this. 
69		You find this lovely weapon- ready to take on the city's foulness. 
70		And you simply CANNOT wield it. 
71		The horror - like some un-fleshy ghast come to haunt you - is too great. 
72		Keep it sealed. 
73		Keep it close. 
74		The SPIRIT watches. 
75		(Gulp.) 
