idx	prefix	english
0		You squat down in front of a dusty chest. 
1		There does not seem to be any padlock or locking mechanism on it. You should be able to open it easily. 
2		"Right. So that's a mimic." 
3		(Glance at the sign above it.) 
4		So the chest is a mimic, right? 
5		What should I do? 
6		Let's just... walk away. 
7		"The sign, mostly." 
8		"I actually learned to read when I was a wee lad." 
9		"That's highly impressive." 
10		"Don't all you goblins learn to read?" 
11		"Are you making fun of me, Snell?" 
12		"I know. I'm a special goblin." 
13		"No." 
14		"No. Why?" 
15		He is. 
16		His stale face indicates truth. 
17		"Uh. Well... that's good then. That you can read, I mean." 
18		"I just... figured reading was a thing goblins could do." 
19		"You're joking. I can tell." 
20		"Oh, you can?" 
21		"Yes. I am a master at reading people." 
22		"Very funny." 
23		"Mm. A genius of our time." 
24		"Right?" 
25		He blows some air out his nose. 
26		You sense an Arcane Dump Truck of sarcasm. 
27		He crosses his arms and nods. 
28		"I'm the only one that went to school actually." 
29		"The only goblin? In the entire world?" 
30		"Holy shit." 
31		(Stare at him.) 
32		"The one and only." 
33		"Normally, goblins just aren't smart enough to handle amazing human writing. So the scholars were shocked when they saw my abilities." 
34		"We had philosophers and prophets lining up to see me in action, in the school bench." 
35		"They actually built an entire academy just for me. Then they tore it down after I graduated." 
36		"Is this tale really true?" 
37		"That's incredible. Did you get good grades?" 
38		"Yes." 
39		He stares at you blankly. 
40		The face of a goblin who speaks the truth. 
41		He's enjoying himself. 
42		"Eh." He shrugs. "Middling." 
43		"As expected from a goblin." 
44		"You should have tried harder." 
45		"Okay, I'm not sure I believe you." 
46		"Obviously." 
47		He sighs. 
48		"Guess I just couldn't escape my goblin heritage." 
49		"That's fair, actually." 
50		"Good, even." 
51		"Now, to get back to the point." 
52		"While the sign obviously indicates that this is indeed a mimic, I have a feeling there might be some other esoteric bullshit going on." 
53		"I've heard of <i>weird things</i> happening when the tunnels shift." 
54		"So there isn't like a crew of people going around putting up signs warning about potential mimic chests?" 
55		"So... what do you think I should do?" 
56		"So... I should touch the chest?" 
57		"So... I should not touch the chest?" 
58		"Damn it, Snell, I don't know what to do!" 
59		He blinks twice. 
60		The poor goblin has trouble evaluating your insane question. 
61		It is a reasonable question, considering this mad city. 
62		"I wouldn't entirely dismiss the idea." 
63		"But I'm leaning towards a no." 
64		The goblin shrugs. 
65		"Eh." 
66		"I don't feel like you'd get eaten." 
67		"But you might get eaten." 
68		"I'm not sure what good it'd do if you did." 
69		"Unless you think there's a secret in that chest that leads to the uncovering of why the tea shop exploded." 
70		"You're the esoteric expert, aren't you?" 
71		"Just... I don't know. Go with the flow." 
72		"There's always the option to just walk away." 
73		The goblin knows how to survive down here. 
74		Lock picking a chest is fun, but... 
75		That's only if it is a chest. If. 
76		It says, <i>NOT A MIMIC</i>. 
77		Yeah. Sure. 
78		Whatever you say, <i>sign</i>. 
79		Great! Open the chest. 
80		Mimics are difficult to spot, even at close range. 
81		Be wary. 
82		Just looking at it, you don't notice anything bad. 
83		The odds speak for it. All the common signifiers are here. Mimics are known to love the chest-shape. 
84		Relatable. 
85		What? 
86		No, it- it was a joke. 
87		Be serious. This is a tense situation. 
88		Come on. You can't just throw out a term like 'chest-shape' and not expect a comment. 
89		That is simply the scientific term for the mimic's most common shape. 
90		There is nothing funny about it. 
91		Touching the chest will surely end poorly. So not that? 
92		Open it. Right away! 
93		Simply smash the crate. The mimic must be destroyed. 
94		Perhaps poke it, from a distance. 
95		With Mage Hand, preferably. 
96		Mimics cannot be reasoned with. So perhaps avoiding the chest entirely might be a suitable option. 
97		You do notice something interesting about the sign. 
98		Something... something is behind the sign. 
99		(Place a hand on the chest. Just a quick tap.) 
100		(Kick the chest.) 
101		With a shaking hand you move closer to the surface. 
102		Breathing intensifies. 
103		Your hand touches it. 
104		Your glove scratches upon the rough texture. 
105		But nothing else. You move away your hand. 
106		"Well then." 
107		You know what this means...? 
108		TREASURE TIME! 
109		DIE, MONSTER! 
110		Your foot impacts on the hard surface. 
111		It's heavy. So heavy your foot almost cracks. 
112		Bone density: damaged. 
113		Hm. This is disappointing. 
114		So it's just a normal chest? 
115		(Groan, and step back.) 
116		You rub your poor foot. 
117		"Alright. Good technique." 
118		The floating arcane hand appears out of nowhere and floats towards the chest. 
119		It lands upon the surface. Tapping it. Scratching it. 
120		The chest does not react. 
121		The hand pops out of existence. 
122		Yes you can. 
123		There does not appear to be any immediate threat. 
124		This is strange. Something is off. 
125		(Flip the hatch.) 
126		You kneel in front of the chest and unlock it. There is no other mechanism keeping it locked. 
127		So you can just open it? Alright! 
128		"What an anti-climax." 
129		E-Let's see what we get...! 
130		OH, come on... 
131		Yeah. Might be for the best. For once. 
132		And leave perfectly fine chest alone? 
133		E-Hm. 
