idx	prefix	english
0		"Halt, human." 
1		A hairy beast, towering over you. Its face contorted into a stern (and probably permanent) frown. 
2		"Do not pass further." 
3		This is a bugbear. 
4		They are most common in the west, living in the rough lands between Fordnip and the VK. 
5		This <i>woman</i> does not hold power over you. 
6		Do not let her stand in your way. 
7		Yes. This is clearly a female. A <i>real</i> one, capable of terror beyond your sight and sound. 
8	DC12 str-	"Hello, <i>woman</i>." 
9		"I don't like your tone." 
10		"How do you do?" 
11		"Why are you standing down here?" 
12		"Are you some type of dungeon monster?" 
13		She snorts at you. 
14		"I don't like your tone, <i>man-thing</i>." 
15		"Huh. I was just about to say the same thing. Without the 'man-thing' comment. That's kind of interesting." 
16		(Clear your throat.) "You doing good down here?" 
17		"What?" 
18		"What are you babbling about?" 
19		"...I'm not sure." 
20		She glares at you. 
21		"What were we talking about?" 
22		"You are not allowed to pass! Back away." 
23		"Doing good?" 
24		"I don't like you." 
25		"Now, back off!" 
26		She gives you a perplexed look, and gestures in several directions. 
27		"I'm working! Go away." 
28		She scoffs. "Yes. Now <b>back off</b> before I smash your face in." 
29		"I, <b>Moongore of the Rigid and the HWBT</b>, demands it." 
30		The bugbear places a hand on its weapon. 
31		A morning star. Beware. 
32		A morning star. Is it for you? 
33		Morning star? No, that is clearly just a spiked mace. 
34		I believe the term is '<i>flanged</i> mace'. 
35		Wait, which one has the ball-on-a-chain, and which one has the ball-on-a-stick? 
36		A CLUB. 
37		Keep it simple. 
38		She will not use it. 
39		She sure keeps her hand on it. 
40		"<i>Human</i>." 
41		"Watch yourself. This is Halfways territory." 
42		She notices Snell with you, and gives him a nod. 
43		"Runner." 
44		"Hey, Moongore. Things going well?" 
45		"They are going." 
46		She nods in your direction. "This is your cleric?" 
47		"Seems so, yeah." 
48		"I thought he'd be taller," she says with a scoff. 
49		"Where is your Runner?" 
50		"You should not delve into the City Below alone. You will be destroyed." 
51		(Bow.) "I am The Cleric. Nice to meet you." 
52		Snell looks at you like you're crazy. 
53		"Huh. I was just about to say the same thing. Except the 'man-thing' comment. That's kind of interesting." 
54		"And I don't like you." 
55		"I do not believe you, nor your weak frame." 
56		"You should get your goblin." 
57		"Moongore keeps the Roots safe." 
58		"She's our <i>champion of the depths</i>." 
59		She grunts. "No monster will ascend. Not while I <b>draw breath</b>." 
60		"...Serious as always. Good to see." 
61		She snorts. "I am Moongore of the Rigid. Servant of Lady Sageleaf." 
62		The bugbear places a hand on her weapon. 
63		"Do not cause trouble." 
64		Wait, which one is the ball-on-a-chain, and which one is the ball-on-a-stick? 
65		Keeping it simple. Great. 
66		"<i>You</i>. Helmed man-kind." 
67		"You're not getting past, helmed man-thing." 
68		"No need for that. Since I have no need to pass." 
69		"...Are you sure you can't let me pass?" 
70		"Whom do you serve?" 
71		"Can I ask you some quick questions?" 
72		"Can I ask some more... <i>personal</i> questions?" (Attempt to flirt.) 
73		E-"Okay. Bye." 
74		"Good." 
75		"Yes." 
76		She grunts. "I do not recommend it." 
77		"There are devilish traps set up along these halls." 
78		"And do not enter the crypts. There is an undead guardian." 
79		"An undead? But that's the kind of stuff I take care of!" 
80		"You? No. I do not believe you can take on an undead warrior by yourself." 
81		"...You did?" 
82		"Well." She looks you up and down. 
83		"I am impressed. Less for us to worry about." 
84		YES...! 
85		"Impressed enough to let me pass?" 
86		"No." 
87		"Darn." 
88		She snorts. "I work for the Halfways. I serve Lady Sageleaf." 
89		"So I need to ask her for permission if I want to pass?" 
90		"I work for the Halfways as well." 
91		She squints, and thinks for a few seconds. 
92		"Yes. If she gives you permission, I will let you pass. But I do not think-" 
93		She stops mid-sentence. 
94		"No you do not. I-" 
95		She stops mid-sentence, and squints at you. 
96		"Are you a cleric?" 
97		"I am <b>The</b> Cleric, yes." 
98		"More of a wizard, really. But sure." 
99		"I like to see myself as a dashing rogue, personally." 
100		"Why?" 
101		"I don't know the difference. I don't care, frankly." 
102		A simpleton. How sad. 
103		"A dashing...? No. You are clearly a cleric." 
104		So dismissive. 
105		"Hm. A magic music thing?" 
106		"I'm working on both of those." 
107		"Huh." 
108		She scoffs. 
109		"Hm." 
110		"I heard a cleric was sent. Because of the explosion." 
