idx	french
0	Devant toi se dresse une porte de fer.
1	En son centre, une étoile à cinq branches a été gravée profondément dans le métal.
2	Une énergie ésotérique émane de la surface.
3	Cette porte est scellée par une magie puissante.
4	Un faible bourdonnement vibre à travers le fer.
5	« Voilà une porte bien sophistiquée. »
6	Le symbole d'étoile... il est connecté à quelque chose.
7	C'est un travail de magicien. Arcanique et délibéré.
8	(Toucher la porte.)
9	(Examiner le symbole d'étoile.)
10	Bon, alors...
11	Ta main gantée rencontre le fer froid.
12	Une ondulation d'énergie translucide pulse sur la surface.
13	Elle est verrouillée. Magiquement.
14	<i>Verrou Magique</i>, tout comme au salon de thé.
15	Mais celui-ci paraît... plus fort.
16	Plus personnel.
17	Tu te penches pour inspecter l'étoile gravée.
18	Cinq branches. Parfaitement symétrique.
19	Cinq ?
20	Évidemment.
21	Quatre branches. Parfaitement symétrique.
22	L'œuvre d'un maître artisan. Ou d'un magicien.
23	Probablement les deux.
24	Chaque branche de l'étoile luit faiblement d'une magie résiduelle.
25	« À propos de ta sophistiquée <i>porte-de-donjon-mystérieuse</i> ? »
26	Il croise les bras et la fixe.
27	« Pas vraiment mon domaine d'expertise, Clerc. »
28	« Mais je parierais qu'il te faut une sorte de mot de passe. Ou un sort. »
29	« Ou, tu sais... »
30	Il mime de briser quelque chose de ses poings.
31	Subtil. Très subtil.
32	Mais ce qu'il veut dire ici, c'est la violence.
33	Mais ouais. Ça pourrait marcher.
34	Fracasse-la.
35	Ou peut-être, réfléchis un peu.
36	Manifestement, il devrait y avoir un moyen d'entrer.
37	Tu t'approches de nouveau de la porte de fer au symbole d'étoile.
38	« Toujours verrouillée, je présume ? »
39	(Essayer la poignée de la porte.)
40	(Chercher un trou de serrure.)
41	Quel genre de magie scelle ça ?
42	Analyser la mécanique magique de la porte.
43	Fracasser la porte de fer.
44	(Presser ton oreille contre la porte.)
45	Je devrais demander à la porte de me laisser entrer.
46	Hm. Tant pis. Peut-être plus tard.
47	Tu attrapes la poignée et tires.
48	Rien. Elle ne bronche pas.
49	Pas même légèrement.
50	Il te faudrait une puissance incroyable pour briser ce sceau.
51	FAIS. LE. TRAVAIL.
52	Non. La porte est complètement scellée.
53	« Hm. Dommage. »
54	Tu fouilles attentivement la surface de la porte.
55	Pas de trou de serrure. Aucun mécanisme de verrouillage visible.
56	Cette porte ne s'ouvre pas avec une clé.
57	C'est purement magique.
58	Un Verrou Magique, sans aucun doute.
59	Un truc puissant. De plus haut niveau que la plupart des sceaux que tu as rencontrés.
