idx	prefix	english
0		You approach the firmly shut doors. 
1		They appear to... not be open. 
2		The legendary, horrifying OWD. 
3		These are all over any proper dungeon. 
4		As it should be. 
5		Dungeon? 
6		Legendary? 
7		Horrifying? 
8		Should be? 
9		OWD? 
10		Have you looked around? 
11		Truly. 
12		Yeah. 
13		In a figurative sense. Logistically, maybe. 
14		SHOULD be. 
15		The one and only... 
16		ONE - WAY - DOOR. 
17		They keep popping up all over the place, underneath Norvik. 
18		Sometimes upstairs too. But that's rarer. 
19		So I'll need to find the other side in order to open it? 
20		That's the logic here, yes. 
21		"I hate these things." 
22		"OWDs sprouting like weeds across the dungeon. Terrible. Horrifying even." 
23		"Dungeon?" 
24		Sprouting? 
25		"Horrifying?" 
26		"Hate?" 
27		"OWD?" 
28		"Have you looked around?" 
29		"In a figurative sense. I think?" 
30		"Yeah." 
31		"In a logical sense at the very least." 
32		"Exaggeration?" 
33		"No thank you." 
34		"I don't want you exing my ancient anything, goblin." 
35		"What?" 
36		What? 
37		WHAT? 
38		Snell gives you the kind of look a grandmother would give her least favorite grandchild right after he's questioned the morality of stealing. 
39		"Nevermind." 
40		"One Way Door." 
41		He taps the wooden surface. 
42		"Completely impervious to damage and force. Unopenable, via whatever esoteric bullshit keeps this place afloat." 
43		"Unless you stand on the other side of it. At which point it opens like the door of a friend on Robelight Night." 
44		"So I'll need to find the other side in order to open it?" 
45		"That's the logic here, yes." 
46		E-Right. Well, I'll have to keep an eye out. 
