idx	french
0	Tu t'approches des portes fermement closes.
1	Elles semblent... ne pas être ouvertes.
2	La légendaire, horrifiante PSU.
3	Il y en a partout dans tout donjon digne de ce nom.
4	Comme il se doit.
5	Un donjon ?
6	Légendaire ?
7	Horrifiante ?
8	Il se doit ?
9	Une PSU ?
10	Tu as regardé autour de toi ?
11	Vraiment.
12	Ouais.
13	Au sens figuré. Logistiquement, peut-être.
14	Il SE DOIT.
15	L'unique et seule...
16	PORTE - À SENS - UNIQUE.
17	Elles n'arrêtent pas de surgir un peu partout, sous Norvik.
18	Parfois à l'étage aussi. Mais c'est plus rare.
19	Alors je vais devoir trouver l'autre côté pour l'ouvrir ?
20	C'est la logique ici, oui.
21	« Je déteste ces trucs. »
22	« Des PSU qui poussent comme du chiendent à travers le donjon. Terrible. Horrifiant, même. »
23	« Un donjon ? »
24	Qui poussent ?
25	« Horrifiant ? »
26	« Détester ? »
27	« Une PSU ? »
28	« Tu as regardé autour de toi ? »
29	« Au sens figuré. Je crois ? »
30	« Ouais. »
31	« Au sens logique à tout le moins. »
32	« Une exagération ? »
33	« Non merci. »
34	« Je veux pas que tu "exes" quoi que ce soit d'ancien chez moi, gobelin. »
35	« Quoi ? »
36	Quoi ?
37	QUOI ?
38	Snell t'adresse le genre de regard qu'une grand-mère lancerait à son petit-fils préféré juste après qu'il a questionné la moralité du vol.
39	« Laisse tomber. »
40	« Porte à Sens Unique. »
41	Il tapote la surface de bois.
42	« Complètement imperméable aux dégâts et à la force. Impossible à ouvrir, via peu importe la connerie ésotérique qui maintient ce lieu à flot. »
43	« À moins de te tenir de l'autre côté. Auquel cas elle s'ouvre comme la porte d'un ami la Nuit de Robelight. »
44	« Alors je vais devoir trouver l'autre côté pour l'ouvrir ? »
45	« C'est la logique ici, oui. »
46	C'est ça. Enfin, il va falloir que j'ouvre l'œil.
