idx	prefix	english
0		A figure stands before you, frozen in stone. 
1		Completely petrified. 
2		Their arms are raised defensively, hands covering their face. 
3		A posture of pure terror. 
4		"Basilisk victim." 
5		"Nasty way to go." 
6		(Examine the figure.) 
7		(Look at their robes.) 
8		M-(Look closer at the cloak.) 
9		"We don't make the rules, Cleric. The Old Lady would love to clean these up, but there are laws against it." 
10		"This is designated as a dungeon area. Not as in, the jail-type-dungeon, but as in dangerous-monster-territory." 
11		"So if we find petrified victims, no matter how old, we're not allowed to even touch them. Only clerics can do that." 
12		"Ah. And we don't have clerics with spells powerful enough to reverse basilisk victims." 
13		"That seems to be the case, eh?" 
14		"Anyway. Try not to break this poor sod." 
15		The details are perfectly preserved in stone. 
16		Every fold of fabric. Every strand of hair. 
17		Petrification captures everything in the moment of death. 
18		Basilisk. 
19		One look from those serpentine eyes turns flesh to stone. 
20		They nest in ancient ruins sometimes. 
21		This one might still be around. Be careful. 
22		Ornate robes with arcane embroidery. 
23		A wizard. 
24		The style is old. Decades, maybe longer. 
25		From the Arcane Era, by the look of it. 
26		From the Divine Era, by the look of it. 
27		Interesting. 
28		There is a rectangular shape pressed against their chest. 
29		A book. Clutched beneath the robes. 
30		It has been turned to stone along with its wielder. 
31		(Try to see the book more clearly.) 
32		You peer between the stone folds of fabric. 
33		One page is partially visible. 
34		The text upon it is still somewhat legible. 
35		Stone does not completely obscure ink - if the pressure was hard enough. 
36		(Lean in.) 
37		The handwriting is cramped. A wizard's notes. 
38		Most of the page is obscured by the angle and the stone. 
39		But one phrase stands out clearly. 
40		Written in bold lettering at the top. 
41		(Read it.) 
42		"<i>Master Hagginshags, I will learn.</i>" 
43		A formal phrase. Like a student's oath. 
44		Or a <i>passphrase</i>. 
45		Hagginshags. 
46		That is the name of one of the greatest Houses of Arcanists in Old Diminor. 
47		You commit it to memory. 
48		E-Somewhat interesting, I suppose. 
