idx	french
0	Une silhouette se dresse devant toi, figée dans la pierre.
1	Complètement pétrifiée.
2	Ses bras sont levés en défense, ses mains couvrant son visage.
3	Une posture de pure terreur.
4	« Victime de basilic. »
5	« Sale façon de partir. »
6	(Examiner la silhouette.)
7	(Regarder sa robe.)
8	(Regarder de plus près la cape.)
9	« On ne fait pas les règles, Clerc. La Vieille Dame adorerait faire le ménage là-dedans, mais il y a des lois contre ça. »
10	« C'est désigné comme zone de donjon. Pas au sens de la prison-cachot, mais au sens de territoire-de-monstre-dangereux. »
11	« Alors si on trouve des victimes pétrifiées, quel que soit leur âge, on n'a même pas le droit d'y toucher. Seuls les clercs peuvent faire ça. »
12	« Ah. Et on n'a pas de clercs aux sorts assez puissants pour inverser les victimes de basilic. »
13	« On dirait bien que c'est le cas, hein ? »
14	« Bref. Essaie de ne pas casser ce pauvre bougre. »
15	Les détails sont parfaitement préservés dans la pierre.
16	Chaque pli de tissu. Chaque mèche de cheveux.
17	La pétrification capture tout dans l'instant de la mort.
18	Un basilic.
19	Un seul regard de ces yeux serpentins change la chair en pierre.
20	Ils nichent parfois dans d'anciennes ruines.
21	Celui-ci est peut-être encore dans les parages. Sois prudent.
22	Une robe ornementée avec une broderie arcanique.
23	Un magicien.
24	Le style est ancien. Des décennies, peut-être davantage.
25	De l'Ère Arcanique, à en juger par l'allure.
26	De l'Ère Divine, à en juger par l'allure.
27	Intéressant.
28	Il y a une forme rectangulaire pressée contre sa poitrine.
29	Un livre. Serré sous la robe.
30	Il a été changé en pierre en même temps que son porteur.
31	(Essayer de voir le livre plus clairement.)
32	Tu scrutes entre les plis de pierre du tissu.
33	Une page est partiellement visible.
34	Le texte dessus est encore quelque peu lisible.
35	La pierre n'obscurcit pas complètement l'encre - si la pression fut assez forte.
36	(Se pencher.)
37	L'écriture est serrée. Des notes de magicien.
38	La majeure partie de la page est masquée par l'angle et la pierre.
39	Mais une phrase se détache clairement.
40	Écrite en lettres grasses en haut.
41	(La lire.)
42	« <i>Maître Hagginshags, j'apprendrai.</i> »
43	Une phrase formelle. Comme le serment d'un élève.
44	Ou un <i>mot de passe</i>.
45	Hagginshags.
46	C'est le nom de l'une des plus grandes Maisons d'Arcanistes du Vieux Diminor.
47	Tu le graves dans ta mémoire.
48	Plutôt intéressant, je suppose.
