idx	prefix	english
0		You step up on the rock. Around you lies the vast chamber of root and stone - of dwarf and Primal forces pressing up against one another. 
1		One part struggle, one part harmonic symbiosis. 
2		This is the vessel in which the great brachen tree of Tolstad is nurtured. 
3		This well? Its beating heart. 
4		You have sought enough solace in the path of the druid. 
5		This - this is where you may learn to wield the might of HEART. 
6		Also- you can absolutely make some NOISE in here. 
7		Try it! 
8		Don't make this about yourself. 
9		A rock like this is a keystone in a <i>community</i>. Not a tool of the individual. 
10		It's a platform. A <i>scene</i>. 
11		Scenes are made for bringing attention to those who deserve it. 
12		I.e. <i>you</i>. 
13		(Yell.) "I AM THE LORD OF THIS <shake>DWARF FORTRESS</shake>!" 
14		(Step down from the rock.) 
15		Your voice echoes out among the tangled roots. 
16		No response. From anything or anyone. 
17		"...What are you <i>doing</i>?" 
18		"You do one little druid-thing and now you feel like you own the place?" 
19		Since no one of importance heard you, you can make any statements you want. 
20		It literally doesn't matter. 
21		"Seems a bit imperialist and/or colonialist, if you ask me." 
22		"Yes? And?" 
23		"Oh no. I didn't realize. I apologize, as an Azgalist I would never endorse any imp- and/or colon-ialist related statements." 
24		"No, I was more going for a generic, power-affirming apolitical statement." 
25	DC17 con-	"I didn't mean to- I didn't- I'm just- I'm just a farm boy. I'm voting for the Agrarians even if they don't exist. I swear I'll do it. I'll fucking do it." 
26		"Freestrider." 
27		He groans. 
28		"Go on." 
29		"The state requires a certain form of control over its neighbors and foreign powers in order to advance its own agenda. We must wield power in such a way, for the simple goal to secure our own sovereignty, even at the expense of others'." 
30	DC11 int-	"As ultimate god-king-wizard-Arcanist, I will enact complete domination upon the Coast. That, by its own nature, is sort of imperialist and colonialist I think." 
31		"...Uh. I take it back. Actually, I meant..." (Change course.) 
32		"So, your own people's security over the freedom for anyone else?" 
33		"You get it." 
34		"You think?" 
35		"I think." 
36		"I think?" 
37		"I think!" 
38		"I think, therefore I am correct." 
39		"Yeah?" 
40		He clicks his tongue. 
41		"Something about you standing up on that rock, sermonizing fascist talking points, almost makes me understand Arcane Era populism." 
42		"Or at the very least, it seems to give me some type of intra-generational flashback." 
43		"That sounds esoteric." 
44		"That sounds like mental illness." 
45		"So you don't support my campaign?" 
46		"What isn't, these days?" 
47		"Then you know how I feel." 
48		"...I think I'll skip." 
49		"I'd say your job makes that difficult." 
50		"Due to the power structures I work in, I assume?" 
51		"Due to my position as the wielder of the violence of the state?" 
52		"Due entirely to my manhood - the very pressure-cooked focus-point of evil itself - as I carry it into the world?" 
53		"Due to everything that I am in my job. A man, a soldier, a political figure, an oppressive spellcaster, and worst of all: a living human being in a world where humans have destroyed so much that our folk-wide sin determines my fate before I'm even born?" 
54		"I mean..." 
55		"Yeah, that's-" 
56		"I don't think that-" 
57		"Sure, let's go with that." 
58		"I don't think you really hit your target." 
59		"Everyone's a critic." 
60		"Disagree to disagree." 
61		"<i>The secret to complete confidence is an unadulterated and insane level of self-forgiveness</i>. I read that in a book once." (Smirk.) 
62		"Whoa! Okay, seriously- calm down, cowboy." 
63		"Just... careful. Don't slip off the rock. We don't want you drowning in a puddle." 
64		"What?" 
65		"As a Freestrider, I don't like colonialism either. I want people to be free to choose their own path." 
66		"What? Nevermind. I actually meant, uh..." 
67		"Did you just <i>say</i> Freestrider?" 
68		"No. You are mistaken." 
69		"Yes. I wanted to make my stance clear before I made my point." 
70		"<i>Uh</i>...?" 
71		The goblin looks around the pool, his face carrying an expression that's about to melt off his cheeks. 
72		"Why am I standing here? What am I doing with my life?" 
73		"Can we go? Please?" 
74		(Lower your hands.) "Okay." 
75		"Thank you." 
76		Your echo fades out among the roots. 
77		You feel the rock beneath your feet. 
78		The stone. The roots. The water. All connected. The Primal forces of this place. They pulse. Like a heartbeat. You reach out with your mind. Not as a cleric. Not as a servant of Urth. 
79		But as something... older. 
80		(Grab a Primal String.) 
81		The tree above. The roots below. The dwarven stonework. The natural growth. All woven together in harmony. 
82		They respond. 
83		WARMTH. 
84		Life. Pure. Unfiltered. 
85		Every scratch, cleansed. 
86		Your body, STRENGTHENED. 
87		"Whoa." 
88		The spell settles into your mind. 
89		<i>Aura of Vitality</i>. 
90		A gift from the Well. 
91		"Thanks for the healing." 
92		"I feel great!" 
93		On the meditating druid in the pool you see a faint smirk. 
94		"<i>Hehehe</i>..." 
