idx	prefix	english
0		The door closes behind you. 
1		Your companion lets out an audible gulp. 
2		"<i>...Grdzeldeba...</i>" 
3		"<i>...brdzola sheni... patiosani sulistvis...</i>" 
4		"Bad room! Bad room! Old trial-chamber!" 
5		"...Sorry?" 
6		(Face the light with a straight back.) 
7		"Sorry! Meek is sorry, Meek did not think master would step into scary bright room..." 
8		"I- It's-" 
9		His face grows red from anger. Or the lighting. 
10		"<shake>You're</shake> the cleric here!" 
11		The words change tone and intensify - mimicking your own way of speech. 
12		"YOU HAVE STEPPED INTO THE FIFTH CHAMBER OF TRIALS." 
13		"TWO HAVE STEPPED INTO THE FIFTH CHAMBER OF TRIALS." 
14		"THIS WILL BE YOUR FINAL AND MOST MOUNTING CHALLENGE YET, OH CHAMPIONS OF THE HOST." 
15		"IF OUTSIDE AGAIN YOU WISH TO SEE - ANSWER ME THESE QUESTIONS THREE - THE ANSWER OF WHICH I SHALL JUDGE FAIRLY UPON THINE SOUL." 
16		"WHO WILL TAKE THE FIRST STEP?" 
17		You will. 
18		You entered this mess- now you will handle it. 
19		Damn it. Why'd you have to pick the scary red-light-cow-room...? 
20		You must take the first step to answer three questions to finish the fifth trial... 
21		What a conundruming riddle. 
22		"What happens if I say the wrong answer?" 
23		"Ask me your questions, guardian, I am not afraid." 
24		"I take the first step!" 
25		(Raise a hand.) "Me?" 
26		(Remain silent and stare meekly at the statue.) 
27		"YOU WILL BE CAST INTO ETERNAL PERIL." 
28		"Do I have to answer all five questions correctly?" 
29		"Three questions." 
30		"Three questions!" 
31		"THREE QUESTIONS." 
32		"Three, okay, I got it. Do I have to answer all three questions correctly?" 
33		"ANSWER ME QUESTIONS THREE - THE ANSWER OF WHICH I SHALL JUDGE FAIRLY UPON THINE SOUL." 
34		"Wait, are you a sentient type of trial-guardian, or are you more of the... <i>Magic Mouth</i> type?" 
35		Either it is a non-sentient statue, or it is a statue with a pre-cast Magic Mouth, yes. 
36		That is obviously the case. 
37		The statue obviously has a Magic Mouth spell cast on it. It is programmed to react to certain types of inquiries, in the speaker's original tongue. 
38		Do not think about it too much. Answering the questions in a straight manner will do just fine with this barbaric setup. 
39		"THE OTHER WILL NOT INTERFERE, OR THE TRIAL IS FAILED." 
40		"THE OTHER WILL HAVE A TURN OF THEIR OWN." 
41		"So really it's six questions?" 
42		"Times two?" 
43		"<b>THREE QUESTIONS</b>." 
44		"Six questions, got it. You go ahead, Cleric." 
45		After a few seconds the voice continues, "THE CHOSEN WILL BE... YOU." 
46		"What? No." 
47		"You're the cleric here! Deal with your magic talking statue- and do NOT get us killed." 
48		The light lands upon <i>you</i>. 
49		"FIRST QUESTION." 
50		Get ready... 
51		Whatever is thrown your way- you will know the answer. 
52		"WHAT... IS <b>YOUR NAME</b>?" 
53		Whoa. Deja vu. 
54		Not this again. 
55		"Sorry, what?" 
56		"My name is..." 
57		"THE QUESTION WILL NOT BE REPEATED." 
58		The goblin thinks about it for a second. Then he whispers back: 
59		"I don't think bovinefolk are known for either trick questions or riddles, so..." 
60		The light intensifies. 
61		Say Ragn. 
62		But what if that is not the answer? 
63		"...Ragn." 
64		Wouldn't it be funny if I said something completely unexpected here, and it turned out to be the correct answer? 
65		No. 
66		Simply <b>state your name</b>. 
67		"My name is Ragn." 
68		The light blinds you for a moment, and you feel the chamber shake. 
69		"WHAT IS YOUR <b>QUEST</b>?" 
70		"To solve the mystery of the Tea Shop that Blew Up." 
71		Again the eyes of the cow glare into a fiery beam. 
72		"WHAT IS YOUR <b>GREATEST FEAR</b>?" 
73		"To be abandoned." 
74		That is true. Now answer. 
75		For a third time you feel that rumble, along with the hot gaze of the minotaur... 
