idx	french
0	La porte se referme derrière toi.
1	Ton compagnon lâche une déglutition audible.
2	« <i>...Grdzeldeba...</i> »
3	« <i>...brdzola sheni... patiosani sulistvis...</i> »
4	« Mauvaise salle ! Mauvaise salle ! Vieille chambre-d'épreuve ! »
5	« ...Pardon ? »
6	(Faire face à la lumière, le dos droit.)
7	« Désolé ! Meek est désolé, Meek pensait pas que maître entrer dans salle effrayante lumineuse... »
8	« Je- C'est- »
9	Son visage devient rouge de colère. Ou de l'éclairage.
10	« C'est <shake>toi</shake> le clerc ici ! »
11	Les mots changent de ton et s'intensifient - imitant ta propre façon de parler.
12	« TU AS PÉNÉTRÉ DANS LA CINQUIÈME CHAMBRE DES ÉPREUVES. »
13	« DEUX ONT PÉNÉTRÉ DANS LA CINQUIÈME CHAMBRE DES ÉPREUVES. »
14	« CE SERA VOTRE DÉFI ULTIME ET LE PLUS ARDU À CE JOUR, Ô CHAMPIONS DE LA LÉGION. »
15	« SI AU-DEHORS DE NOUVEAU TU SOUHAITES VOIR - RÉPONDS-MOI À CES TROIS QUESTIONS - DONT JE JUGERAI ÉQUITABLEMENT LA RÉPONSE SUR TON ÂME. »
16	« QUI FERA LE PREMIER PAS ? »
17	Toi.
18	Tu es entré dans ce pétrin- maintenant tu vas le gérer.
19	Bon sang. Pourquoi t'as fallu choisir la salle-vache-à-lumière-rouge effrayante...?
20	Tu dois faire le premier pas pour répondre à trois questions afin d'achever la cinquième épreuve...
21	Quelle énigme énigmatiquante.
22	« Que se passe-t-il si je donne la mauvaise réponse ? »
23	« Pose-moi tes questions, gardien, je n'ai pas peur. »
24	« Je fais le premier pas ! »
25	(Lever une main.) « Moi ? »
26	(Rester silencieux et fixer timidement la statue.)
27	« TU SERAS JETÉ DANS UN PÉRIL ÉTERNEL. »
28	« Dois-je répondre correctement aux cinq questions ? »
29	« Trois questions. »
30	« Trois questions ! »
31	« TROIS QUESTIONS. »
32	« Trois, d'accord, j'ai compris. Dois-je répondre correctement aux trois questions ? »
33	« RÉPONDS-MOI À TROIS QUESTIONS - DONT JE JUGERAI ÉQUITABLEMENT LA RÉPONSE SUR TON ÂME. »
34	« Attends, es-tu un genre de gardien-d'épreuve doué de conscience, ou es-tu plutôt du genre... <i>Bouche Magique</i> ? »
35	Soit c'est une statue non consciente, soit c'est une statue avec une Bouche Magique préalablement lancée, oui.
36	C'est manifestement le cas.
37	La statue a manifestement un sort de Bouche Magique lancé dessus. Elle est programmée pour réagir à certains types de demandes, dans la langue d'origine du locuteur.
38	N'y réfléchis pas trop. Répondre aux questions de façon directe fera très bien l'affaire avec cette installation barbare.
39	« L'AUTRE N'INTERFÉRERA PAS, OU L'ÉPREUVE EST ÉCHOUÉE. »
40	« L'AUTRE AURA SON PROPRE TOUR. »
41	« Alors en vrai ça fait six questions ? »
42	« Fois deux ? »
43	« <b>TROIS QUESTIONS</b>. »
44	« Six questions, compris. Vas-y, Clerc. »
45	Après quelques secondes, la voix poursuit : « L'ÉLU SERA... TOI. »
46	« Quoi ? Non. »
47	« C'est toi le clerc ici ! Occupe-toi de ta statue magique parlante- et ne va PAS nous faire tuer. »
48	La lumière se pose sur <i>toi</i>.
49	« PREMIÈRE QUESTION. »
50	Prépare-toi...
51	Quoi qu'on te lance- tu connaîtras la réponse.
52	« QUEL... EST <b>TON NOM</b> ? »
53	Ho là. Déjà-vu.
54	Pas encore ça.
55	« Pardon, quoi ? »
56	« Mon nom est... »
57	« LA QUESTION NE SERA PAS RÉPÉTÉE. »
58	Le gobelin y réfléchit une seconde. Puis il te chuchote en retour :
59	« Je crois pas que le peuple-bovin soit connu pour les questions pièges ou les énigmes, alors... »
60	La lumière s'intensifie.
61	Dis Ragn.
62	Mais et si ce n'était pas la réponse ?
63	« ...Ragn. »
64	Ce serait pas drôle si je disais quelque chose de complètement inattendu ici, et qu'il s'avère que c'est la bonne réponse ?
65	Non.
66	Contente-toi de <b>dire ton nom</b>.
