idx	prefix	english
0		A tall stone mural stands before you. 
1		Whitemane craftsmanship. 
2		Three serpentine figures carved and painted into the surface. 
3		Divine serpents. 
4		Each coiled and intertwined with the others. 
5		(Step closer.) 
6		The colors are faint. But still there- greens, reds, yellows. 
7		The artistry is breathtaking. 
8		Highly detailed, yet brutish. Ancient techniques. 
9		This was made by skilled hands during the Divine Era. 
10		Obviously a Whitemane remnant. 
11		A <wiggle>tingle</wiggle>. 
12		This is connected. The city. The wall. 
13		<i>Listen</i>. 
14		You approach the Whitemane mural once more. 
15		Three serpents frozen in their eternal dance. 
16		(Examine the serpents.) 
17		What's the meaning behind the mural? 
18		(Touch the carvings.) 
19		E-(Leave the mural alone.) 
20		Three distinct figures. 
21		Each with different coloring. 
22		The top serpent has sharp teeth. Predatory. 
23		The middle one appears more serpentine. Elegant. 
24		The bottom one has unusual markings. 
25		They're interconnected. Bound together. 
26		Some kind of divine symbolism. 
27		Basic religious art. Nothing interesting. 
28		Religious art. Inane, really. 
29		The Whitemane believed in divine triads. 
30		Three aspects of power. 
31		Creation. Destruction. Balance. 
32		<i>Body. Mind. Spirit.</i> 
33		Two serpents stretching from a singular point - one creature with many dual faces. 
34		Only in balance between the two, can the soul retain its divinity. 
35		The specific meaning is lost. 
36		But the reverence is clear. 
37		This was a sacred image. 
38		Further down this path there should be an actual temple. Find it. Learn more about these noble creatures. 
39		It is a pointer- a guide towards the temple you visited further down this path. 
40		"The freaky serpent picture?" 
41		He shrugs. 
42		"There's a ton of these all over the place." 
43		"You've either got snail memorabilia or these lion-styled pieces." 
44		"Nothing else?" 
45		"I'd say ninety percent." 
46		"From what I learned in school, it was snails first, then lion, then trolls, then humans." 
47		He smirks. "Then goblins, of course." 
48		"Don't you dare stage a coup." 
49		"Humans will never fail their grasp of this city. Never!" 
50		"You can't stop me." 
51		"Unlike every other creature in known history?" 
52		"Exactly. We're special." 
53		"...Never is a strong word." 
54		The goblin laughs. 
55		"Do what you do. Then let's keep moving. The southern tunnels are always filled with scary shit." 
56		"And we really don't wanna run into that <i>fucking Roper</i> again." 
57		The stone is smooth. Cool. 
58		Worn by time but still detailed. 
59		The Whitemane knew how to work stone. 
60		You tense your body. 
61		The gut, squeezed. 
62		Your ears aligned. 
63	ROLL17 con-	Speak with the wall. 
64		Not now. 
65		You... <i>feel</i>. 
66		You... <i>hear</i>. 
67		But nothing comes through. 
68		A garbled mess of vocality. Its waves too faint. 
69		Come back to this. To the wall. 
70		Then <i>later</i>. 
71		For the wall <i>must</i> be heard. 
72		You sense it. The crack in the wall. 
73		Once more that voice carries through. Faint and hoarse. 
74		"DEEP WITHIN AND WITHOUT." 
75		"Ah. Time for this again. Great." 
76		"IT IS." 
77		"CHANCY." 
78		"Oh. Okay?" 
79		"That's your name?" 
80		"YES." 
81		The voice in the wall is monotone and brittle. 
82		As if it could SNAP at any point. 
83		"Why do I keep talking with you? Do you live in every wall in the city?" 
84		"What are you?" 
85		"Do you have something to tell me?" 
86		"NO." 
87		"NOTHING." 
88		"I remember you saying something like that before. Uh. Anyway." 
89		"Same, to be honest." 
90		(Just stare at the wall.) 
91		No answer. 
92		"Oh. Do you?" 
93		"YES. THERE IS ONE THING TO SAY." 
94		(Wait.) 
95		"What kind of thing?" 
96		"Please tell me what you have to say." (Feel a little annoyed.) 
97		There is no response to your waiting. 
98		"A MESSAGE." 
99		The crack fades. 
100		"YOU MUST GO DEEPER." 
101		"Oh?" 
102		"Deeper than the City Below?" 
103		"That's real deep." 
104		"DEEP." 
105		"ON THE OVERLOOK. WHERE THE BANE OF MY PEOPLE WATCHES OVER THE GREAT FLIP." 
106		"THERE SHE HAS ASKED FOR YOU." 
107		"Where, exactly?" 
108		"Okay. I'll go find Iomestra." (Give the wall a pat.) 
109		"THE ONE WHO BINDS US. OUR FRIEND." 
110		"THE SPECIAL GUEST." 
111		"THE BANE. BELOW." 
112		"That's very vague, you know." 
113		"Alright, good. Just needed to make sure I heard you the first time." 
114		"Sweet. I know exactly where to look." 
115		"BY THE FLIP." 
116		"ON THE OVERLOOK." 
117		"Does this overlook happen to be another wall?" 
118		"So I need to go talk with another wall?" 
119		"You're obviously already proficient at it. So might as well?" 
120		"OKAY." 
121		The crack disappears as quickly and esoterically as it came to. 
122		Then: silence. 
123		"I'm not sure what kind of strange derailment this is, or how it's connected in any way with the tea shop. But..." 
124		"Fuck it, I'm actually intrigued now. Let's see if we can find this lady in the wall." 
125		This is it. You've found yourself a HIDDEN SIDE QUEST. 
126		While slightly distracting, honestly? Let's do it. 
127		Whoever this Iomestra lady is, she'll probably have some pretty nifty secrets down there... 
128		Conversations with walls have never been so productive. 
129		You will uncover great secrets by following this lead. 
130		It has nothing to do with the rest of your mission here, but if you wish to grow your esoteric knowledge this is exactly the path to tread. 
131		E-Time to go find the next wall in this wall-talking quest of mine. 
