idx	french
0	Une grande fresque de pierre se dresse devant toi.
1	Un ouvrage Whitemane.
2	Trois figures serpentines gravées et peintes dans la surface.
3	Des serpents divins.
4	Chacun lové et entrelacé avec les autres.
5	(S'approcher.)
6	Les couleurs sont pâles. Mais encore présentes- verts, rouges, jaunes.
7	L'art en est à couper le souffle.
8	Hautement détaillé, et pourtant brutal. Des techniques anciennes.
9	Ceci fut fait par des mains habiles durant l'Ère Divine.
10	Manifestement un vestige Whitemane.
11	Un <wiggle>picotement</wiggle>.
12	C'est connecté. La cité. Le mur.
13	<i>Écoute</i>.
14	Tu t'approches de nouveau de la fresque Whitemane.
15	Trois serpents figés dans leur danse éternelle.
16	(Examiner les serpents.)
17	Quel est le sens derrière la fresque ?
18	(Toucher les gravures.)
19	(Laisser la fresque tranquille.)
20	Trois figures distinctes.
21	Chacune d'une coloration différente.
22	Le serpent du haut a des dents acérées. Prédateur.
23	Celui du milieu paraît plus serpentin. Élégant.
24	Celui du bas a des marques inhabituelles.
25	Ils sont interconnectés. Liés ensemble.
26	Une forme de symbolisme divin.
27	De l'art religieux basique. Rien d'intéressant.
28	De l'art religieux. Insipide, vraiment.
29	Les Whitemane croyaient aux triades divines.
30	Trois aspects du pouvoir.
31	La création. La destruction. L'équilibre.
32	<i>Le corps. L'esprit. L'âme.</i>
33	Deux serpents s'étirant d'un point unique - une créature aux multiples doubles visages.
34	Ce n'est que dans l'équilibre entre les deux que l'âme peut conserver sa divinité.
35	Le sens précis est perdu.
36	Mais la révérence est claire.
37	C'était une image sacrée.
38	Plus loin sur ce chemin, il devrait y avoir un véritable temple. Trouve-le. Apprends-en davantage sur ces nobles créatures.
39	C'est un indicateur- un guide vers le temple que tu as visité plus loin sur ce chemin.
40	« L'image flippante du serpent ? »
41	Il hausse les épaules.
42	« Il y en a un paquet un peu partout. »
43	« Soit tu as des souvenirs d'escargot, soit ces pièces de style lion. »
44	« Rien d'autre ? »
45	« Je dirais quatre-vingt-dix pour cent. »
46	« D'après ce que j'ai appris à l'école, ce fut d'abord les escargots, puis le lion, puis les trolls, puis les humains. »
47	Il sourit en coin. « Puis les gobelins, bien sûr. »
48	« Ne t'avise pas de fomenter un coup d'État. »
49	« Les humains ne perdront jamais leur emprise sur cette cité. Jamais ! »
50	« Tu ne peux pas m'arrêter. »
51	« Contrairement à toute autre créature de l'histoire connue ? »
52	« Exactement. On est spéciaux. »
53	« ...Jamais est un mot fort. »
54	Le gobelin rit.
55	« Fais ton truc. Puis continuons. Les tunnels du sud sont toujours pleins de merdes effrayantes. »
56	« Et on ne veut vraiment pas retomber sur ce <i>putain de Roper</i>. »
57	La pierre est lisse. Fraîche.
58	Usée par le temps mais encore détaillée.
59	Les Whitemane savaient travailler la pierre.
60	Tu tends ton corps.
61	Le ventre, comprimé.
62	Tes oreilles alignées.
63	Parler avec le mur.
64	Pas maintenant.
65	Tu... <i>ressens</i>.
66	Tu... <i>entends</i>.
67	Mais rien ne passe.
68	Un fatras confus de vocalité. Ses ondes trop faibles.
69	Reviens à ceci. Au mur.
70	Alors <i>plus tard</i>.
71	Car le mur <i>doit</i> être entendu.
72	Tu le perçois. La fissure dans le mur.
73	Une fois encore cette voix passe à travers. Faible et rauque.
74	« PROFOND EN-DEDANS ET AU-DEHORS. »
75	« Ah. C'est reparti pour un tour. Génial. »
76	« C'EST LE CAS. »
77	« CHANCY. »
78	« Oh. D'accord ? »
79	« C'est ton nom ? »
80	« OUI. »
81	La voix dans le mur est monocorde et cassante.
82	Comme si elle pouvait se BRISER à tout moment.
83	« Pourquoi je n'arrête pas de parler avec toi ? Tu vis dans chaque mur de la cité ? »
84	« Qu'es-tu ? »
85	« As-tu quelque chose à me dire ? »
86	« NON. »
87	« RIEN. »
88	« Je me souviens que tu as dit quelque chose comme ça avant. Euh. Bref. »
89	« Pareil, pour être honnête. »
90	(Se contenter de fixer le mur.)
91	Aucune réponse.
92	« Oh. Vraiment ? »
93	« OUI. IL Y A UNE CHOSE À DIRE. »
94	(Attendre.)
95	« Quel genre de chose ? »
96	« Dis-moi ce que tu as à dire, je te prie. » (Se sentir un peu agacé.)
97	Il n'y a aucune réponse à ton attente.
98	« UN MESSAGE. »
99	La fissure s'estompe.
100	« TU DOIS ALLER PLUS PROFOND. »
101	« Oh ? »
102	« Plus profond que la Cité d'En Bas ? »
103	« C'est vraiment profond. »
104	« PROFOND. »
105	« SUR LE BELVÉDÈRE. LÀ OÙ LE FLÉAU DE MON PEUPLE VEILLE SUR LE GRAND RENVERSEMENT. »
106	« LÀ ELLE A DEMANDÉ APRÈS TOI. »
107	« Où, exactement ? »
108	« D'accord. Je vais aller trouver Iomestra. » (Donner une tape au mur.)
109	« CELLE QUI NOUS LIE. NOTRE AMIE. »
110	« L'INVITÉE SPÉCIALE. »
111	« LE FLÉAU. EN BAS. »
112	« C'est très vague, tu sais. »
113	« Bon, bien. J'avais juste besoin de m'assurer de t'avoir bien entendu la première fois. »
114	« Super. Je sais exactement où chercher. »
115	« PRÈS DU RENVERSEMENT. »
116	« SUR LE BELVÉDÈRE. »
117	« Ce belvédère se trouverait-il être un autre mur ? »
118	« Alors je dois aller parler à un autre mur ? »
119	« Tu es déjà manifestement doué pour ça. Alors autant, non ? »
120	« D'ACCORD. »
121	La fissure disparaît aussi vite et ésotériquement qu'elle est venue.
122	Puis : le silence.
123	« Je ne sais pas trop quel étrange déraillement c'est, ni en quoi c'est lié de quelque façon au salon de thé. Mais... »
124	« Au diable ça, je suis vraiment intrigué maintenant. Voyons si on peut trouver cette dame dans le mur. »
125	C'est ça. Tu t'es dégoté une QUÊTE ANNEXE CACHÉE.
126	Un peu distrayant, mais honnêtement ? Faisons-le.
127	Qui que soit cette dénommée Iomestra, elle aura probablement de sacrés secrets bien pratiques là en bas...
128	Les conversations avec les murs n'ont jamais été aussi productives.
129	Tu découvriras de grands secrets en suivant cette piste.
130	Ça n'a rien à voir avec le reste de ta mission ici, mais si tu souhaites accroître ton savoir ésotérique, c'est exactement la voie à fouler.
131	Il est temps d'aller trouver le prochain mur dans cette quête de parlote-aux-murs qui est la mienne.
