idx	prefix	english
0		You approach the wall where Detect Secret revealed something. 
1		There's definitely something here. 
2		The magic doesn't lie. 
3		But you see nothing. 
4		Just stone. 
5		"What're we looking at?" 
6		(Run your hand along the wall.) 
7		(Push against the wall.) 
8		(Examine the wall carefully.) 
9		Your gloved fingers trace the surface. 
10		Smooth stone. Cold. 
11		No seams. No cracks. 
12		But the magical signature is strong. 
13		Something is here. 
14		You press hard against the stone. 
15		It doesn't budge. 
16		Solid. Unyielding. 
17		Not a hidden door that opens by pressure. 
18		"If you say so." 
19		He looks skeptical. 
20		"This is the Roots, you know. Unless the City Below somehow moved the walls right under the Garden, this shouldn't contain anything strange." 
21		"But be my guest." 
22		You search every inch. 
23		Looking for marks. Symbols. Anything. 
24		There. 
25		Very faint. Almost invisible. 
26		A worn carving. 
27		Draconic script. 
28		Too faded to read. 
29		But it's there. 
30		This is a sealed entrance. 
31		It requires something to open. 
32		A phrase, probably. 
33		Like the Arcane Lock at the tea shop. 
34		But older. More powerful. 
35		You approach the wall. 
36		This is it. This is the sealed entrance. The one the cultist wrote about. 
37		You know the phrase now. 
38		Time to test it. 
39		The wall here remains strange. 
40		Just a wall. Unless you know better. 
41		"Still just looks like a wall to me." 
42		"A very pretty wall, mind you." 
43		Can I try to break down this wall? 
44		E-I guess I should look around for more clues. 
45		Obviously. 
46		(Stare at the wall.) 
47		You do that. 
48		<i>Willing</i> it to open. 
49		That will eventually work. Obviously. But you might not have the time. 
50		There must be a passphrase. 
51		Or a key. 
52		Something. You are missing something here. 
53		Nothing. 
54		Worth a try. 
55		No. 
56		It is simply too thick of a slab. 
57		Despite your overgrowing, bulging muscles... 
58		You must find another lead in this case. 
59		Remember: a true man is one who carries a sword - but knows when to keep it sheathed. 
60		"About the wall?" 
61		He shrugs. 
62		"I'm still firmly on team this-is-a-wall." 
63		The Draconic words echo in the chamber. 
64		"<i>Ave, Esuthe. Ignis Litus Verrat.</i>" 
65		For a moment, nothing. 
66		Then the wall begins to shimmer- and then FLASH...! 
67		The stone ripples like water. 
68		And vanishes. 
69		Revealing a dark passage beyond. 
70		"Okay. You've convinced me." 
71		The cultist's seal has been broken. 
72		E-"The Trove of Esuth awaits." 
