idx	prefix	english
0		A sinking feeling appears. 
1		You see it. 
2		Ah. AH! AHH! 
3		It's a damn MONSTER! 
4		"Master...!" 
5		"This is- BEWARE!" 
6		To your right. 
7		Your gut... 
8		It falters... 
9		IT SEES DEATH. 
10		The goblin jolts to the side. 
11		"Cleric, there's-" 
12		Huh? 
13		"BIG- BIG <shake>MONSTER</shake>!" 
14		You're ready. 
15		Bastard. Won't catch you off guard this time! 
16		The goblin gives you a nod, and readies his weapon. 
17	IROLL-	Roll initiative. 
18		One of the stalagmites has sprouted a particularly nasty-looking <i>maw</i>. 
19		It was hidden well. But... 
20		Meek's warning saved you from getting grabbed in the last second! 
21		Now, FIGHT! 
22	DC19 wis-	I see it! 
23		It was hidden well. But your eyes <b>perceive</b> the STRINGS. 
24		It was hidden... perfectly. 
25		Excuses! 
26		"An ambush?!" 
27		The goblin attempts to spring into action, but he's just too late. 
28		Flung around the shadows of the cavern, comes a long tendril. 
29		It flies towards you, like a ballista firing a long, fleshy snake. 
30		Don't word it like that...! 
31		In an instant it's wrapped around... 
32		Your EVERYTHING. 
33		Fool! 
34		Damn it...! 
35		It tightens its grip and flails you around. 
36		Your ankle is crushed. 
37		The pain is excruciating... 
38		You breathe through the pain... 
39		(Scream and wriggle.) 
40		But then the tentacle pulls back, dragging you. Flinging you against rock and rock. 
41		"Grab something! Don't let it-" 
42		The roper has you, its tendril fastened like a locked jaw around your entire leg. 
43		As it attempts to pull you towards its maw. 
44		You're a fish. On the hook. Time to be eaten... 
45		Dragging you in, like a fisherman with a thick catch on his hook. 
46		NOW'S NOT THE TIME FOR A <shake>SIMILE</shake>! 
47		A monster...? 
48		Run! 
49		Punch it! 
50		Once you get control of your muscles again, that is. 
51		Oh, wait. A bit too late for that. 
52		It appears you have been ambushed. 
53		NO SHIT?! 
54		That thing... it was perfectly hidden. 
55		Now you're at its mercy. 
56		Is there really nothing I can do here? 
57		Would've been better to avoid it altogether, honestly. 
58		You cannot... you are too weak. 
59		Pray. 
60		Waste of time. Try screaming instead. 
61		No time to react! 
62		<i>You're prey</i>. 
63		But you will <i>break</i> its stomach once consumed. 
64		"Shit, <i>shit</i>...!" 
65		Your companion rushes into action, taking out his sling. "Try to grab something!" 
66		"Grab? GRAB WHAT?!" 
67		(Just scream and feel sick.) 
68		"The ground, I don't know!" 
69		He takes a swing and fires off a bullet in its direction, striking right at its center of mass. 
70		But the bullet just bounces off, and it lets out a horrendous <i>hiss</i>. 
71		"Balls!" 
72		The tendril pulls you closer. 
73		But it clearly finds you difficult with all this struggling, so... 
74		It slams you into the ground. 
75		Bones broken. 
76		Loosely dangling. 
77		If you don't have anything good to say, say NOTHING. OKAY?! 
78		But still attached. 
79		No. No, way. You're not getting anywhere near that maw. 
80		Slither! Slither like your life depended on it! 
81		Because it DOES! 
82		You're doomed. Your leg is broken... 
83		There is still a chance. Find an opportunity... 
84		<b>You're feeling sick</b>. 
85		<b>This is not so bad</b>. You've been through worse. 
86		BREAK. FREE. 
87		Oh gods. OH gods. OH GODS. 
88	ROLL18 str-	Break free. 
89	ROLL11 dex-	Slither. Slither! <shake>SLITHER</shake>! 
90		Calm down. Acting so hysterical...! 
91		You're a man, aren't you? Get it together. 
92		This is a truly horrible situation. 
93		Pray, and fight. 
94		The world... is... spinning... 
95		With a deep, animalistic groan, you push yourself to the limit. 
96		Your body, in a fight against this rubbery appendix of despair... 
97		NO MORE! 
