idx	french
0	Une sensation de gouffre apparaît.
1	Tu le vois.
2	Ah. AH ! AHH !
3	C'est un satané MONSTRE !
4	« Maître...! »
5	« C'est- PRENDS GARDE ! »
6	À ta droite.
7	Ton ventre...
8	Il flanche...
9	IL VOIT LA MORT.
10	Le gobelin tressaute sur le côté.
11	« Clerc, il y a- »
12	Hein ?
13	« GROS- GROS <shake>MONSTRE</shake> ! »
14	Tu es prêt.
15	Enfoiré. Tu ne me prendras pas au dépourvu cette fois !
16	Le gobelin te fait un signe de tête, et apprête son arme.
17	Jet d'initiative.
18	L'une des stalagmites a fait pousser une <i>gueule</i> à l'air particulièrement méchant.
19	Elle était bien cachée. Mais...
20	L'avertissement de Meek t'a sauvé d'être happé à la dernière seconde !
21	Maintenant, BATS-TOI !
22	Je le vois !
23	Elle était bien cachée. Mais tes yeux <b>perçoivent</b> les FILS.
24	Elle était cachée... parfaitement.
25	Des excuses !
26	« Une embuscade ?! »
27	Le gobelin tente de passer à l'action, mais il est juste trop tard.
28	Projetée depuis les ombres de la caverne, arrive une longue vrille.
29	Elle file vers toi, comme une baliste tirant un long serpent charnu.
30	Ne formule pas ça comme ça...!
31	En un instant, elle est enroulée autour de...
32	TON TOUT.
33	Idiot !
34	Bon sang...!
35	Elle resserre sa prise et te ballotte.
36	Ta cheville est écrasée.
37	La douleur est atroce...
38	Tu respires à travers la douleur...
39	(Hurler et se tortiller.)
40	Mais alors le tentacule se rétracte, te traînant. Te projetant contre la roche et encore la roche.
41	« Attrape quelque chose ! Ne le laisse pas- »
42	Le roper te tient, sa vrille verrouillée comme une mâchoire close autour de toute ta jambe.
43	Tandis qu'il tente de te tirer vers sa gueule.
44	Tu es un poisson. À l'hameçon. L'heure d'être dévoré...
45	Te ramenant, comme un pêcheur avec une grosse prise à l'hameçon.
46	CE N'EST PAS LE MOMENT POUR UNE <shake>COMPARAISON</shake> !
47	Un monstre...?
48	Cours !
49	Frappe-le !
50	Une fois que tu auras repris le contrôle de tes muscles, s'entend.
51	Oh, attends. Un peu trop tard pour ça.
52	Il semblerait que tu aies été pris en embuscade.
53	SANS BLAGUE ?!
54	Ce truc... il était parfaitement caché.
55	Maintenant tu es à sa merci.
56	N'y a-t-il vraiment rien que je puisse faire ici ?
57	Ç'aurait été mieux de l'éviter complètement, honnêtement.
58	Tu ne peux pas... tu es trop faible.
59	Prie.
60	Perte de temps. Essaie de hurler plutôt.
61	Pas le temps de réagir !
62	<i>Tu es une proie</i>.
63	Mais tu <i>briseras</i> son estomac une fois consommé.
64	« Merde, <i>merde</i>...! »
65	Ton compagnon se précipite à l'action, sortant sa fronde. « Essaie d'attraper quelque chose ! »
66	« Attraper ? ATTRAPER QUOI ?! »
67	(Se contenter de hurler et de se sentir mal.)
68	« Le sol, je sais pas ! »
69	Il balance et tire un projectile dans sa direction, frappant en plein dans son centre de masse.
70	Mais le projectile rebondit juste, et il lâche un <i>sifflement</i> horrible.
71	« Bordel ! »
72	La vrille te tire plus près.
73	Mais elle te trouve clairement difficile avec toute cette lutte, alors...
74	Elle te fracasse contre le sol.
75	Des os brisés.
76	Pendant mollement.
77	Si tu n'as rien de bien à dire, ne dis RIEN. D'ACCORD ?!
78	Mais encore attaché.
79	Non. Pas question. Tu ne t'approcheras pas de cette gueule.
80	Rampe ! Rampe comme si ta vie en dépendait !
81	Parce que c'est LE CAS !
82	Tu es fichu. Ta jambe est brisée...
83	Il y a encore une chance. Trouve une occasion...
84	<b>Tu te sens mal</b>.
85	<b>Ce n'est pas si grave</b>. Tu as connu pire.
86	LIBÈRE-TOI.
87	Oh par les dieux. OH par les dieux. OH PAR LES DIEUX.
88	Se libérer.
89	Ramper. Ramper ! <shake>RAMPER</shake> !
90	Calme-toi. Agir de façon si hystérique...!
91	Tu es un homme, non ? Ressaisis-toi.
92	C'est une situation véritablement horrible.
93	Prie, et bats-toi.
94	Le monde... tourne...
95	Dans un profond grognement animal, tu te pousses à la limite.
96	Ton corps, en lutte contre cet appendice caoutchouteux de désespoir...
97	ASSEZ !
98	(SE DÉGAGER.)
99	Tu t'en empares, tandis qu'il rampe autour de ta jambe. Et tu LE DÉCHIQUETTES.
100	La bête pousse un cri strident tandis que son tentacule est laissé brisé par ton incroyable démonstration de <b>puissance</b>.
101	Tu es libre.
102	Tu luttes.
103	Un grognement échappe à tes lèvres tandis que le tentacule se resserre autour de toi.
104	L'attrapant, tirant, luttant.
105	Mais hélas. Tu n'y parviens pas.
106	Tu te contorsionnes.
107	Tu te contorsionnes plus fort !
108	Chacune desserre la prise de la bête.
109	Suivant le violent ballottement, tu donnes des coups de pied, te débats, tournes et danses... comme une belle danse imitant un poisson sur la terre ferme.
110	Superbe comparaison.
111	La ferme.
112	D'un ultime lancer violent de membre, le tentacule se desserre en fait pas mal.
113	Ça devrait rendre ça... plus facile ?
114	Tenter de te projeter partout, pour faire lâcher le tentacule, est difficile.
115	Principalement parce qu'il te ballotte à travers le sol de la caverne, de gauche à droite.
116	Et sa prise est serrée. Vraiment serrée. Trop serrée !
117	Tu marmonnes vite les mots.
118	C'est difficile de lever les signaux somatiques, mais...
119	Tu réussis. Ciblant...
120	MOI-MÊME !
121	Oui.
122	La graisse apparaît aussitôt, te couvrant de la tête aux pieds de ce fatras glissant et gluant.
123	Et...
124	Le tentacule du roper perd sa prise.
125	(SE LIBÉRER !)
126	Il gémit et agite l'appendice partout tandis que tu es lâché au sol.
127	Tu es un véritable génie. Maintenant <b>conquiers ce calmar surdimensionné</b>.
128	Non, c'est insensé.
129	En plus, tu le vois à peine avec toute cette agitation.
