idx	prefix	english
0		You glance at the step. 
1		It's a descent of approximately fifty inches. 
2		Two meters. 
3		Yeah, yeah. Whatever that means. 
4		Point is, it's not super-high. 
5		These ancient bricks- they could SCUFF you. BADLY. 
6		You heard a story of a man who slipped in a minor descent like this once. 
7		He died. 
8		You're going to die. 
9		What kind of man - no - what kind of <i>hero</i> cannot step down a slightly uneven stone slab? 
10		It would be embarrassing for anyone, of any age, to fail this. 
11		(Look over the survey site.) 
12	ROLL5 str-	Attempt to step down, in a manly stride. 
13	ROLL5 dex-	Attempt to step down in a smarter way. 
14		E-Maybe... not right now. Yeah. Later. 
15		You see a dwarf- hearing grunts as he swings a pickaxe at the ruins in the corner. 
16		There is no point in having a conversation at this distance. 
17		Time to get closer. 
18		Won't be a problem, right? 
19		Of course not. 
20		Your hands move in that familiar shape, and a few special words come out of your mouth. 
21		And within an instant, the ruin step is coated in a thick layer of colorful magical grease. 
22		Your goblin companion loses any form of respect previously found on his expression. 
23		"Okay." 
24		"Greased that rock up, huh?" 
25		"I won't question your methods. Just please don't die." 
26		Taking a careful step onto the stone, you begin your descent. 
27		Keeping your balance in check, you shift your weight appropriately. 
28		Smart thinking. Using your dexterity instead of brute force. 
29		This is the wise choice. 
30		Your feet find purchase. 
31		Stable. Controlled. 
32		Or at least you try to. 
33		Wait... 
34		Your left foot. It slips. 
35		That's not good. 
36		Your right foot tries to compensate. 
37		Please work... 
38		Um. I'm afraid to say that... no. 
39		Both of your feet have lost their grip on reality. 
40		The distant cry of a concerned goblin is far, far away from you now. 
41		As your entire being is fading into nothing on the floor of this random ruin on Tolstad. 
42		Hold on- I'm DEAD? 
43		What did you expect when you greased up the floor like that? 
44		There's no need to fret. 
45		You've been given your due. This is it. 
46		This is your end of the stick. 
47		This is just... no. This does not make sense. 
48		You are a servant of Urth. You have dedicated your entire adult life to serve him. 
49		This is not how you are rewarded. No... 
50		No. 
51		You are... 
52		No. I refuse this end. (Reach out.) 
53		Not. Yet. 
54		You... refuse? 
55		R-NOT. LIKE. THIS. (Grab onto anything you can.) 
56		<b>You still have work to do</b>. 
57		The world distorts around you. You were falling. Then you were not. 
58		Twisting. Turning. Forces beyond your might. 
59		ESOTERIC FORCES ABOUND. 
60		I, uh... what did I do? 
61		This is an esoteric event. Your mind can barely register it. 
62		Your body is on the verge of breaking. Every moment a painful reminder of the thousand others who failed just like you just did. 
63		You will not come out of this unscathed. 
64		But you can take it. 
65		Taking a confident step onto the stone, you begin your descent. 
66		You close your eyes as you do so, in order to fully immerse yourself in the experience of changing your elevation. 
67		You are afraid. It is very steep. 
68		Yet your body remains calm. 
69		SCARY. 
70		But within a moment... 
71		Your left foot. It's not... 
72		It's not on the stone anymore. 
73		Your right foot... 
74		That one's gotta be on the floor, right? 
75		Both of your feet have slipped off reality. 
76		I'm not dead anymore? 
77		I'm scared. 
78		(Laugh.) 
79	ROLL1 wis-	Attempt to pull the <i><b>Strings</b></i>. 
80		No <no>. 
81		<i>Don't worry, honey. He'll be okay. The clerics know what they're doing.</i> 
82		Why are you laughing? 
83		Don't do that. Your laugh sucks. Be quiet. 
84		You follow them as they dance. 
85		One seems to go good. But it is far away. 
86		Yet it is moving closer. By what force? 
87		Is it... <b>him?</b> 
88		<i><b>Don't go.</b></i> 
89		<i><b>Take the String handed to you.</b></i> 
90		The String dangles in front of you. Almost playfully. 
91		You know you do not have a choice. 
92		You will have to go through this. 
93		Even if it was not a path you idealized. 
94		At times, the worst thing a person can do is to be handed a String, upon the behest of fate. 
95		Yet you cannot tell if this is one of those moments. 
96		Take the String. 
97		It really, really, was not meant to be, then. 
98		Not this time. 
99		I am sorry, my son. 
100		<i><b>...Who are you?</b></i> 
101		(Let go.) 
102		You do not deserve this, Ragn. 
103		<i>I</i> must. But you... 
104		<b>...you can do this again, can't you?</b> 
105		You fall into the esoteric cracks in the world. 
106		<i>I</i> will miss you. 
107		"Gods, you're slow. Can we get moving now?" 
108		E-Let's go. 
109		You approach the step once more. 
110		A SHORT FALL. 
111		A LONG STEP. 
112		This time should be easier. 
113		Thank the gods. You don't have to try so hard this time... 
114		(Take that step again.) 
115		E-Not right now. 
116		You take the first step, and then... 
