idx	french
0	Tu jettes un œil à la marche.
1	C'est une descente d'environ cinquante pouces.
2	Deux mètres.
3	Ouais, ouais. Peu importe ce que ça veut dire.
4	Le fait est que ce n'est pas super haut.
5	Ces briques anciennes- elles pourraient t'ÉRAFLER. GRAVEMENT.
6	Tu as entendu l'histoire d'un homme qui a glissé dans une descente mineure comme celle-ci une fois.
7	Il est mort.
8	Tu vas mourir.
9	Quel genre d'homme - non - quel genre de <i>héros</i> ne peut pas descendre d'une dalle de pierre légèrement inégale ?
10	Ce serait embarrassant pour quiconque, de tout âge, d'échouer à ça.
11	(Examiner le site de relevé.)
12	Tenter de descendre, d'une foulée virile.
13	Tenter de descendre d'une façon plus maligne.
14	Peut-être... pas là. Ouais. Plus tard.
15	Tu vois un nain- entendant des grognements tandis qu'il balance une pioche vers les ruines dans le coin.
16	Il n'y a aucun intérêt à tenir une conversation à cette distance.
17	Il est temps de se rapprocher.
18	Ça ne posera pas de problème, pas vrai ?
19	Bien sûr que non.
20	Tes mains bougent dans cette forme familière, et quelques mots spéciaux sortent de ta bouche.
21	Et en un instant, la marche de la ruine est recouverte d'une épaisse couche de graisse magique colorée.
22	Ton compagnon gobelin perd toute forme de respect qu'on trouvait auparavant sur son expression.
23	« D'accord. »
24	« Tu as graissé ce rocher, hein ? »
25	« Je ne questionnerai pas tes méthodes. Juste, s'il te plaît, ne meurs pas. »
26	En posant un pied prudent sur la pierre, tu commences ta descente.
27	Gardant ton équilibre sous contrôle, tu déplaces ton poids comme il convient.
28	Pensée maligne. User de ta dextérité plutôt que de la force brute.
29	C'est le choix sage.
30	Tes pieds trouvent une prise.
31	Stable. Contrôlé.
32	Ou du moins tu essaies.
33	Attends...
34	Ton pied gauche. Il glisse.
35	Ce n'est pas bon.
36	Ton pied droit essaie de compenser.
37	S'il te plaît, marche...
38	Hum. J'ai le regret de dire que... non.
39	Tes deux pieds ont perdu leur prise sur la réalité.
40	Le cri lointain d'un gobelin inquiet est très, très loin de toi désormais.
41	Tandis que tout ton être s'efface dans le néant sur le sol de cette ruine quelconque de Tolstad.
42	Attends- je suis MORT ?
43	À quoi t'attendais-tu en graissant le sol comme ça ?
44	Nul besoin de t'agiter.
45	Tu as reçu ton dû. C'est la fin.
46	C'est le bout de bâton qui te revient.
47	C'est juste... non. Ça n'a aucun sens.
48	Tu es un serviteur d'Urth. Tu as dédié toute ta vie d'adulte à le servir.
49	Ce n'est pas ainsi qu'on te récompense. Non...
50	Non.
51	Tu es...
52	Non. Je refuse cette fin. (Tendre la main.)
53	Pas. Encore.
54	Tu... refuses ?
55	PAS. COMME. ÇA. (S'agripper à tout ce que tu peux.)
56	<b>Tu as encore du travail à faire</b>.
57	Le monde se distord autour de toi. Tu tombais. Puis tu ne tombais plus.
58	Se tordant. Tournant. Des forces au-delà de ta puissance.
59	LES FORCES ÉSOTÉRIQUES ABONDENT.
60	Je, euh... qu'est-ce que j'ai fait ?
61	C'est un événement ésotérique. Ton esprit peut à peine l'enregistrer.
62	Ton corps est au bord de la rupture. Chaque instant un rappel douloureux des mille autres qui ont échoué tout comme tu viens de le faire.
63	Tu ne sortiras pas de ça indemne.
64	Mais tu peux l'encaisser.
65	En posant un pied confiant sur la pierre, tu commences ta descente.
66	Tu fermes les yeux en le faisant, afin de t'immerger pleinement dans l'expérience de changer d'altitude.
67	Tu as peur. C'est très raide.
68	Pourtant ton corps demeure calme.
69	EFFRAYANT.
70	Mais en un instant...
71	Ton pied gauche. Il n'est pas...
72	Il n'est plus sur la pierre.
73	Ton pied droit...
74	Celui-là doit être sur le sol, non ?
75	Tes deux pieds ont glissé hors de la réalité.
76	Je ne suis plus mort ?
77	J'ai peur.
78	(Rire.)
79	Tenter de tirer les <i><b>Fils</b></i>.
80	Non <no>.
81	<i>Ne t'inquiète pas, chéri. Il ira bien. Les clercs savent ce qu'ils font.</i>
82	Pourquoi ris-tu ?
83	Ne fais pas ça. Ton rire est nul. Tais-toi.
84	Tu les suis tandis qu'ils dansent.
85	L'un semble bien aller. Mais il est loin.
86	Pourtant il se rapproche. Par quelle force ?
87	Est-ce... <b>lui ?</b>
88	<i><b>Ne pars pas.</b></i>
89	<i><b>Prends le Fil qu'on te tend.</b></i>
90	Le Fil pend devant toi. Presque avec espièglerie.
91	Tu sais que tu n'as pas le choix.
92	Il te faudra traverser ceci.
93	Même si ce n'était pas une voie que tu idéalisais.
94	Parfois, la pire chose qu'une personne puisse subir, c'est qu'on lui tende un Fil, sur l'ordre du destin.
95	Pourtant tu ne saurais dire si c'est l'un de ces moments.
96	Prends le Fil.
97	Ça ne devait vraiment, vraiment pas être, alors.
98	Pas cette fois.
99	Je suis désolé, mon fils.
100	<i><b>...Qui es-tu ?</b></i>
101	(Lâcher.)
102	Tu ne mérites pas ceci, Ragn.
103	<i>Moi</i>, je le dois. Mais toi...
104	<b>...tu peux refaire ça, n'est-ce pas ?</b>
105	Tu tombes dans les fissures ésotériques du monde.
106	<i>Tu</i> me manqueras.
107	« Par les dieux, tu es lent. On peut se mettre en route maintenant ? »
108	Allons-y.
109	Tu t'approches de nouveau de la marche.
110	UNE COURTE CHUTE.
111	UN LONG PAS.
112	Cette fois devrait être plus facile.
113	Dieux merci. Tu n'as pas à tant t'efforcer cette fois...
114	(Refaire ce pas.)
115	Pas là.
116	Tu fais le premier pas, et puis...
