idx	prefix	english
0		You look over to a glowing torch, deep inside the gelatinous cube. 
1		What's up with that? 
2		Huh. Doesn't it feel like that torch has something to do with this weird gelatinous cube? 
3		Could I actually reach the torch? 
4		R-Push through the gel to reach the torch. 
5		E-Hm. 
6		It's a magic item. 
7		A torch built to burn forever. 
8		Some kind of magic item. 
9		There are a lot of those around. 
10		"No. Could you?" 
11		"Possibly." 
12		"No." 
13		"Of course. What do you think I am? Weak?" 
14		"For once I agree." 
15		"Let me rephrase: could you do it without having your skin be dissolved by the gelatinous cube?" 
16		"Skin is overrated." 
17		"Guess we'll have to find out." 
18		"I suppose you've got your armor instead." 
19		"Have I even seen your skin?" 
20		"Let's change the subject." 
21		The goblin lets out a deep sigh and looks across the surface of the jelly-monster. 
22		"The cube's weird. They're usually way more aggressive." 
23		"The fact that we can stand here no problem, means something's way off." 
24		"And I bet it's that torch." 
25		"Can you use your magic to grab it?" 
26		There are a handful of spells that could work here. 
27		A protective shield, if you wish to fight through the acid. 
28		Or Mage Hand. A possibility. 
29		"I could just push on through." 
30		"What do you think we should do?" 
31		"Hm. Well, you'd have to find it then. I thought you clerics knew basic cantrips like that." 
32		"I mean, we've even got some goblins who know it. It's not rare." 
33		The goblin cannot be allowed to denigrate you like this. 
34		It's beneath <b>The Cleric of Norvik</b>. 
35		Trembling. Anger. 
36		"Look, I lost some things in the river, okay?" 
37		"Don't bully me." 
38		"So I'm admitting to you that I, in fact, do not know this basic cantrip, but I also make it clear that I want to find it so we can proceed here, yet you stand there, complaining about it. I know. I should have it. I don't." 
39		"Right, yeah. You had a thing." 
40		"Sorry." 
41		He means it. 
42		"Oh. I didn't mean to come off as mean." 
43		The goblin is taken aback. 
44		"Damn. I'm sorry, Cleric." 
45		You made your point. 
46		He didn't mean to make you feel bad. 
47		"Yeah, well. Don't." 
48		"No worries. I just got a little emotionally upset. In a manly way." 
49		"Right. Fine." 
50		"Right. Good." 
51		"I do prefer manly expressions of emotion instead of... manly expressions of violence." 
52		"I think I like the violence more." 
53		"Same." 
54		(Just flex a bit.) 
55		He lifts his chin. 
56		"Anyway." 
57		"Good. Do that." 
58		You would have to do that in that case. 
59		By casting it. Instead of focusing on <i>this</i>. 
60		"With... what? Magic protection?" 
61		"I'm a man, Snell. I can handle a little pain." 
62		"Yeah, something like that." 
63		"Ah, yes. A real man. Who can handle having his outer layer peeled off." 
64		"Exactly." 
65		"I might have to rethink this." 
66		He rubs his temples. 
67		"For now, let's just... not do anything rash." 
68		It does. 
69		It's hard to say. 
70		Warmth. 
71		It is drawn to it. 
72		Not sure what you'd do about it, though. 
73		If you'd be able to reach it, maybe you'd find out more. 
74		But that'd require you to... you know. Go <i>inside</i>. 
75		Unless you were to locate Mage Hand. Perhaps you could find a copy of it somewhere upstairs. 
76		Or, perhaps use Mage Hand. 
77		The Cube will let you walk into it. However... 
78		It will clamp onto you quickly. So you need to move as fast as you can, before it decides to hold you tight. 
79		How far will you be able to get? 
80		If you manage to move far enough while inside, then you could reach it. 
81		You grit. 
82		Your teeth. 
83		You rush head on into the wall of gel. 
84		It is letting you through. With zero resistance. 
85		Anyone would be forgiven for just walking into this without noticing. 
86		GO. QUICK. 
87		If you're gonna do something dumb like this, you better move! 
88		(Rush through the gel.) 
89		You push yourself forward, and just seconds after being completely consumed, you feel the gel start to tighten. 
90		Just a bit further...! 
91		Almost. 
92		Come on...! 
93		You are almost at the torch. 
94		You see it before you. 
95		The translucent gel holding you back, your hand just inches away from the torch. 
96		SKIN. MELTING. 
97		The pain... is too great. 
98		Your body... falters. 
99		(Scream.) 
100	ROLL10 con-	Get through the pain. 
101		You cannot. The gel is in your mouth. 
102		The pain... is nothing. 
103		You can... do this. 
104		(Keep moving...) 
105		One... step... 
106		(Grab the torch.) 
107		NO. 
108		You fight it, but the Cube just keeps squeezing and covering you in that burning devilish substance. 
109		IT IS TOO MUCH. 
110		You cannot hear the goblin yelling beyond the gel. 
111		You are here. Just you. 
112		But you can. 
113		You always could. 
114		The mage hand quickly grabs the torch, and flies it through the gel towards you. 
115		The speed of it is clearly faster than the Cube can react. Nice. 
116		It lands in your hand. You feel the rough and gel-covered surface stick to your glove. 
117		With the torch in your hand, you feel the esoteric tingle... 
118		(Turn off the torch.) 
119		The click reverberates through the Cube. 
120		Then it shudders. 
121		What's happening? 
122		Oh. Oh gods, it's getting mad! 
123		(Look around.) 
124		You see the Gelatinous Cube shake, more violently for every passing second. 
125		It is searching for... heat. 
126		Within the Cube, you see what could only be described as... cracks. 
127		It appears to be falling asunder. 
128		Flopping and jerking, the many pieces of the Cube are flung across the chamber. 
129		Ah. This explains it. 
130		This is not a Cube. 
131		Dividing. Dividing. <b>Dividing</b>. 
132		Smaller pieces smashed against the walls of the chamber, causing a terrible tremor. 
133		A ballet of goop. 
134		Until, ultimately... 
135		Each and every piece has escaped into the ventilation slits. 
136		You are covered in it. It burns. 
137		Get it off! Quick! 
138		(Clean yourself off.) 
139		The goblin carefully steps up to you, looking around. 
140		"Didn't expect that. Seriously, great job." 
141		You see the last pieces of goop slip down into the cracks near the walls. 
142		What actually happened here? 
143		"I don't doubt it." 
144		Gelatinous Cubes are able to unite for a short duration. 
145		However, if more than two were to pack together, the combination would become unstable within seconds. 
146		What happened here was obvious. A multitude of cubes all came together to enjoy the endless heat coming from the Rûn-Torch. 
147		The heat, or perhaps due to some cosmological chance, the unity of cubes found an equilibrium. Which was then disturbed once you turned off the heat source. 
148		Half a dozen Cubes, stacked together. 
149		This type of ooze usually never unite, and if so they only do so in small quantities. 
150		This must have been some type of strange magic. Or an esoteric event. 
151		"The Cube sure dropped a lot of stuff around the place." 
152		"Let's see if there's anything interesting." 
153		You hear excitement in his voice. 
154		He clears his throat. "Related to the tea shop, that is." 
155		The goblin wants some LOOT! Who can blame him? 
156		There are pouches spread around the chamber. Perhaps magic items left behind by previous victims. 
157		E-Cool. Loot. 
