idx	french
0	Tu regardes vers une torche luisante, au fond du cube gélatineux.
1	C'est quoi ce truc ?
2	Hein. T'as pas l'impression que cette torche a quelque chose à voir avec ce bizarre cube gélatineux ?
3	Pourrais-je réellement atteindre la torche ?
4	Traverser le gel pour atteindre la torche.
5	Hm.
6	C'est un objet magique.
7	Une torche conçue pour brûler éternellement.
8	Une sorte d'objet magique.
9	Il y en a beaucoup dans le coin.
10	« Non. Toi, tu pourrais ? »
11	« Possiblement. »
12	« Non. »
13	« Bien sûr. Tu me prends pour quoi ? Un faible ? »
14	« Pour une fois, je suis d'accord. »
15	« Laisse-moi reformuler : pourrais-tu le faire sans que ta peau soit dissoute par le cube gélatineux ? »
16	« La peau, c'est surfait. »
17	« J'imagine qu'on va devoir le découvrir. »
18	« Je suppose que tu as ton armure à la place. »
19	« Ai-je seulement déjà vu ta peau ? »
20	« Changeons de sujet. »
21	Le gobelin lâche un profond soupir et regarde la surface du monstre-gelée.
22	« Ce cube est bizarre. Ils sont d'habitude bien plus agressifs. »
23	« Le fait qu'on puisse se tenir ici sans problème, ça veut dire que quelque chose cloche vraiment. »
24	« Et je parie que c'est cette torche. »
25	« Tu peux utiliser ta magie pour l'attraper ? »
26	Il y a une poignée de sorts qui pourraient marcher ici.
27	Un bouclier protecteur, si tu souhaites combattre à travers l'acide.
28	Ou la Main du Mage. Une possibilité.
29	« Je pourrais juste passer en force. »
30	« Qu'est-ce que tu penses qu'on devrait faire ? »
31	« Hm. Enfin, il faudrait que tu la trouves, alors. Je croyais que vous, les clercs, connaissiez des tours de magie basiques comme ça. »
32	« Enfin, on a même des gobelins qui le connaissent. C'est pas rare. »
33	On ne peut pas laisser le gobelin te dénigrer ainsi.
34	C'est indigne du <b>Clerc de Norvik</b>.
35	Tremblement. Colère.
36	« Écoute, j'ai perdu des choses dans la rivière, d'accord ? »
37	« Ne me harcèle pas. »
38	« Alors je t'avoue que je ne connais pas, en effet, ce tour de magie basique, mais je fais aussi bien comprendre que je veux le trouver pour qu'on puisse avancer ici, et pourtant tu restes planté là à t'en plaindre. Je sais. Je devrais l'avoir. Je ne l'ai pas. »
39	« C'est vrai, ouais. Tu avais eu un truc. »
40	« Désolé. »
41	Il le pense.
42	« Oh. Je ne voulais pas paraître méchant. »
43	Le gobelin est décontenancé.
44	« Mince. Je suis désolé, Clerc. »
45	Tu as fait valoir ton point.
46	Il ne voulait pas te faire de la peine.
47	« Ouais, enfin. Évite. »
48	« Pas de souci. Je me suis juste un peu emporté émotionnellement. D'une façon virile. »
49	« C'est ça. Bien. »
50	« C'est ça. Bien. »
51	« Je préfère bien les expressions viriles d'émotion plutôt que... les expressions viriles de violence. »
52	« Je crois que j'aime plus la violence. »
53	« Pareil. »
54	(Se contenter de bomber un peu les muscles.)
55	Il lève le menton.
56	« Bref. »
57	« Bien. Fais ça. »
58	Il te faudrait faire ça dans ce cas.
59	En le lançant. Au lieu de te concentrer sur <i>ceci</i>.
60	« Avec... quoi ? Une protection magique ? »
61	« Je suis un homme, Snell. Je peux encaisser un peu de douleur. »
62	« Ouais, quelque chose comme ça. »
63	« Ah, oui. Un vrai homme. Qui peut encaisser de se faire peler la couche externe. »
64	« Exactement. »
65	« Je vais peut-être devoir reconsidérer ça. »
66	Il se frotte les tempes.
67	« Pour l'instant, contentons-nous de... ne rien faire de précipité. »
68	Elle l'est.
69	C'est difficile à dire.
70	La chaleur.
71	Elle y est attirée.
72	Pas sûr de ce que tu ferais à ce sujet, cela dit.
73	Si tu parvenais à l'atteindre, peut-être en apprendrais-tu davantage.
74	Mais ça t'obligerait à... tu sais. Aller <i>à l'intérieur</i>.
75	À moins que tu ne localises la Main du Mage. Peut-être pourrais-tu en trouver une copie quelque part à l'étage.
76	Ou, peut-être, utiliser la Main du Mage.
77	Le Cube te laissera entrer en lui. Cependant...
78	Il se refermera vite sur toi. Alors tu dois bouger aussi vite que possible, avant qu'il ne décide de te tenir serré.
79	Jusqu'où pourras-tu aller ?
80	Si tu parviens à avancer assez loin à l'intérieur, alors tu pourrais l'atteindre.
81	Tu serres.
82	Les dents.
83	Tu fonces tête baissée dans le mur de gel.
84	Il te laisse passer. Avec zéro résistance.
85	On pardonnerait à quiconque de simplement entrer là-dedans sans s'en rendre compte.
86	VAS-Y. VITE.
87	Si tu vas faire un truc débile comme ça, tu ferais mieux de bouger !
88	(Foncer à travers le gel.)
89	Tu te propulses en avant, et quelques secondes à peine après avoir été complètement englouti, tu sens le gel commencer à se resserrer.
90	Juste un peu plus loin...!
91	Presque.
92	Allez...!
93	Tu es presque à la torche.
94	Tu la vois devant toi.
95	Le gel translucide te retenant, ta main à quelques centimètres de la torche.
96	LA PEAU. QUI FOND.
97	La douleur... est trop grande.
98	Ton corps... flanche.
99	(Hurler.)
100	Surmonter la douleur.
101	Tu ne peux pas. Le gel est dans ta bouche.
102	La douleur... n'est rien.
103	Tu peux... y arriver.
104	(Continuer d'avancer...)
105	Un... pas...
106	(Attraper la torche.)
107	NON.
108	Tu luttes, mais le Cube ne cesse de te comprimer et de te couvrir de cette substance diabolique et brûlante.
109	C'EST TROP.
110	Tu n'entends pas le gobelin crier au-delà du gel.
111	Tu es ici. Juste toi.
112	Mais tu peux.
113	Tu as toujours pu.
114	La main du mage attrape vite la torche, et la fait voler à travers le gel vers toi.
115	Sa vitesse est clairement plus rapide que le Cube ne peut réagir. Bien.
116	Elle atterrit dans ta main. Tu sens la surface rugueuse et couverte de gel coller à ton gant.
117	Avec la torche en main, tu sens le picotement ésotérique...
118	(Éteindre la torche.)
119	Le clic se répercute à travers le Cube.
120	Puis il frémit.
121	Qu'est-ce qui se passe ?
122	Oh. Oh par les dieux, il devient furieux !
123	(Regarder autour.)
124	Tu vois le Cube Gélatineux trembler, plus violemment à chaque seconde qui passe.
125	Il cherche... de la chaleur.
126	À l'intérieur du Cube, tu vois ce qu'on ne pourrait décrire que comme... des fissures.
127	Il semble tomber en morceaux.
128	Ballottant et sursautant, les nombreux morceaux du Cube sont projetés à travers la chambre.
129	Ah. Ça explique tout.
130	Ce n'est pas un Cube.
131	Se divisant. Se divisant. <b>Se divisant</b>.
132	De plus petits morceaux se sont fracassés contre les murs de la chambre, causant un terrible tremblement.
133	Un ballet de glu.
134	Jusqu'à ce que, finalement...
135	Chaque morceau se soit échappé dans les fentes de ventilation.
136	Tu en es couvert. Ça brûle.
137	Enlève-le ! Vite !
138	(Te nettoyer.)
139	Le gobelin s'approche de toi avec précaution, regardant autour.
140	« Je m'attendais pas à ça. Sérieusement, beau boulot. »
141	Tu vois les derniers morceaux de glu se glisser dans les fissures près des murs.
142	Qu'est-ce qui s'est réellement passé ici ?
143	« Je n'en doute pas. »
144	Les Cubes Gélatineux sont capables de s'unir pour une courte durée.
145	Cependant, si plus de deux venaient à s'agglomérer, la combinaison deviendrait instable en quelques secondes.
146	Ce qui s'est passé ici était évident. Une multitude de cubes se sont tous rassemblés pour savourer la chaleur sans fin émanant de la Torche-Rûn.
147	La chaleur, ou peut-être en raison de quelque hasard cosmologique, l'union des cubes a trouvé un équilibre. Qui fut alors perturbé une fois que tu as éteint la source de chaleur.
148	Une demi-douzaine de Cubes, empilés ensemble.
149	Ce type de vase ne s'unit d'habitude jamais, et si c'est le cas, seulement en petites quantités.
150	Ce devait être une forme de magie étrange. Ou un événement ésotérique.
151	« Le Cube a vraiment fait tomber plein de trucs un peu partout. »
152	« Voyons s'il y a quelque chose d'intéressant. »
153	Tu entends de l'excitation dans sa voix.
154	Il se racle la gorge. « En rapport avec le salon de thé, s'entend. »
155	Le gobelin veut du BUTIN ! Qui peut l'en blâmer ?
156	Il y a des bourses éparpillées dans la chambre. Peut-être des objets magiques laissés par de précédentes victimes.
157	Cool. Du butin.
