idx	prefix	english
0		This is it. 
1		This is the first place his body was placed, twenty-seven years ago. 
2		Your lord. Your master. 
3		Your god, Urth. 
4		Fallen and exhumed. Like his city. 
5		To see it in such a state... (Shake in anger.) 
6		A relic of an old era. I should leave it be. 
7		Watch closely. 
8		This is how every divine dominion ends. 
9		With the cracking of an ugly tomb. 
10		It is terrible. But... 
11		God dies. The world changes. 
12		No need to cry over it. 
13		This place is still holy. <i>Consecrated</i>. 
14		Despite this, horrors still walk the grimy tiles. 
15		Urth's traces still linger here. As it should. 
16		(Leave the sarcophagus.) 
