idx	french
0	C'est là.
1	C'est le premier endroit où son corps fut déposé, il y a vingt-sept ans.
2	Ton seigneur. Ton maître.
3	Ton dieu, Urth.
4	Tombé et exhumé. Comme sa cité.
5	Le voir en un tel état... (Trembler de colère.)
6	Une relique d'une ancienne ère. Je devrais le laisser tranquille.
7	Regarde attentivement.
8	C'est ainsi que finit tout règne divin.
9	Par le fendillement d'une laide tombe.
10	C'est terrible. Mais...
11	Un dieu meurt. Le monde change.
12	Nul besoin d'en pleurer.
13	Ce lieu est encore saint. <i>Consacré</i>.
14	Malgré cela, des horreurs foulent encore les dalles crasseuses.
15	Les traces d'Urth s'attardent encore ici. Comme il se doit.
16	(Quitter le sarcophage.)
