idx	prefix	english
0		This is not just a wall. 
1		What's this? 
2		You can see it now. In the crack between two of the tiles, there's something hidden within. 
3		This way. It leads to the <i>Under</i>. 
4		Beware the dangers beyond. 
5		(Slide your hand in.) 
6		Is it really smart to slide fingers into dark crevices like this? 
7		E-Maybe not. 
8		You did. 
9		Someone is calling you towards this door. 
10		Your gloved hand just barely fits in the crevice. 
11		Just a bit in, you feel something hard. 
12		Something round, that seems to move at your touch. 
13		Not in a fleshy way, right? 
14		Not in a spooky way, right? 
15		Not in a hot way, right? 
16		What is it? 
17		No. 
18		No. It is quite cool. 
19		Cool as in cold, or cool as in cool? 
20		So not warm? 
21		Yes. 
22		It is cold. 
23		A button. 
24		Hidden inside the wall. 
25		(Push the button.) 
26		E-Eh. Not now. 
27		You press it. 
28		After a light click, the wall itself begins to groan. 
29		(Pull your hand out.) 
30		<wiggle>...</wiggle> 
31		The entire wall slides away as you do, revealing a deep, dark tunnel beyond. 
32		"Whoa. Nice catch." 
33		He lifts his face into the air. "Uh. What's that smell? It's... <i>dank</i>." 
34		A stench of mold and stone. 
35		It's comforting and horrifying. 
36		"Meek know this smell. Old places. Dark places. Be careful, master!" 
37		E-Time to go even deeper. 
38		It could end poorly. 
39		But the signs of potential annihilation, defingeration, or other forms of small limb removal are not quite here. 
40		There's no issue. 
41		It's just a crack in the wall. No space for anything bad. 
