idx	french
0	Ce n'est pas juste un mur.
1	Qu'est-ce que c'est ?
2	Tu peux le voir maintenant. Dans la fente entre deux dalles, il y a quelque chose de caché à l'intérieur.
3	Par ici. Ça mène à l'<i>En Dessous</i>.
4	Prends garde aux dangers au-delà.
5	(Glisser ta main dedans.)
6	Est-ce vraiment malin de glisser ses doigts dans des crevasses sombres comme ça ?
7	Peut-être pas.
8	Tu l'as fait.
9	Quelqu'un t'appelle vers cette porte.
10	Ta main gantée tient tout juste dans la crevasse.
11	Un peu plus loin, tu sens quelque chose de dur.
12	Quelque chose de rond, qui semble bouger à ton contact.
13	Pas d'une façon charnue, hein ?
14	Pas d'une façon flippante, hein ?
15	Pas d'une façon brûlante, hein ?
16	Qu'est-ce que c'est ?
17	Non.
18	Non. C'est plutôt frais.
19	Frais au sens de froid, ou frais au sens de cool ?
20	Donc pas chaud ?
21	Oui.
22	C'est froid.
23	Un bouton.
24	Caché dans le mur.
25	(Presser le bouton.)
26	Bah. Pas maintenant.
27	Tu appuies dessus.
28	Après un léger clic, le mur lui-même se met à gronder.
29	(Retirer ta main.)
30	<wiggle>...</wiggle>
31	Le mur entier coulisse tandis que tu le fais, révélant un tunnel profond et sombre au-delà.
32	« Ho là. Belle trouvaille. »
33	Il lève le visage en l'air. « Euh. C'est quoi cette odeur ? C'est... <i>croupi</i>. »
34	Une puanteur de moisi et de pierre.
35	C'est réconfortant et horrifiant.
36	« Meek connaître cette odeur. Vieux endroits. Endroits sombres. Prudence, maître ! »
37	Il est temps de descendre encore plus profond.
38	Ça pourrait mal finir.
39	Mais les signes d'une potentielle annihilation, défingération, ou autres formes de menu retranchement de membre ne sont pas tout à fait présents ici.
40	Il n'y a pas de problème.
41	Ce n'est qu'une fente dans le mur. Pas de place pour quoi que ce soit de mauvais.
