idx	french
0	Un bruit horrible dans le noir.
1	Qui bouge. Un fatras de fer rouillé et d'os cliquetants.
2	Qui avance vers toi.
3	« Non, non, non... »
4	« Je déteste les cryptes...! »
5	IL T'APPELLE.
6	Jet d'initiative.
7	Est-ce que c'est... un squelette ?
8	Mort-vivant en approche. Il est déterminé à te tuer.
9	NON. MERDE.
10	« Détruis-le ! »
11	« T'as pas une magie sainte contre ce truc ? »
12	Le gobelin sort sa fronde. D'un geste vif, il lance un projectile vers l'abomination.
13	Il passe droit à travers sa cage thoracique ouverte.
14	Avançant à pas saccadés vers toi, le squelette lève sa main-épée.
15	La lame s'abat, te frappant à l'épaule.
16	Un cri à glacer les os émane du crâne.
17	Tandis que la lame s'abat, tu l'esquives d'un pas de côté.
18	« Bien, ne les laisse pas te toucher. »
19	Le squelette s'agite sur place, perdant clairement sa concentration après le coup manqué.
20	Tu dois te défendre ! Et châtier cette immonde abomination !
21	Aie peur. C'est un guerrier d'antan...
22	Trop tard pour fuir ! Mais tu dois rester souple, ou ce truc va te tailler en pièces.
23	REJOINS TON FRÈRE.
24	Les os sont à l'extérieur du corps.
25	Ils doivent y retourner.
26	Clairement, tout type de dégâts perforants ou tranchants serait presque inutile contre cette créature.
27	La force contondante, voilà ce qu'il te faut.
28	La force contondante ? Tes poings montreront la voie.
29	Je peux pas juste... lui dire d'arrêter ?
30	Frapper le squelette du poing.
31	Essayer d'esquiver.
32	Lui faire un câlin.
33	Est-ce qu'un câlin aiderait de quelque façon ?
34	<i>Comment</i>, bordel ?
35	<shake>Squelépathiquement</shake> ?!
36	Ouais. Non. Parler ne va pas t'aider ici.
37	Être amical ne fait jamais de mal.
38	Ton coup manque complètement le squelette, tandis qu'il tressaute en arrière d'une façon contre-nature.
39	Comme s'il était animé par quelque immonde force esquiveuse-de-coups.
40	Plus ou moins.
41	Tes pieds. Ils dansent.
42	D'un côté à l'autre - tes yeux focalisés sur la lame du squelette.
43	Tu es prêt à tout.
44	Tu tentes de bouger avec les attaques, mais tu finis juste par te marcher sur les pieds.
45	Manquant presque de tomber. Mais pas tout à fait.
46	Dans un cliquetis d'os, tu avances. Tes bras tendus.
47	« Qu'est-ce que tu fais ? Recule ! »
48	Il est TROP TARD.
49	À mesure que tu te rapproches du squelette, tu te retrouves incapable de contenir son langage corporel de plus en plus tressautant.
50	Tu ne peux pas le maintenir immobile.
51	Attends...
52	Tu repères quelque chose d'étrange. Peut-être.
53	Tu ne peux pas calmer ton frère.
54	D'un coup vif, le squelette parvient à se dégager de ta prise, et au passage te frappe au heaume.
55	Faisant tourner ton esprit.
56	OUI.
57	NON.
58	C'est peut-être ta dernière chance. Le squelette devient de plus en plus frénétique.
59	Qu'est-ce qui se passe ? Tu es en train de perdre ?
60	« Concentre-toi ! »
61	Lâchant sa fronde, le gobelin part plutôt sur un coup de pied aux tibias-squelette.
62	Tandis que la créature tressaute, Snell parvient tout de même à la toucher - l'envoyant se démener pour retrouver l'équilibre.
63	« Maintenant ! Chope-le ! »
64	Le squelette lâche un profond sifflement, tandis qu'il te frappe de nouveau.
65	Cette fois, te poignardant en pleine poitrine.
66	La cotte de mailles l'empêche d'atteindre ton <b>cœur</b>.
67	Le squelette est déséquilibré, et manque sa prochaine frappe.
68	Elle passe en trombe, à quelques centimètres de ton visage.
69	Il va falloir le pousser davantage.
70	Bats-toi !
71	C'est inutile. Les os sont trop forts...
72	Essayer d'esquiver.
73	Chercher une faiblesse.
74	« J'essaie ! »
75	« Et- <i>c'est toi le putain de clerc</i> ! Utilise ta magie ou un truc ! »
76	Oh oh.
77	Tu examines les os couverts de ferraille du squelette tandis qu'il se tortille.
78	Mais hélas. Tu ne trouves aucune faiblesse mystique.
79	Pas dans ce chaos.
80	Os et fer se stabilisent devant toi. Se concentrant sur son unique tâche.
81	Ça n'a pas duré longtemps, mais maintenant tu réalises que le squelette reprend ses repères.
82	Par les dieux, il va te tuer.
83	Ce sera la fin.
84	« C'est ça... viens ici, espèce de tas de merde... »
85	Le gobelin ajuste un tir avec sa fronde et marmonne : « Je te tiens maintenant. »
86	Ta dernière chance.
87	Saisis-la ou meurs. Par la <b>valeur d'Urth</b>.
88	Oh. Par Urth.
89	Tu es mort.
90	« La ferme. Je gère. »
91	Os. Contre. OS.
92	Tu enserres vite ton frère de tes os enveloppés de chair.
93	Il se tortille.
94	Mais il ne peut quitter ta prise.
95	« Putain de merde, Clerc...! »
96	« Garde-le comme ça ! »
97	« Tu sens l'amour fraternel ?! »
98	« Arrête de te tortiller ! »
99	(Le tenir plus près.)
100	Le squelette pousse un cri strident.
101	Ce faisant, Snell se met à lui donner des coups de pied. Encore et encore.
102	Tandis que les os se brisent, la poussière volant à travers la chambre, le cri s'estompe.
103	Quel que soit le mal qui animait ce cadavre, il semble s'évanouir, ne laissant qu'une carcasse contre ton sein.
104	DÉ-ANIMÉ.
105	« Et voilà, enfin... » marmonne-t-il, prenant de lourdes inspirations.
106	(Lâcher.)
107	L'ennemi a été vaincu.
108	La mort par l'amour.
109	« Manœuvre gonflée. Mais réflexe rapide. »
110	Là !
111	En te déplaçant autour de lui, tu repères une pointe de flèche fichée dans sa moelle épinière.
112	Tu jettes un regard au gobelin, qui te fait un hochement de tête erratique.
113	« Vas-y ! »
114	(La retirer.)
115	D'une seule traction...
116	Tu regardes la structure de cette apparition osseuse s'effondrer complètement.
117	Tandis que le cri de la chose s'estompe, cage thoracique et crâne s'affaissent sur eux-mêmes.
118	Tu concentres une intense énergie nécrotique dans ton poing.
119	Les dégâts nécrotiques ne feront en fait pas grand-chose au mort-vivant.
120	Mais le coup de poing, si.
121	D'un seul balancement, tu ajustes une frappe parfaite.
122	Ton poing atteint le crâne de la chose, coupant court à son cri horrible.
123	L'impact envoie son crâne voler- tandis que le reste s'effondre sur le sol de la crypte.
124	« Belle frappe ! »
125	Tu prononces les mots de ton dieu. La puissance sacrée coule à travers eux, à travers toi.
126	Et le cri horrible du squelette s'intensifie - jusqu'à ce qu'il se retourne et <b>s'enfuie</b>.
127	« <b>Va-t'en, abomination</b> ! »
128	Comme s'il cherchait une issue en état de panique, la chose se démène dans de multiples directions.
129	Malheureusement, ces directions entrent en conflit les unes avec les autres, ce qui fait se briser les os sur place.
130	« C'est de ça que je parle ! »
131	Il te donne une tape dans le dos. « La magie de clerc ! »
132	Le squelette est sur le point de frapper quand Snell fonce sur ses jambes - un plaquage à pleine puissance.
133	Il fait complètement basculer la chose, s'écrasant sur le sol dur.
134	« Hah ! C'est bien fait pour toi ! »
135	Le squelette ajuste une frappe. Tu la vois venir.
136	Comme si le temps lui-même ralentissait, juste pour ton ultime instant, tu regardes la lame rouillée frapper parfaitement...
137	Les os se déversent au sol en un tas de poussière et de ferraille.
138	Aucune autre menace ?
139	Non. Aucune.
140	Aucune autre menace. Ce squelette devait être le seul gardien.
141	« Je t'en prie. »
142	« Tu as... bien fait aussi. »
143	Tu as accompli ton devoir. Cette crypte a été purifiée.
144	C'est exagéré.
145	Pourquoi te mets-tu dans ces situations...?
146	Le gobelin s'appuie sur ses genoux, haletant.
147	« Par les dieux. Je déteste les cryptes. »
148	Il lève un doigt et l'agite. « Rien de bon n'est jamais sorti de la construction d'une crypte. »
149	« Soit tu obtiens un lieu maudit empli de mort, soit un hachoir à viande empli de non-mort. »
150	Ses veines ne sont que de l'adrénaline.
151	« Tu es fou ? Regarde cet endroit, c'est comme- »
152	« Vraiment, une tradition authentiquement intelligente. »
153	« La meilleure chose que les humains aient jamais inventée. »
154	« En fait, je crois que c'était un truc nain à l'origine. »
