idx	prefix	english
0		"Ugh." 
1		"I hate this place." 
2		A literal pile of skulls. 
3		Thousands. Each a life taken by war, suffering, or time itself. 
4		The eternal cycle. 
5		You will join them soon. 
6		This is insane. So many bodies... 
7		You know well about this. 
8		This was the first of the <i>containment crypts</i>. 
9		The first? Oh. This is... 
10		Urth's First Crypt. 
11		Built for himself, by himself. 
12		These bones belong to <i>Cursevictims</i>. Those claimed by the Curselands horrors. 
13		Destined to rise as undead hordes, Urth sent many expeditions to the east. Each an attempt to reclaim the spirits, the literal bones, of those who were left behind. 
14		Entire ships were loaded with the many, many bodies. Brought ashore to Norvik. Then put into these crypts. 
15		Unmarked graves, yes. But consecrated all the same. An attempt at total redemption. 
16		They should have left them in the east. The Curselands is a Reedsian problem. 
17		Urth did his duty - doing his best to cleanse the world and free the spirits of his fallen people. 
18		The Curselands, yes. The Urthfolk left behind, no. 
19		Indeed. 
20		It was. 
21		And as you can see, it was a success. 
22		These bones do not move. They are not held in the crazed vitriol of negative, necromantic energy. 
23		They are at rest. Even in this horrid state. 
24		You approach the pile of skulls once more. 
25		(Watch them carefully.) 
26		So these are all people who died in the Curselands? 
27		E-(Bow your head to the dead.) 
28		No, they will not. 
29		Urth's divine protection still holds over these here graves. 
30		We all thank him for that. 
31		They do not move. 
32		Yes. 
33		The greatest tragedy of your people. 
34		And this is how they ended up- simply due to the issue of numbers. 
35		There were too many bodies to give proper burial rites to each of them. Even after burning the flesh. 
36		Since Ocean or River burials are even more problematic due to the horror-issue, this was the best option. 
37		No. 
38		Per default, all skulls here are jawless. 
39		This helps in keeping them from undeath. Spirits prefer corpses with functional mouths. 
40		That quirk is - if you trust certain scholars - born from Speak with Dead itself. 
41		Since such necromantic reanimation of the spirit during this spell is one of the most common, it would naturally lead spirits to generally consider mouth-less corpses as less inhabitable. 
