idx	prefix	english
0		The air itself grows freezing cold as you head deeper into the tunnel, until you find the passage blocked by a spiral shell. 
1		It is a massive <b>unit</b> of a Hail Snail. It fills the entire eastern passage. 
2		Holy hells. 
3		That's one thick snail. 
4		Don't be rude. 
5		He's just a little broad. 
6		Nothing wrong with that. 
7		MASSIVE! 
8		Imagine if you could lift a thing like this... 
9		You'd be regarded as a mythological mega-man. 
10		The stuff of legends! 
11		The lifting or the legend? 
12		Neither. 
13		The Hail Snail moves its thick head, the blue eye stalks focusing on... you? 
14		Probably? 
15		"What are you looking at?" 
16		The snail is just sitting here? Blocking the tunnel? 
17		It does not respond. 
18		"I mean, yeah." 
19		Looks that way. 
20		Any creature of sufficient size can go where they please. 
21		Size makes right, as they say. 
22		They do not say that. 
23		The goblin waltzes up to it and looks it up and down. 
24		He looks almost proud. 
25		"This big guy's been here for months." 
26		"Last time I was here he was facing... slightly to the left." 
27		Moving closer, you do see that the snail is moving. 
28		"Maybe ten degrees. Or five. Not very fast." 
29		The frozen mucus slowly melting around it indicates a pattern. 
30		Yes. 
31		It is attempting to rotate. By Hail Snail standards, very, very slowly. 
32		It is rotating. Or in layman's terminology: the snail is <i>turning around</i>. 
33		"It'll be done by next year probably. Then it'll head straight out of the tunnel in another one or two." 
34		The Hail Snail is potentially rotating slightly more towards you as you approach it in the blocked Eastern Tunnel. 
35		Or at least you think it is rotating. Hard to tell if you don't stand here for an hour or two. 
36		It will face you, eventually. 
37		E-"Good luck, Snail." 
38		You have a feeling you could. 
39		In either case, you must try. 
40	ROLL15 wis-	Help him. 
41		Maybe some other time. 
42		You focus on the esoteric energies. 
43		The Strings connecting the snail to the pocket. 
44		But they slip through your mental grasp. 
45		Not strong enough. Not yet. 
46		You could try harder. 
47		Force it. With your body. 
48		Apply heat directly to the shell. 
49		It would hurt. A lot. 
50		(Do it.) 
51		You press your entire body against the frozen shell. 
52		The cold burns. 
53		Ice forming on your armor. 
54		But your body heat. It's working. 
55		The esoteric pocket destabilizes. 
56		Cracks forming in the magical ice. 
57		Just a little more. 
58		(Push through the pain.) 
59		(Don't.) 
60		You pull back. 
61		The cold too intense. 
62		Maybe another time. 
63		Let us hope so. 
64		"At first, yeah. Sageleaf had plans of cleaning up the Roots, and establishing a mushroom farm across the South and East Tunnels." 
65		"But the prospect of dealing with that kind of cleanup duty wasn't exactly something people were excited by. So when this big boy fell out of a crack last year, the whole thing got postponed, and... lots of Halfway people were very, very fine with it." 
66		He points back through the tunnel. 
67		"And ever since, we've only had to deal with invasions from the South Tunnels." 
68		"Oh. So this leads to the East Tunnels?" 
69		"Yep." 
70		"Hm. I wanted to go to the East Tunnels." 
71		"Good. I have no business there. Right?" 
